Chương 1158: Thanh Hoàng Thiên! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi, ngươi, ngươi vô sỉ!"
	Thanh Hoàng Thiên gật đầu đồng ý, nhưng nói đến không đúng hai chữ lúc này trên mặt bắt đầu nhiều hơn rất nhiều lo lắng, nhìn Lâm Phong, trên mặt cũng không có vẻ thẹn thùng, ngược lại thì khôi phục trước đây thần thái.

	Nàng như vậy, dọa Lâm Phong giật mình.

	"Bất quá, ngươi phải chú ý an toàn, 6 màu phượng hoàng là chúng ta phượng hoàng nhất tộc mạnh nhất chàng trai, hắn thực lực cũng gần bằng với 7 màu phượng hoàng lãnh chúa, ngươi nhất định phải cẩn thận!"

	"Không nên dính vào, cảm thấy có thể đánh thì đánh, không đánh được liền lui về, ta hộ tống ngươi đi ra ngoài!"

	Thanh Hoàng Thiên giao phó trước Lâm Phong, e sợ cho lo lắng Lâm Phong bị nguy hiểm, mà giờ khắc này, Lâm Phong bỗng nhiên có dũng khí bị vợ dặn dò cảm giác, chỉ cảm thấy rất ấm áp, nhưng mà đây cũng là Thanh Hoàng Thiên giao phó.

	Lâm Phong thầm hô, không dám ở nơi này đợi lâu, nếu không thời gian dài, hắn mình thật lo lắng Thanh Hoàng Thiên muốn lấy thân báo đáp.

	Chẳng qua là hắn không biết chính là, Thanh Hoàng Thiên sớm liền quyết định lấy thân báo đáp, từ tín vật cái ví cho Lâm Phong một khắc kia, nàng đã trong lòng mặc niệm, đời này phi Tu La không lấy chồng!

	"Thanh tỷ, bảo trọng, ta đi!"

	Lâm Phong bước ra một bước, rời đi tầng thứ năm, trực tiếp chạy tầng thứ sáu thang lầu đi tới, rất nhanh hắn bóng người liền biến mất ở Thanh Hoàng Thiên trong con ngươi, Thanh Hoàng Thiên rầu rỉ nhìn Lâm Phong, hận không phù hợp đi theo Lâm Phong đi lên.

	Nhưng là nàng rất rõ ràng 7 màu phượng hoàng đàn quy củ, nàng là tầng thứ năm thủ quan người, cũng chỉ có thể lưu lại ở tầng thứ năm, lúc nào thực lực đạt tới nên canh phòng tầng thứ sáu, nàng mới có thể thăng vò.
