Chương 1024: Đính hôn nghi thức bắt đầu! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lâm công tử, ngươi tới thật là tấu xảo" .
	"Môn chủ, ngươi cũng xuống đi" . Thanh Lăng Hiên hướng về phía Thanh Tâm Nguyệt khoát tay một cái, hơi khẽ khom người bày tỏ đối với môn chủ tôn kính, mà không phải là tôn kính Thanh Tâm Nguyệt.

	Dẫu sao Thanh Tâm Nguyệt là nàng nữ học trò, là vãn bối, hắn tôn kính chẳng qua là môn chủ vị trí này, bởi vì là vị trí này cực kỳ thần thánh không thể xâm phạm.

	Thanh Tâm Nguyệt mặt không cảm giác từ ngai vàng trên đi xuống, một bên thị nữ muốn đỡ, lại bị Thanh Tâm Nguyệt một cái tát đẩy ra, bị sợ thị nữ không dám cử động nữa phân nửa, chỉ có thể dừng tại chỗ.

	Một màn này rất nhiều Thanh Tâm Nguyệt cũng không muốn đính hôn nghi thức, nhất là và Thanh Lăng Hiên.

	Dưới đài vậy có rất nhiều đệ tử đỏ con mắt, trong mắt bọn họ nữ thần chỉ như vậy bị Thanh Lăng Hiên đoạt đi? Nhưng bọn họ trừ ghen tỵ và hận, tựa hồ cũng không dám có những thứ khác xa xỉ ý tưởng.

	Thanh Tâm Nguyệt đứng ở Thanh Lăng Hiên đối diện, Thanh Lăng Hiên thâm tình các loại nhìn hắn nữ thần trong mộng và muốn có được cô gái, nhưng Thanh Tâm Nguyệt từ đầu đến cuối mặt không cảm giác, cũng không đi xem Thanh Lăng Hiên, lại càng không xem Thanh Hư Đoạn.

	Thanh Hư Đoạn trong lòng không biết làm sao thở dài, Thanh Tâm Nguyệt sợ rằng hận tới chính hắn, nhưng cái này không có đường lui.

	"Dắt tay, nghi thức bắt đầu!"

	Thanh Hư Đoạn trầm giọng quát một tiếng, xoay người lại nhìn về phía cái này một đôi người mới!

	Chín đại thái thượng trường lão vậy đứng dậy, đối với môn chủ tôn kính, bọn họ cũng đi xuống, vây cái này một đôi người mới, dùng ánh mắt chứng kiến một màn này phát sinh.

	Không khí chung quanh bỗng nhiên khẩn trương, rất nhiều người tim đập rộn lên, chờ đợi một màn này.

	Lâm Phong thân thể đi về trước nghiêng liền nghiêng, trước khi đi mấy bước, đứng ở cao phía dưới đài phía trước nhất, mắt nhìn một màn này.
