Chương 1043: Người tổ giáng thế? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Tướng công, ngươi hù chết ta, đột nhiên biến mất, không có bất kỳ khí tức gì tồn lưu!"
	Lâm Tổ, Lâm Phong trong miệng đọc mấy lần sau đó, chính là ngẩng đầu lên hướng về phía bên trong nhà tất cả mọi người quát lên: "Bé gái kêu Lâm Tư Điềm, bé trai sơ sinh liền kêu Lâm Tổ!"

	"Cái gì? Lâm Tổ? Tại sao?"

	"Tướng công, làm sao đột nhiên nghĩ đổi tên chữ?"

	"Lâm Tổ, rất khó nghe ai" .

	Lâm Phong tuyên bố tên mới, đưa tới mấy nữ nhất trí phản đối, nhưng Lâm Phong vẫn là quyết định đổi tên là Lâm Tổ.

	Nguyệt Mộng Hà và Lâm Hải trừng mắt trợn mắt nhìn Lâm Phong, không biết thằng nhóc này rốt cuộc lại giở trò quỷ gì, rõ ràng rất tốt tên chữ, nếu không phải là đổi thành rừng tổ.

	"Cha, mẹ, nghe tướng công, hắn muốn đổi, liền đổi, bất quá là một cái tên mà thôi" .

	Liễu Phỉ yếu ớt thanh âm một lần nữa truyền vào tất cả mọi người trong tai, vô luận là Hỏa Vũ vẫn là Hoang Nữ hay hoặc giả là Thanh Phượng đều ngậm miệng lại.

	Liễu Phỉ đồng ý, các nàng cũng không thể nói gì nữa, chẳng qua là các nàng trong lòng đã có ý tưởng, nhất định phải muốn tên rất hay, ngày sau bọn hắn đứa trẻ nhất định phải dậy cái xinh đẹp tên chữ.
