Chương 297: Mạch nước ngầm  
 Converter Dzung Kiều cầu phiếu  

	Còn không cùng hắn kịp phản ứng, cũng cảm giác được mình thân thể ở kịch liệt về phía rơi xuống.
	Đầm nước ước chừng có mười mấy trượng rộng, Mưu Huy Dương trước ở dưới đất trong sông thấy mơ hồ ánh sáng, chính là từ nơi này đầm nước nơi này truyền đi.

	Mưu Huy Dương từ đầm nước bò ra, nằm ở bờ đầm trên đất từng ngụm từng ngụm thở hổn hển, sau đó hưng phấn quơ mấy cái cánh tay, lớn tiếng gầm to mấy tiếng, lấy này tới ăn mừng mình sống sót sau tai nạn.

	Cao hứng sau này, hơi nghỉ ngơi một hồi, bình phục tâm tình sau đó, Mưu Huy Dương bắt đầu quan sát chỗ này tới.

	Mưu Huy Dương bây giờ chỗ ở địa phương này mặc dù có mơ hồ ánh sáng, nhưng nơi này ánh sáng không phải rất đầy đủ, hắn ánh mắt chỉ có thể nhìn ra một cách đại khái tới, cũng không rõ.

	Mưu Huy Dương từ trong không gian đem Lưu Hiểu Mai cho mình chuẩn bị đèn pin lấy ra, ở đèn pin cầm tay dưới ánh sáng, hắn rốt cuộc thấy rõ, đây cũng là một cái cùng điều này mạch nước ngầm tương thông hang động.

	Mưu Huy Dương ở đèn pin chiếu xuống, cẩn thận kiểm tra một chút hoàn cảnh chung quanh, phát hiện huyệt động này cùng hắn chỗ ở sân thượng hẳn không phải là tự nhiên hình thành. Mặc dù không biết cái huyệt động này tồn tại bao lâu, nhưng vẫn có thể nhìn ra dấu vết nhân công đào bới tới.

	Nếu nơi này là nhân công đào bới đi ra ngoài, như vậy thì chắc có có thể từ nơi này đi ra lối đi, nghĩ thông suốt những thứ này, biết mình sẽ không bị khốn chết ở chỗ này sau đó, Mưu Huy Dương lòng rốt cuộc để xuống.

	Không có lo âu, Mưu Huy Dương liền nghĩ tới trước ở dưới đất trong sông gặp phải kỳ nhông, vì vậy hắn lòng lại sinh động, nếu là mình có thể ở nhiều bắt mấy cái kỳ nhông đến trong không gian, lấy nước không gian vậy cường hãn chức năng, khẳng định có thể để cho kỳ nhông số lớn sinh sản đứng lên.

	Trải qua nước không gian nuôi kỳ nhông, ở bên ngoài cũng liền mới có thể nuôi, nếu là mình nuôi dưỡng liền nhiều kỳ nhông, như vậy. . .

	Nghĩ tới đây, Mưu Huy Dương tựa như thấy được từng tờ một tiền giấy đỏ au hướng tự bay tới, toét miệng cười một tiếng sau đó, Mưu Huy Dương bắt đầu đi cái đầm nước kia trong tập trung nhập không gian nước.

	Cái này đầm nước cùng bên ngoài vậy con mạch nước ngầm là tương thông, nước không gian đối với loại cá sức hấp dẫn bao lớn, Mưu Huy Dương đó là hết sức rõ ràng.

	Ở tập trung nhập không gian nước sau đó không lâu, Mưu Huy Dương liền thấy được một cái kỳ nhông đầu tiên từ đầm nước liên tiếp cái đó lỗ hổng chỗ có đi vào, sau khi đi vào, vậy con kỳ nhông liền bắt đầu từng ngụm từng ngụm nuốt khởi trong không gian nước tới.

	Vậy con kỳ nhông lại sau khi đi vào, mạch nước ngầm ở giữa loại cá giống như là loài người đi chợ vậy, không ngừng từ lỗ hổng chỗ tràn vào, những cá này lại sau khi đi vào, lập tức liền bắt đầu nuốt trong đầm nước nước không gian, nguyên bản nước yên tĩnh đàm, nhất thời bị những cá kia loại làm cho đợt sóng cuồn cuộn, náo nhiệt.

	Cùng thấy ít nhất có năm con đại nghê tiến vào trong đầm nước sau đó, Mưu Huy Dương lập tức dùng không gian thu lấy chức năng, liền nước mang cá cùng nhau nhiếp vào không gian trong hồ nhỏ.

	Đem vậy kỳ nhông nhiếp vào không gian sau đó, Mưu Huy Dương không có lại tiếp tục bắt kỳ nhông, đánh đèn pin hướng hang động đá vôi đi tới.

	Mới vừa lên bờ lúc chỉ lo vui mừng mình sống sót sau tai nạn, sau đó lại vội vàng bắt kỳ nhông, Mưu Huy Dương đem trên người giá rét cảm giác đều quên, bây giờ tinh thần buông lỏng xuống, hắn lập tức liền cảm thấy thân thể lạnh run.

	Mưu Huy Dương nhìn một chút trên người mình vậy ướt nhẹp quần áo, tâm niệm vừa động cả người liền từ tại chỗ biến mất đi vào trong không gian.

	"Cmn, phải dùng ngươi cứu mạng thời điểm ngươi nhưng làm đình công, bây giờ không sao nhưng lại có thể đi vào, đây không phải là chơi bố mắng?" Mưu Huy Dương nhìn trong không gian vậy hoàn cảnh quen thuộc, không nhịn được tức miệng mắng to.Chương 297: Mạch nước ngầm  
 Converter Dzung Kiều cầu phiếu  

	Còn không cùng hắn kịp phản ứng, cũng cảm giác được mình thân thể ở kịch liệt về phía rơi xuống.

	Làm thân thể hướng xuống rơi xuống lúc này Mưu Huy Dương chỉ cảm thấy mình thân thể giống như một khối bị ném ra đá vậy, kịch liệt về phía rơi xuống đi.

	Thân thể hạ xuống tốc độ càng lúc càng nhanh, hô hô tiếng gió xen lẫn lạnh như băng khí lạnh đối diện cạo tới, gió kia treo trên người lại Mưu Huy Dương cảm thấy đau đớn, thân thể giảm xuống tốc độ càng lúc càng nhanh, gió kia cạo trên người cũng càng thêm đau đớn, để cho Mưu Huy Dương khổ không thể tả.

	Mưu Huy Dương thử muốn vào đến trong không gian đi, ngày thường ý niệm động một cái mình ngay tức thì sẽ xuất hiện tại trong không gian, có thể lần này tùy ý ý hắn đọc phun trào, hắn thân thể làm thế nào cũng không vào được không gian.

	Mưu Huy Dương không nghĩ ra ở thời khắc mấu chốt này, mình tại sao không vào được không gian, không có được không gian trợ giúp, hắn cảm giác được mình lần này chết chắc.

	Nếu làm được cuối cùng cũng khó thoát khỏi cái chết, Mưu Huy Dương tâm tình lúc này ngược lại bình tĩnh liền không thiếu, hắn bắt đầu thử dùng thần thức quan sát cái hố này động tình huống tới, ở thần thức mở ra sau đó, thấy chỉ là nhanh hướng lên di động vách đá, làm Mưu Huy Dương thấy trên vách đá một cây mọc lên ở trên vách đá cây nhỏ, hắn bản năng dùng không gian thu lấy chức năng hướng về phía vậy cây nhỏ bắt đi.

	Không nghĩ tới không gian thu lấy chức năng lại cũng có thể sử dụng, mặc dù không có đem vậy cây nhỏ thu lấy vào không gian, nhưng bởi vì là không gian phản nhiếp lực, để cho hắn giảm xuống thân thể đột nhiên dừng một chút, chậm lại thân thể một chút giảm xuống tốc độ, tiếp lại bắt đầu rơi xuống dưới.

	"Cmn, cái này không gian thật bẫy cha, vào thời điểm mấu chốt này còn lại chức năng cũng có thể sử dụng, duy chỉ có không thể vào đến trong không gian đi." Thấy mình thân thể tại không gian phản nhiếp lực dưới tác dụng, giảm xuống tốc độ một chút chậm lại, Mưu Huy Dương không nhịn được mắng lên.

	Ngay tại hắn vừa dứt lời lúc này hắn cảm giác được từ trong cái hố sâu một bên truyền tới một cổ hấp lực, Mưu Huy Dương bị cái này cổ hút kéo lực cho hút hướng ngang trôi dời qua.

	Nhìn cách mình càng ngày càng gần vách hố, hắn biết mình lần này là thật chơi xong, mắt thấy thì phải đụng vào vách đá, Mưu Huy Dương cam chịu số phận nhắm hai mắt lại.

	Ngay tại Mưu Huy Dương nhắm mắt lại nháy mắt, hắn cảm thấy mình thân thể khỏe giống như xuyên qua thứ gì, tiếp chỉ nghe ùm một thanh âm vang lên, hắn thân thể rơi vào trong nước.

	Ngay sau đó Mưu Huy Dương liền cảm thấy một hồi lạnh như băng rùng mình lan khắp toàn thân, hắn thân thể giống như một hòn đá vậy nhanh chóng chìm xuống đi.

	Có mới vừa rồi vậy một chút xông ngược, ở hết vào bên trong nước lúc này Mưu Huy Dương thân thể cũng không có bị chấn thương, bất quá nước này lạnh như băng thấu xương, hắn cảm giác nước này so ngày đông lúc sông Đai Ngọc nước sông còn lạnh hơn nhiều lắm.

	Mưu Huy Dương bơi lội giỏi không tệ, ở hết vào bên trong nước, hắn hai chân chợt hướng xuống đạp một cái, hai cánh tay dùng sức rạch một cái, liền chui vào mặt nước, há to miệng bắt đầu mãnh hút khởi mặt nước không khí mới mẽ tới.

	Thở hổn hển mấy cái sau đó, Mưu Huy Dương bắt đầu đánh giá, bất quá trên mặt nước một mảnh đen nhánh cái gì cũng không thấy rõ, dùng thần thức dò xét sau đó, phát hiện mình bây giờ thuộc về một cái mạch nước ngầm lưu trong, ở thần thức có thể phạm vi dò xét bên trong, trừ hai bên vách đá bên ngoài, cũng không có tìm được có thể lên bờ địa phương.

	Lấy Mưu Huy Dương bây giờ so với thường nhân còn mạnh hơn nhiều thể chất, hắn cũng cảm giác được càng ngày càng lạnh, "Nhất định mau sớm tìm được một cái có thể rời đi địa phương, nếu không không có bị té chết, ở nơi này trong nước ngây ngô lâu cũng sẽ bị chết rét."

	Mưu Huy Dương yên tĩnh hạ lòng cảm thụ một chút nước sông lưu động phương hướng, hít một hơi thật sâu, sau đó dùng cả tay chân, theo mạch nước ngầm nước lưu động phương hướng bơi về phía trước.

	Không dạo chơi bao xa Mưu Huy Dương cũng cảm giác được mình thân thể bị thứ gì đụng một cái, hắn trong lòng nhất thời căng thẳng, trước kia không có sao lúc hắn ở trên mạng xem qua đã có quan mạch nước ngầm một ít giới thiệu, biết có chút mạch nước ngầm trong có lớn ăn thịt loại loại cá tồn tại.

	Mưu Huy Dương cảm thấy mới vừa rồi đụng thân thể mình con cá kia đầu cũng không nhỏ, mình sẽ không như thế bị gặp phải ăn thịt loại loại cá liền chứ ?

	Mưu Huy Dương lập tức đem thần thức thi triển ra, hướng chung quanh dò xét, ở thần thức phạm vi dò xét bên trong, hắn phát hiện một cái dáng dấp hướng phóng đại bản con thằn lằn vậy loại cá, con cá này hình thể làm thịt trưởng, có độn hình tròn, ước chừng có dài hơn một thước, trên mình hết sức bóng loáng, hơn nữa không giống những thứ khác loại cá vậy dài vảy, nhưng tại thân thể phía dưới nhưng dài bốn nhánh rất ngắn chân chi, chân trước 4 chỉ, chân sau 5 chỉ, chỉ cốt ở giữa giống như con vịt bàn chân tựa như có màng chân tương liền.

	"Kỳ nhông!" Làm Mưu Huy Dương thấy rõ ràng vậy con lớn lên giống con thằn lằn vậy cá lúc này không nhịn được trong lòng hưng phấn kêu lên.

	Kỳ nhông lại kêu đại nghê, ở TQ nhưng mà kế cận diệt tuyệt bảo vệ động vật, bây giờ cũng tiết kiệm kỳ nhông đã rất khó thấy được, Mưu Huy Dương dùng không gian thu lấy chức năng, đem vậy con kỳ nhông lấy được không gian trong hồ nhỏ.

	Đem Mưu Huy Dương đem kỳ nhông thu vào không gian sau đó, hắn theo dòng sông dạo chơi qua một cái cong sau đó, liền phát hiện phía trước có mơ hồ ánh sáng truyền tới, Mưu Huy Dương tinh thần chấn động một cái sử dụng toàn thân khí lực, hướng ánh sáng chỗ bơi đi, mấy phút sau đó hắn thấy được một cái đầm nước.

	Đầm nước ước chừng có mười mấy trượng rộng, Mưu Huy Dương trước ở dưới đất trong sông thấy mơ hồ ánh sáng, chính là từ nơi này đầm nước nơi này truyền đi.

	Mưu Huy Dương từ đầm nước bò ra, nằm ở bờ đầm trên đất từng ngụm từng ngụm thở hổn hển, sau đó hưng phấn quơ mấy cái cánh tay, lớn tiếng gầm to mấy tiếng, lấy này tới ăn mừng mình sống sót sau tai nạn.

	Cao hứng sau này, hơi nghỉ ngơi một hồi, bình phục tâm tình sau đó, Mưu Huy Dương bắt đầu quan sát chỗ này tới.

	Mưu Huy Dương bây giờ chỗ ở địa phương này mặc dù có mơ hồ ánh sáng, nhưng nơi này ánh sáng không phải rất đầy đủ, hắn ánh mắt chỉ có thể nhìn ra một cách đại khái tới, cũng không rõ.

	Mưu Huy Dương từ trong không gian đem Lưu Hiểu Mai cho mình chuẩn bị đèn pin lấy ra, ở đèn pin cầm tay dưới ánh sáng, hắn rốt cuộc thấy rõ, đây cũng là một cái cùng điều này mạch nước ngầm tương thông hang động.

	Mưu Huy Dương ở đèn pin chiếu xuống, cẩn thận kiểm tra một chút hoàn cảnh chung quanh, phát hiện huyệt động này cùng hắn chỗ ở sân thượng hẳn không phải là tự nhiên hình thành. Mặc dù không biết cái huyệt động này tồn tại bao lâu, nhưng vẫn có thể nhìn ra dấu vết nhân công đào bới tới.

	Nếu nơi này là nhân công đào bới đi ra ngoài, như vậy thì chắc có có thể từ nơi này đi ra lối đi, nghĩ thông suốt những thứ này, biết mình sẽ không bị khốn chết ở chỗ này sau đó, Mưu Huy Dương lòng rốt cuộc để xuống.

	Không có lo âu, Mưu Huy Dương liền nghĩ tới trước ở dưới đất trong sông gặp phải kỳ nhông, vì vậy hắn lòng lại sinh động, nếu là mình có thể ở nhiều bắt mấy cái kỳ nhông đến trong không gian, lấy nước không gian vậy cường hãn chức năng, khẳng định có thể để cho kỳ nhông số lớn sinh sản đứng lên.

	Trải qua nước không gian nuôi kỳ nhông, ở bên ngoài cũng liền mới có thể nuôi, nếu là mình nuôi dưỡng liền nhiều kỳ nhông, như vậy. . .

	Nghĩ tới đây, Mưu Huy Dương tựa như thấy được từng tờ một tiền giấy đỏ au hướng tự bay tới, toét miệng cười một tiếng sau đó, Mưu Huy Dương bắt đầu đi cái đầm nước kia trong tập trung nhập không gian nước.

	Cái này đầm nước cùng bên ngoài vậy con mạch nước ngầm là tương thông, nước không gian đối với loại cá sức hấp dẫn bao lớn, Mưu Huy Dương đó là hết sức rõ ràng.

	Ở tập trung nhập không gian nước sau đó không lâu, Mưu Huy Dương liền thấy được một cái kỳ nhông đầu tiên từ đầm nước liên tiếp cái đó lỗ hổng chỗ có đi vào, sau khi đi vào, vậy con kỳ nhông liền bắt đầu từng ngụm từng ngụm nuốt khởi trong không gian nước tới.

	Vậy con kỳ nhông lại sau khi đi vào, mạch nước ngầm ở giữa loại cá giống như là loài người đi chợ vậy, không ngừng từ lỗ hổng chỗ tràn vào, những cá này lại sau khi đi vào, lập tức liền bắt đầu nuốt trong đầm nước nước không gian, nguyên bản nước yên tĩnh đàm, nhất thời bị những cá kia loại làm cho đợt sóng cuồn cuộn, náo nhiệt.

	Cùng thấy ít nhất có năm con đại nghê tiến vào trong đầm nước sau đó, Mưu Huy Dương lập tức dùng không gian thu lấy chức năng, liền nước mang cá cùng nhau nhiếp vào không gian trong hồ nhỏ.

	Đem vậy kỳ nhông nhiếp vào không gian sau đó, Mưu Huy Dương không có lại tiếp tục bắt kỳ nhông, đánh đèn pin hướng hang động đá vôi đi tới.

	Mới vừa lên bờ lúc chỉ lo vui mừng mình sống sót sau tai nạn, sau đó lại vội vàng bắt kỳ nhông, Mưu Huy Dương đem trên người giá rét cảm giác đều quên, bây giờ tinh thần buông lỏng xuống, hắn lập tức liền cảm thấy thân thể lạnh run.

	Mưu Huy Dương nhìn một chút trên người mình vậy ướt nhẹp quần áo, tâm niệm vừa động cả người liền từ tại chỗ biến mất đi vào trong không gian.

	"Cmn, phải dùng ngươi cứu mạng thời điểm ngươi nhưng làm đình công, bây giờ không sao nhưng lại có thể đi vào, đây không phải là chơi bố mắng?" Mưu Huy Dương nhìn trong không gian vậy hoàn cảnh quen thuộc, không nhịn được tức miệng mắng to.
