Chương 872: Chớ nói bậy bạ 
 Converter Dzung Kiều cầu khen thưởng 

	"Mẹ, mẹ tới." Lưu Hiểu Mai đi tới mẹ mình trước mặt, ngồi ở mẹ thân vừa nói.
	Cái này treo đèn lồng cùng đựng đèn nê ông, vốn chính là không cần gì kỹ thuật sống, những thứ này mới từ bên ngoài trở về người tuổi trẻ làm đều rất thuận tay, thời gian cỡ 20 phút liền chứa xong.

	Mưu Huy Dương lại cho lão trượng mẫu nhà biệt thự cũng chứa đèn lồng cùng đèn nê ông sau đó, thừa dịp thiên vẫn chưa có hoàn toàn đen xuống, lại mang mọi người đi mình vườn cây ăn trái chỗ kia biệt thự.

	Có rất nhiều người tuổi trẻ trước tết mới chạy về, còn chưa có tới Mưu Huy Dương ở vào vườn cây ăn trái ngôi biệt thự này đâu, khi thấy biệt thự bên ngoài vậy một vòng dùng bạc hạnh, gỗ lim vây thành tường rào mang, mọi người trong lòng cũng lấy làm kinh hãi.

	Những thứ này cây ở bên ngoài là giá bao nhiêu cách, rất nhiều đi làm trở về người cũng biết đại khái, nhất là những cái kia cây gỗ lim, lại là đáng tiền, liền cái này một vòng tường rào mang trồng trọt cây gỗ lim, chỉ đáng giá lão lỗ mũi tiền.

	Khi mọi người đi vào sân lúc này Đại Lão Hắc, Tiểu Bạch, tiểu Tuyết cùng Da Đen mấy tên, lập tức liền vây quanh.

	"Những thứ này đều là trong thôn chúng ta người, là tới giúp chúng ta làm việc, các người cũng đừng vây quanh đi một bên chơi đi." Mưu Huy Dương thấy có mấy người khi nhìn đến to con Da Đen lúc có chút khiếp đảm, liền đối với mấy cái thú cưng nói.

	Tới trong những người này có rất nhiều đều là Tiểu Bạch chúng trước kia chưa từng thấy qua, nghe Mưu Huy Dương nói sau đó, Da Đen, Tiểu Bạch chúng đi tới những cái kia trước kia chưa từng thấy trước mặt người, ở bọn họ trên mình ngửi một chút sau đó, mới chạy về tiếp tục chơi đùa đứng lên.

	Thấy những cái kia mới trở về người cũng một bộ không giải thích được dáng vẻ, Chu Nhất Thương đối với bọn họ nói: "Da Đen, Tiểu Bạch, tiểu Tuyết chúng đều nhớ trong thôn người mùi, mấy người các ngươi mới trở về, bọn họ đây là đang đạt tới các ngươi mùi, như vậy các người sau này rồi đến tiểu Dương nơi này lúc tới, chúng mới không hợp sức công kích các người."

	"Con bà nó, những người này cũng quá thông minh đi."

	"Đúng vậy, mới vừa rồi chúng ta lúc tiến vào, những động vật kia nhìn về phía chúng ta trong ánh mắt có thể là có địch ý, ở Mưu Huy Dương nói chuyện sau đó, những tên kia trong mắt địch ý mới tản đi. Những động vật này quá đặc biệt có linh tính."

	" Ừ, ta đi làm ông chủ kia nuôi một con tàng ngao, nghe nói là phát tài hơn 1 triệu mới mua được, vậy tàng ngao mặc dù hung mãnh cũng rất hiểu tính người, có thể cùng tiểu Dương nhà những động vật này so với, vậy kém đơn giản là quá nhiều. Nếu như đem những động vật này cầm đi bán, mỗi chỉ bán 2-3 triệu đều có người muốn cướp."

	Làm thằng nhóc này nói cho tới khi nào xong thôi, hắn thấy những cái kia sớm trở về nhân hòa Chu Nhất Thương dùng xem ánh mắt ngu ngốc nhìn mình, hắn có chút không hiểu hỏi: "Ta mới vừa rồi thật giống như không nói lời gì sai à, các người làm sao dùng loại ánh mắt này nhìn ta?"

	"Hề hề, chúng ta là xem thằng nhóc ngươi đi ra ngoài đánh mấy năm công, có phải hay không biến thành ngu dại. Ngươi không biết đi, có người ra mười triệu muốn mua nhỏ trắng, Mưu Huy Dương ánh mắt đều không nháy mắt một chút liền cho cự tuyệt. Ngươi ông chủ kia nuôi cái gì chó má tàng ngao, liền tiểu Dương nhà những động vật này một cái chân cũng để không được."

	"Ngươi nói Tiểu Bạch là vậy con sói trắng đi, một cái chó sói mà thôi mười triệu cũng không bán, cái này tiểu Dương đầu không phải bị cửa kẹp chứ ?" Người kia có chút không tin hỏi.

	Người kia vừa mới dứt lời, liền nghe được một tiếng có chút tức giận tiếng sói tru, từ sân một bên truyền tới.

	"Thằng nhóc , chớ nói bậy bạ, Mưu Huy Dương nhà những động vật này có thể đều nghe hiểu tiếng người, mới vừa rồi tiểu Bạch tiếng rú, liền bày tỏ nó đã mất hứng, nếu là ngươi lại nói bậy bạ nói, coi chừng Tiểu Bạch chúng sau này tìm ngươi phiền toái, đến lúc đó coi như có thằng nhóc ngươi chịu được." Chu Nhất Thương nghe được tiểu Bạch tiếng rú sau đó, đối với cái đó trẻ tuổi sau thanh nói.Chương 872: Chớ nói bậy bạ 
 Converter Dzung Kiều cầu khen thưởng 

	"Mẹ, mẹ tới." Lưu Hiểu Mai đi tới mẹ mình trước mặt, ngồi ở mẹ thân vừa nói.

	"Mẹ vốn là không muốn tới, nhưng mà bà thông gia cứng rắn muốn kéo ta tới, còn muốn ta cùng các người cùng nhau ăn tết." Trương Xuân Lan mang trên mặt nụ cười, đối với con gái mình nói.

	"Mẹ, chúng ta bây giờ đã là người một nhà, ngươi vốn là hẳn ở chỗ này ăn tết, mọi người như vậy chung một chỗ mới náo nhiệt." Mưu Huy Dương cười nói.

	Lưu Hiểu Mai cũng không muốn mẹ mình ở nhà một mình ăn tết, như vậy quá vắng vẻ. Bây giờ mẹ chồng để cho mẹ mình cùng các nàng cùng nhau ăn tết, Lưu Hiểu Mai trong lòng cũng cao hứng vô cùng, đi tới Trình Quế Quyên trước mặt, "Mẹ, cám ơn ngài!"

	"Con gái, cũng là người một nhà nói những thứ này lời khách khí làm gì, bất quá ngươi thật muốn cám ơn chúng ta nói, liền sớm đi cho chúng ta sinh cái thằng nhóc mập mạp, như vậy ta và mẹ của ngươi mỗi ngày thật vui vẻ chọc cười chọc cười cháu trai, đó mới là đối với chúng ta tốt nhất cảm ơn." Trình Quế Quyên cười ha hả nói.

	Một câu nói đem Lưu Hiểu Mai nói trên khuôn mặt nhỏ nhắn ánh nắng đỏ rực vùng vùng, không biết nên nói cái gì cho phải.

	Lúc này Mưu Huy Dương cười nói: "Hai bà mẹ, con cùng Hiểu Mai sẽ cố gắng, bảo đảm sẽ không để cho các người thất vọng, sang năm nhất định cho các người sinh một cái thằng nhóc mập mạp đi ra ngoài."

	"Y Y, đi chúng ta đi đem mua về lồng đèn lớn màu đỏ treo lên." Lưu Hiểu Mai mắc cở mặt đỏ bừng, kéo Mưu Y Y chạy ra ngoài.

	Mưu Huy Dương sau khi trở lại liền không thấy cha mình, hỏi: "Mẹ, ba con đâu?"

	"Hắn buổi sáng liền bị Lưu Trung Nghĩa kéo đi thôn ủy hội, cả ngày đều cùng thôn ủy người bận bịu bố trí khu biệt thự những cái kia ngọn đèn nhỏ ngâm, lão này không chỉ có bỏ mặc chuyện trong nhà, liền cơm trưa cũng chưa trở lại ăn đây, ta cùng Xuân Lan em gái bận rộn một ngày, mới đưa trong nhà thu thập thoả đáng." Mẹ có chút bất mãn nói.

	"Dù sao nhà cũng không có chuyện gì, cha thích làm gì sẽ để cho hắn đi đi, nếu không hắn cả ngày ở nhà không có chuyện làm, còn cảm thấy không thoải mái vậy."

	Bây giờ thôn ủy hội cũng dọn đến khu biệt thự khối này tới, là một tòa đặc biệt xây cất đi ra ngoài ba tầng phục cổ thức làm việc biệt thự.

	Cha ở thôn ủy hội Mưu Huy Dương cũng yên lòng, "Mẹ, các người trước trò chuyện, ta đi đem đồ dọn vào."

	Từ trong nhà đi tới cửa, Mưu Huy Dương thấy Lưu Hiểu Mai cùng Mưu Y Y hai người, đem mua về đèn lồng nhảy ra tới, đang thương lượng trước muốn thế nào mới có thể treo lên đây.

	"Giống như loại này có nhất định nguy hiểm tính công tác, làm sao có thể để cho 2 người nữ sĩ xinh đẹp tới làm đâu, vạn nhất đem các người vậy eo thon vọt đến, vậy ta còn không phải đau lòng chết à, vẫn là để cho ta đi." Mưu Huy Dương bần đạo.

	"Anh, anh tới những chuyện này dĩ nhiên ngươi nên làm, ngươi trước đem cái này hai cái lồng đèn lớn màu đỏ treo lên, ta đi đem những cái kia đèn nê ông lấy tới, một hồi ngươi thuận tiện cùng nhau đựng tốt." Mưu Y Y cầm trong tay đèn lồng cửa ải cho anh, lại chạy đến bên cạnh xe đem những cái kia đèn nê ông cầm tới.

	"Tiểu Dương, có cần giúp một tay hay không à?" Thấy Mưu Huy Dương ở cửa treo đèn lồng, Chu Nhất Thương qua tới hỏi, cùng hắn cùng đi đến còn có tốt mấy người tuổi trẻ.

	"Còn có 2 cái địa phương đều không treo đâu, các người nếu tới hỗ trợ đương nhiên tốt. Không quá ta xem các người trong có vài người mặc cùng mới cô gia tựa như, muốn là tới giúp đỡ nói các người cái này thân quần áo sẽ phải bị làm dơ." Mưu Huy Dương thấy những cái kia đi làm trở về người tuổi trẻ, đều mặc trước âu phục này, vì vậy trêu nói.

	"Cái này có gì, quần áo dơ bẩn tắm một cái chính là, ngươi liền đừng chê cười chúng ta. Hơn nữa, những thứ này âu phục đều là hàng vỉa hè lên đồ rẻ tiền, lại không đáng tiền." Một cái kêu là Chu Vĩ người tuổi trẻ nói.

	"Nếu ngươi đều nói như vậy, vậy thì chớ đứng, nhanh chóng liền đi, nếu không một hồi liền đen." Chu Nhất Thương đối với những người tuổi trẻ kia nói.

	Những cái kia đi làm trở về người tuổi trẻ ở bên ngoài lăn lộn mấy năm, tuy nói không có kiếm đến tiền gì, nhưng tăng trưởng kiến thức không ít, giống như gắn đèn nê ông loại chuyện nhỏ này, đại đa số người cũng có thể làm giải quyết.

	Nghe được Chu Nhất Thương nói sau đó, mọi người đơn giản phân một chút công liền bắt đầu nhanh lên, có người gắn đèn lồng cùng đèn nê ông, có người thì bắt đầu bố trí đường dây.

	Cái này ăn tết Mưu Huy Dương cũng ngại quá để cho mọi người giúp không, đi tới Lưu Hiểu Mai bên người, để cho nàng đi bên trong xe cầm 2 cái ngày hôm nay mua khói tới, cho những thứ này người giúp mỗi người phát một túi.

	Làm Lưu Hiểu Mai cho mọi người phát khói lúc này những cái kia mới từ bên ngoài trở về người tuổi trẻ, thấy Lưu Hiểu Mai đưa cho bọn hắn chính là hơn hai mươi nguyên một túi Ngọc Khê khói, cũng ngại quá thu.

	Chu Nhất Thương cùng những cái kia ở nhà thôn dân đều biết Mưu Huy Dương thói quen, thấy những người tuổi trẻ kia từ chối, Chu Nhất Thương cười nói: "Bây giờ tiểu Dương nhưng mà thôn chúng ta lớn nhất cường hào, chúng ta ngày hôm nay cũng đánh một chút cường hào, các người cũng đừng từ chối thu cất đi."

	Những người tuổi trẻ này ở bên ngoài đi làm, quất tốt nhất khói cũng chính là năm khối chừng một túi, giống như loại này hơn hai mươi nguyên một bao thuốc lá, bọn họ có thể không mua nổi tới rút ra. Nghe được Chu Nhất Thương như thế nói, mọi người mới hi hi ha ha thu.

	Cái này treo đèn lồng cùng đựng đèn nê ông, vốn chính là không cần gì kỹ thuật sống, những thứ này mới từ bên ngoài trở về người tuổi trẻ làm đều rất thuận tay, thời gian cỡ 20 phút liền chứa xong.

	Mưu Huy Dương lại cho lão trượng mẫu nhà biệt thự cũng chứa đèn lồng cùng đèn nê ông sau đó, thừa dịp thiên vẫn chưa có hoàn toàn đen xuống, lại mang mọi người đi mình vườn cây ăn trái chỗ kia biệt thự.

	Có rất nhiều người tuổi trẻ trước tết mới chạy về, còn chưa có tới Mưu Huy Dương ở vào vườn cây ăn trái ngôi biệt thự này đâu, khi thấy biệt thự bên ngoài vậy một vòng dùng bạc hạnh, gỗ lim vây thành tường rào mang, mọi người trong lòng cũng lấy làm kinh hãi.

	Những thứ này cây ở bên ngoài là giá bao nhiêu cách, rất nhiều đi làm trở về người cũng biết đại khái, nhất là những cái kia cây gỗ lim, lại là đáng tiền, liền cái này một vòng tường rào mang trồng trọt cây gỗ lim, chỉ đáng giá lão lỗ mũi tiền.

	Khi mọi người đi vào sân lúc này Đại Lão Hắc, Tiểu Bạch, tiểu Tuyết cùng Da Đen mấy tên, lập tức liền vây quanh.

	"Những thứ này đều là trong thôn chúng ta người, là tới giúp chúng ta làm việc, các người cũng đừng vây quanh đi một bên chơi đi." Mưu Huy Dương thấy có mấy người khi nhìn đến to con Da Đen lúc có chút khiếp đảm, liền đối với mấy cái thú cưng nói.

	Tới trong những người này có rất nhiều đều là Tiểu Bạch chúng trước kia chưa từng thấy qua, nghe Mưu Huy Dương nói sau đó, Da Đen, Tiểu Bạch chúng đi tới những cái kia trước kia chưa từng thấy trước mặt người, ở bọn họ trên mình ngửi một chút sau đó, mới chạy về tiếp tục chơi đùa đứng lên.

	Thấy những cái kia mới trở về người cũng một bộ không giải thích được dáng vẻ, Chu Nhất Thương đối với bọn họ nói: "Da Đen, Tiểu Bạch, tiểu Tuyết chúng đều nhớ trong thôn người mùi, mấy người các ngươi mới trở về, bọn họ đây là đang đạt tới các ngươi mùi, như vậy các người sau này rồi đến tiểu Dương nơi này lúc tới, chúng mới không hợp sức công kích các người."

	"Con bà nó, những người này cũng quá thông minh đi."

	"Đúng vậy, mới vừa rồi chúng ta lúc tiến vào, những động vật kia nhìn về phía chúng ta trong ánh mắt có thể là có địch ý, ở Mưu Huy Dương nói chuyện sau đó, những tên kia trong mắt địch ý mới tản đi. Những động vật này quá đặc biệt có linh tính."

	" Ừ, ta đi làm ông chủ kia nuôi một con tàng ngao, nghe nói là phát tài hơn 1 triệu mới mua được, vậy tàng ngao mặc dù hung mãnh cũng rất hiểu tính người, có thể cùng tiểu Dương nhà những động vật này so với, vậy kém đơn giản là quá nhiều. Nếu như đem những động vật này cầm đi bán, mỗi chỉ bán 2-3 triệu đều có người muốn cướp."

	Làm thằng nhóc này nói cho tới khi nào xong thôi, hắn thấy những cái kia sớm trở về nhân hòa Chu Nhất Thương dùng xem ánh mắt ngu ngốc nhìn mình, hắn có chút không hiểu hỏi: "Ta mới vừa rồi thật giống như không nói lời gì sai à, các người làm sao dùng loại ánh mắt này nhìn ta?"

	"Hề hề, chúng ta là xem thằng nhóc ngươi đi ra ngoài đánh mấy năm công, có phải hay không biến thành ngu dại. Ngươi không biết đi, có người ra mười triệu muốn mua nhỏ trắng, Mưu Huy Dương ánh mắt đều không nháy mắt một chút liền cho cự tuyệt. Ngươi ông chủ kia nuôi cái gì chó má tàng ngao, liền tiểu Dương nhà những động vật này một cái chân cũng để không được."

	"Ngươi nói Tiểu Bạch là vậy con sói trắng đi, một cái chó sói mà thôi mười triệu cũng không bán, cái này tiểu Dương đầu không phải bị cửa kẹp chứ ?" Người kia có chút không tin hỏi.

	Người kia vừa mới dứt lời, liền nghe được một tiếng có chút tức giận tiếng sói tru, từ sân một bên truyền tới.

	"Thằng nhóc , chớ nói bậy bạ, Mưu Huy Dương nhà những động vật này có thể đều nghe hiểu tiếng người, mới vừa rồi tiểu Bạch tiếng rú, liền bày tỏ nó đã mất hứng, nếu là ngươi lại nói bậy bạ nói, coi chừng Tiểu Bạch chúng sau này tìm ngươi phiền toái, đến lúc đó coi như có thằng nhóc ngươi chịu được." Chu Nhất Thương nghe được tiểu Bạch tiếng rú sau đó, đối với cái đó trẻ tuổi sau thanh nói.
