Chương 1505: Khương Liên độ kiếp (3) 
 Converter Dzung Kiều cầu phiếu 

	"Tí tách. . . Oanh. . ."
	Bất đồng người nọ kêu lên hoàn, tia chớp màu xanh cũng đã đập vào Khương Liên đỉnh đầu phòng ngự linh khí lên, vậy lạnh người điện giật thanh, cùng với đánh vào phòng ngự linh khí lên lúc phát ra ầm ầm tiếng vang lớn, trực tiếp đem phía sau người nọ nói cho che mất.

	Trước sáu lần thiên kiếp thành công vượt qua, để cho Khương Liên nhẹ đánh giá cái này thứ bảy cướp uy lực, lần này nàng vẫn dựa theo trước khi kinh nghiệm, chỉ sử dụng một kiện thượng phẩm phòng ngự linh khí.

	Nhưng mà, cái này tia chớp màu xanh uy lực, hiển nhiên so thứ sáu cướp tia chớp mạnh không chỉ một lần, Khương Liên sử dụng vậy kiện thượng phẩm phòng ngự linh khí, giống như là giấy dán vậy, bị tia chớp màu xanh một kích mà phá.

	Gặp thứ bảy đạo thiểm điện đem Khương Liên sử dụng phòng ngự linh khí kích phá sau đó, vậy phòng ngự linh khí liền đống cặn bã cũng không thấy một chút, liền trực tiếp bị tức hóa.

	Lưu Hiểu Mai các nàng nếu không phải vì sợ đến lúc đó gặp phải đột nhiên tình huống xuất hiện, mấy người các nàng bị dọa đến lớn tiếng sợ hãi kêu, ảnh hưởng đến độ kiếp Khương Liên, trước thời hạn liền đem mình cái miệng nhỏ nhắn cho bưng kín, tuyệt đối sẽ bởi vì là quá độ lo lắng mà kinh kêu thành tiếng.

	Mưu Huy Dương thấy Khương Liên sử dụng vậy kiện phòng ngự linh khí bị một kích mà phá sau đó, cũng khẩn trương dùng sức nắm chặt hai quả đấm.

	Bất quá, Mưu Huy Dương biết cái này tia chớp màu xanh mặc dù lợi hại, nhưng mà vẫn không thể đem Khương Liên đánh chết, nhiều nhất để cho Khương Liên bị tương đối nghiêm trọng bị thương mà thôi, cho nên, hắn hiện đang khẩn trương là một chuyện khác.

	Chuyện này chính là hắn lo lắng cái này đạo thiểm điện đánh xuống ở Khương Liên trên mình sau đó, đem nàng trên người quần áo cũng hướng vậy phòng ngự linh khí vậy, toàn bộ bị tia chớp màu xanh đánh cho liền bụi đất bụi đất, như vậy tạo thành hậu quả trực tiếp, chính là để cho Khương Liên vậy liền mình cũng còn không có thấy qua uyển chuyển * thể, đều bị những cái kia tới xem xem độ kiếp người tu chân cho thấy hết à!

	Nếu quả thật xuất hiện loại chuyện này, Mưu Huy Dương cảm giác được mình liền thua thiệt quá đáng.

	Khương Liên nếu là biết ở mình thuộc về sống chết trước mắt lúc này Mưu Huy Dương tên nầy trong đầu lại nghĩ là cái này, nàng tuyệt đối sẽ một hớp đem Mưu Huy Dương cho cắn chết.

	Sự việc đúng như Mưu Huy Dương tưởng tượng như vậy, tia chớp màu xanh ngay tức thì liền đem Khương Liên mặc ở bên ngoài vậy cái áo đầm đốt thành Hôi Tẫn. Nhưng mà, áo đầm bị đốt thành Hôi Tẫn sau đó, Khương Liên thân thể lại bị một bộ bảo giáp cho bưng bít phải nghiêm nghiêm thật thật, không hề giống như Mưu Huy Dương nghĩ như vậy, đem tốt đẹp xuân quang bại lộ ở mọi người trước mắt.

	Vậy bộ bảo giáp mặc dù chặn lại tia chớp màu xanh, không có bị tia chớp màu xanh cho kích thành tro bụi, nhưng toàn bộ bảo giáp lên nhưng xuất hiện một ít nho nhỏ vết nứt, nhìn như tùy thời cũng có thể bể nát dáng vẻ.

	"Lòng giáp!"

	Có nguyên vẹn truyền thừa Mưu Huy Dương, liếc mắt liền nhìn ra gừng liền trên mình vậy kiện bảo giáp, lại là đặc biệt khó khăn nhất luyện chế thành công lòng giáp, không nhịn được thở dài nói: "Khương Liên vận khí thật là tốt không có cách nào nói, liên tâm giáp loại bảo bối này cũng luyện chế thành công!"

	Lòng giáp, danh như ý nghĩa nhưng mà cùng người có tâm thần tương liên bảo giáp.

	Bị cố tính suy nghĩ hại mình một thanh Khương Liên, mặc dù dựa vào lòng giáp tiếp nhận thứ bảy đạo thiên kiếp hạ xuống tia chớp, nhưng lại để cho lòng giáp bị nghiêm trọng tổn hại, lòng giáp bị tổn thương sau đó, hợp tâm thần giống nhau Khương Liên, cũng bị liên luỵ tiếp liền phun tốt mấy ngụm máu tươi, hiển nhiên bị thương không nhẹ.

	Thứ bảy đạo thiên kiếp sau khi kết thúc, thừa dịp thiên kiếp còn đang nổi lên thứ tám đạo thiên kiếp, Khương Liên nhanh chóng bắt lượng cướp bây giờ cách nhau điểm này thời gian, lập tức lấy ra một cái Mưu Huy Dương cho hắn chữa thương đan dược ném vào trong miệng, vận chuyển linh lực đem đan dược luyện hóa, khôi phục mình chỗ tổn thương.

	"Lại vượt qua!"

	Khâu lão quái các người nhìn đang bắt chặt thời gian chữa thương Khương Liên, trong mắt tất cả đều là rung động thần sắc, chính bọn họ biết, nếu như độ kiếp người là bọn họ trồng bất kỳ một người, tuyệt đối sẽ bị cái này tia chớp màu xanh dưới cho phách bụi đất bụi đất chôn vùi, liền đống cặn bã đều không còn dư lại một chút.

	Ngay tại Khương Liên thời điểm chữa thương, không trung mây kiếp vẫn còn ở tăng dầy, ở điện thiểm lôi minh trong, Khương Liên đỉnh đầu nguyên bản ô đen như mực mây kiếp, lúc này lại phơi bày ra xanh lơ Lam vẻ.

	Lần này, thiên kiếp uy áp trở nên cường đại hơn thêm, tất cả tu là ở nguyên anh kỳ dưới người tu chân, đều bị thiên kiếp uy áp ép tới quỳ rạp dưới đất, những cái kia nguyên anh kỳ tu vi người tu chân, mặc dù không có bị thiên kiếp uy áp ép tới giống như những cái kia nguyên anh kỳ dưới người tu chân như vậy quỳ sát chỗ trống, nhưng cũng bởi vì là không chịu nổi thiên kiếp uy áp, lui về phía sau ra mấy bên trong.

	Bây giờ, còn dừng lại ở chỗ cũ loài người người tu chân, trừ bị Mưu Huy Dương cùng hắn dùng không gian chi lực bảo vệ Lưu Hiểu Mai mấy nữ ra, cũng chỉ còn lại có Khâu lão quái cùng mấy cái hợp thể kỳ người tu chân.

	Mà yêu thú trời sanh liền sợ hãi thiên kiếp, bây giờ trừ kim tình Bạch Hổ cùng mấy chỉ có loài người hợp thể kỳ tu vi yêu thú lưu lại, là đang độ kiếp Khương Liên hộ pháp bên ngoài, những thứ khác yêu thú bởi vì là sợ hãi và không chịu nổi thiên giới uy áp, cũng toàn cũng lui ra ngoài.

	Mới vừa rồi Khương Liên trào máu, mấy nữ toàn đều thấy được, bây giờ trên mặt bọn họ tất cả đều là lo âu nồng đậm vẻ.

	"Chồng, chị Liên sẽ không có chuyện gì, đúng không?" Lưu Hiểu Mai hỏi.

	"Không có chuyện gì, các người cứ yên tâm đi." Nhìn mấy cái mặt đầy lo âu, nóng nảy vẻ mặt các bà xã, Mưu Huy Dương mỉm cười an ủi.

	"Nhưng mà, mới vừa rồi chị Liên cũng hộc máu." Phùng Mai nghe xong nhẹ giọng nói.

	"Đó là nàng tính toán sai rồi thứ bảy đạo thiên kiếp uy lực, mới bất ngờ bị thương, các người cũng đừng quên nàng bây giờ còn có tháp Luyện Ma không dùng đâu, đồ chơi kia nhưng mà thần khí, so với kia chút linh khí, bảo khí các loại pháp bảo phòng ngự mạnh quá nhiều, chỉ cần nàng tiếp theo sử dụng tháp Luyện Ma, nhất định sẽ thuận lợi vượt qua tất cả thiên kiếp, các người liền cũng đừng đang lo lắng cho."

	Ngay tại Mưu Huy Dương an ủi mấy nữ lúc này Khương Liên thương thế cũng đã tốt lắm 70% chừng.

	Khương Liên biết mình thương thế có thể nhanh như vậy liền khôi phục 70% cỡ đó, toàn dựa vào Mưu Huy Dương cho mình những cái kia bảo toàn tánh mạng chữa thương đan.

	Khương Liên không biết, Mưu Huy Dương cho nàng những cái kia chữa thương đan dược, đều là Mưu Huy Dương là mình chuẩn bị, những đan dược kia, là trước mắt hắn có thể luyện chế được tốt nhất chữa thương đan.

	Những cái kia chữa thương đan không chỉ có dược liệu khá vô cùng, đan dược trong còn có linh khí nồng nặc, tuy nói không có để cho thương thế ngay tức thì phục hồi như cũ như vậy biến thái công hiệu, so với hiện tại tu chân giới trong tốt nhất chữa thương đan tốt hơn n lần, cho nên, Khương Liên đang vận chuyển linh lực đem dược liệu luyện hóa sau đó, nàng thương thế cũng đã khôi phục 70%, nếu như Khương Liên tốn chút thời gian, đem chữa thương nhưng tất cả dược tính cũng luyện hóa hấp thu, nàng thương thế không nói có thể hết bệnh, nhưng chí ít cũng có thể khôi phục chín thành trở lên.

	Nhưng mà, Khương Liên bây giờ còn đang độ kiếp trong, nàng căn bản cũng không có thời gian đem chữa thương đan dược liệu toàn bộ luyện hóa hấp thu, ở cảm giác được mình thương thế đã khôi phục 70% sau đó, Khương Liên thì dừng lại, đem tháp Luyện Ma sử dụng, chuẩn bị nghênh đón thứ tám đạo thiên kiếp.

	Thấy Khương Liên sử dụng tháp nhỏ màu đen, gần đây cùng Ti Khấu Thần không thế nào đối phó Tư Đồ Hoằng Nghị, trên mặt tất cả đều là cười trên sự đau khổ của người khác thần sắc.
