Chương 522: Đánh gạo mới 
 Converter Dzung Kiều cầu khen thưởng 

	"Hề hề. . ."
	Đem tất cả mọi thứ từ trên xe dời xuống tới cất xong sau đó, Mưu Huy Dương ngồi xuống dự định nghỉ ngơi một chút khí, cũng không cùng hắn đem một cái hút thuốc hoàn, mẹ lại cho hắn tìm một cái việc làm.

	"Tiểu Dương, nghỉ sau một hồi, đi làm mấy túi năm nay đánh gạo mới tử chà chút gạo trở lại ngày mai ăn." Trình Quế Quyên nhìn ngồi ở cạnh bàn đá hút thuốc lá Mưu Huy Dương nói.

	Dời nhà mới ăn gạo mới đây cũng là trong thôn một mực dọc theo tập kích xuống thói quen, bất luận là ai dời nhà mới cũng biết đánh một ít năm đó gạo mới, làm gạo mới cơm tới chiêu đãi tân khách.

	Làm lao động chân tay Mưu Huy Dương tự nhiên sẽ không đem mình anh em rơi xuống, hắn đem Mưu Huy Kiệt kéo qua, hai anh em đem nhà chiếc chiếc xe tìm tới, sắp xếp mấy túi gạo mới liền hướng trong thôn phòng chà gạo đi.

	Cái này phòng chà gạo là trong thôn để cho tiện các hương thân gom tiền làm ra, người trong thôn đánh gạo cối xay mặt cái gì, cũng chỉ thu chút tiền điện cái gì, thu lệ phí cũng so bên ngoài thấp đủ cho nhiều.

	Trong thôn máy chà gạo vẫn là lấy trước cái loại đó kiểu cũ, chà ra gạo có chút bể, không giống trấn trên mấy năm này mới sử dụng cái loại đó máy chà vỏ, vậy máy móc chà ra gạo giống như là từng viên một lột đi ra tựa như, hết sức đều đều.

	Bất quá người trong thôn vẫn là đều thích ở trong thôn phòng chà gạo chà gạo cối xay mặt, thứ nhất là có cảm tình, thứ hai là đến trấn trên đường quá xa, các thôn dân ngại phiền toái.

	Hai anh em kéo nghiêm xe gạo mới, đi tới trong thôn phòng chà gạo, cái này phòng chà gạo ngay tại thôn ủy hội bên cạnh xây dựng một tòa căn phòng lớn trong.

	Trong thôn nhiều như vậy người, phòng chà gạo làm ăn cũng không giống như trấn trên tốt như vậy, có lúc mấy ngày cũng không có một người tới.

	"Chú Bảo Lượng, đang bận đâu, có không có ở đây giúp ta đánh mấy túi hạt thóc." Hai anh em đem xe ba gác kéo vào trong phòng chà gạo, Mưu Huy Dương đối chính ở xúi giục máy người hô.

	"À, là tiểu Dương à, ngươi cùng nhỏ một hồi ta lập tức tốt." Người nọ ngẩng đầu nhìn một cái Mưu Huy Dương nói.

	Mưu Huy Dương trong miệng chú Lý kêu Lý Bảo Lượng, hơn bốn mươi tuổi, ở trong thôn mở điện lúc này liền bị trong thôn phái đến trấn trên đi học qua một ít thợ điện kiến thức, sau khi trở lại không chỉ có đảm nhiệm trong thôn thợ điện một chức, cái này phòng chà gạo cũng cùng nhau giao cho hắn quản lý.

	Hai anh em đem trên xe ba gác gạo mới dời sau khi xuống tới, Lý Bảo Lượng nơi đó cũng tốt lắm, hắn vừa dùng một khối phá bố trí lướt qua trên tay dầu tí, vừa hướng hai anh em đi tới.

	"Tiểu Dương, ngươi cái này đánh hẳn là ngày mai ăn gạo mới chứ ?" Lý Bảo Lượng nhận lấy Mưu Huy Dương mắt đốt hút một hơi hỏi.

	"Đúng vậy, đây không phải là trong thôn có cái tập tục này sao? Mẹ ta liền phái chúng ta hai anh em tới làm việc này, chú Bảo Lượng, những thứ này gạo là chuẩn bị ngày mai ăn, ngươi được đem ngươi tốt nhất kỹ thuật lấy ra, đánh hồn thực một ít, đừng đánh phải quá bể ha ha."

	"Thằng nhóc ngươi còn chưa tin tay nghề ta à, xem ta ngày hôm nay làm sao dùng cái này lão máy móc, cho ngươi đánh ra máy chà vỏ hiệu quả tới." Lý Bảo Lượng cho Mưu Huy Dương một chút, hề hề cười nói.

	Lý Bảo Lượng sau khi nói xong đem máy chà gạo dây nịt da phủ lên, đóng công tắc nguồn điện sau máy chà gạo liền ùng ùng vận chuyển.

	Cái này kiểu cũ máy chà gạo cũng không muốn máy chà vỏ một lần liền có thể làm được, loại này kiểu cũ máy chà gạo chí ít cũng phải chà 2 lần, mới có thể đem hạt thóc biến thành gạo trắng lòa.

	Dùng gần 40 phút thời gian mới đưa Mưu Huy Dương hai anh em kéo tới gạo mới đánh xong, Mưu Huy Dương hốt lên một nắm đánh ra gạo nhìn xem, phát hiện cái này Lý Bảo Lượng chà gạo kỹ thuật thật đúng là trường tiến không thiếu, ngày hôm nay chà ra gạo tuy không có máy chà vỏ như vậy hạt tròn cũng hoàn hảo, nhưng cũng ít một chút bể gạo.

	Những cái kia gạo mới từng viên một đều hết sức đầy đặn, nhìn như có một loại cảm giác dịch thấu trong suốt, ánh sáng màu so năm trước gạo mới tốt hơn không thiếu.

	"Như thế nào, cái này còn được rồi?" Thấy Mưu Huy Dương nắm lên chà ra gạo nhìn, Lý Bảo Lượng có chút đắc ý hỏi.

	"Nào chỉ là không tệ, đơn giản là tuyệt! Chú Bảo Lượng, chú cái này chà gạo kỹ thuật là càng ngày càng tốt, dùng cái này máy móc cũng sắp đánh ra máy chà vỏ hiệu quả, lợi hại!" Mưu Huy Dương cười nói.Chương 522: Đánh gạo mới 
 Converter Dzung Kiều cầu khen thưởng 

	"Hề hề. . ."

	Mưu Huy Dương lúc đi học nghịch ngợm phá phách chuyện làm không ít, nhưng mà để cho Chu phu tử nhức đầu học sinh, vì thế, thường thường bố hắn thì sẽ để cho hắn ăn một bữa trúc cái thịt xào, nghe được giáo viên nhắc tới hắn đi học lúc chuyện, Mưu Huy Dương cào đầu, có chút ngượng ngùng hề hề cười.

	"Ơ, thằng nhóc ngươi bây giờ biết ngượng ngùng, khi còn bé làm sao không biết?" Chu phu tử xem nhẹ cái này Mưu Huy Dương nói.

	Mưu Huy Dương đi học lúc giờ học quăng nữ sinh đuôi sam nhỏ, đi nữ sinh trong bọc sách thả côn trùng nhỏ, trốn học bắt chim bắt cá, những chuyện này có thể làm không ít.

	Theo lý giống như hắn như vậy học sinh, thành tích học tập hẳn rất kém mới đúng, có thể Mưu Huy Dương cũng không như vậy, thành tích không chỉ có không kém, mỗi lần thi còn cũng phách trước lớp học thứ nhất, để cho Chu phu tử đối với hắn là vừa hận lại yêu.

	Biết được Mưu Huy Dương bởi vì trong nhà góp không đủ học phí không có đi ở trên trường cấp 3, không biết làm thế nào hắn cũng không có trợ giúp Mưu Huy Dương năng lực, mắt thấy trong thôn có hy vọng ra thứ nhất người sinh viên đại học, nhưng bởi vì là nghèo khó mà chặn học nghiệp, cái này làm cho Chu phu tử là bóp cổ tay thở dài rất lâu.

	Cũng may ba trăm sáu mươi nghề, người xuất sắc ra trạng nguyên, Mưu Huy Dương thằng nhóc này cũng không có để cho hắn thất vọng, ở tiêu trầm một đoạn lúc nào cũng ở giữa sau đó, mau chóng tỉnh ngộ chế bây giờ cơ nghiệp, bây giờ còn mang các thôn dân cùng nhau hướng trí phú trên đường chạy đi, cái này làm cho Chu phu tử lão hoài đại úy.

	Cùng Chu phu tử trò chuyện một hồi sau đó, Mưu Huy Dương đứng dậy nói: "Thầy, em đi hỗ trợ một chút, liền không quấy rầy thầy."

	"Ngày hôm nay trong nhà sự việc khẳng định không thiếu, ngươi đi đi làm việc đi, ta cũng phải vội vàng đem còn dư lại đôi liễn viết ra." Chu phu tử gật đầu một cái.

	Chu phu tử đối với trong thôn sự việc vẫn luôn rất quan tâm, Mưu Huy Dương nhà phát sinh hết thảy biến hóa hắn đều biết, để cho hắn không nghĩ tới là, Mưu Huy Dương dùng mình xúi giục được kỹ thuật, ở ngắn ngủi hơn nửa năm trong thời gian, sẽ để cho nhà hắn từ trong thôn nghèo khó hộ lập tức biến thành toàn thôn nhà giàu nhất.

	Chu phu tử dựa theo các thôn dân nói rau, cá, trái cây tiêu thụ giá cả, sơ lược tính toán một chút Mưu Huy Dương bây giờ xuất thân, phát hiện ít nhất phải có 20-30 triệu.

	Để cho hắn cảm thấy cao hứng chính là, Mưu Huy Dương mình phú liền sau đó, cũng không có quên vẫn còn ở mức nghèo khó hạ giãy giụa các hương thân, hắn là mình có thể dạy ra như vậy học sinh cảm thấy đặc biệt kiêu ngạo.

	Từ Chu phu tử nơi đó sau khi rời đi, Mưu Huy Kiệt chạy tới kéo hắn hỏi: "Anh, mới vừa rồi ngươi cùng Chu phu tử nói gì nói như vậy cao hứng?"

	"Thằng nhóc ngươi làm sao giống như một miệng dài phụ nữ vậy, cái gì cũng muốn hỏi thăm, đừng dài dòng nữa, đi cùng ta khuân đồ đi." Mưu Huy Dương cười ở em trai họ trên đầu vỗ một cái nói.

	"Anh, anh còn mua nhiều như vậy con ba ba à, đều có thật lâu chưa từng ăn qua thứ này, lần này có thể phải thật tốt cho đỡ thèm." Mưu Huy Kiệt nhìn trong buồng xe những cái kia con ba ba nói.

	"Thằng nhóc ngươi trước kia ăn con ba ba còn thiếu à, hơn nữa vậy còn đều là hoang dại, so những người này công nuôi dưỡng được không ăn nhiều, nếu không phải Trương Đại Trù lái ra mua con ba ba tờ đơn, ta thật không muốn mua vật này, những người này công nuôi dưỡng cũng chính là ăn danh tiếng, cũng không việc gì con ba ba mùi vị, nào có chúng ta trước kia bắt những cái kia hoang dại con ba ba ăn ngon à?" Mưu Huy Dương lắc đầu nói.

	"Bây giờ cũng không lưu hành cái này sao? Những người này công nuôi dưỡng tuy ăn không ngon, nhưng nhìn như khí phái à, có vật này nhiều nở mặt à, hề hề." Mưu Huy Kiệt cười đùa cợt nhã nói.

	"Trưởng rắm cái mặt mũi, cùng ta có thời gian đi bắt một ít hoang dại con ba ba trở lại nuôi, đến lúc đó sau muốn ăn con ba ba lúc này cũng không cần đi mua cái này dùng thức ăn gia súc nuôi đi ra ngoài đồ." Mưu Huy Dương mang lên một khuông con ba ba, rót vào chuẩn bị xong chậu lớn trong, dùng cá lưới đem chậu che chở tốt sau nói.

	"Nói thật, ta bây giờ muốn khởi trước kia ăn rồi vậy ba ba hoang dại mùi vị còn chảy nước miếng đâu, nếu là anh ngươi thật nuôi đi ra con ba ba, mùi vị đó khẳng định so với hoang dại khá tốt ăn."

	Mưu Huy Dương nghe xong gật đầu một cái, mình nuôi dưỡng con ba ba nước dùng, đây chính là phải thêm nước không gian, như vậy nuôi đi ra ngoài con ba ba mùi vị không nói so hoang dại khá tốt, chí ít sẽ không kém.

	Hai anh em cùng mấy cái giúp cùng nhau đem mua trở về đồ cũng dời xuống, do vào ngày mai mới biết sử dụng, những cái kia mua về thịt bò đều bị bắt được tủ lạnh, tủ lạnh trong lạnh giấu đi.

	Vậy con ba ba ngược lại là tốt nhất đánh chỉnh, đồ dời xong Mưu Huy Dương thừa dịp mọi người không chú ý mình, đựng chọc cười con ba ba dáng vẻ, lặng lẽ đi trang giáp cá chậu lớn trong tăng thêm một ít nước không gian, những cái kia con ba ba lập tức trở nên hơn nữa hăng hái dậy rồi, đừng nói ngày mai sẽ là một mực nuôi tiếp đều được.

	Đem tất cả mọi thứ từ trên xe dời xuống tới cất xong sau đó, Mưu Huy Dương ngồi xuống dự định nghỉ ngơi một chút khí, cũng không cùng hắn đem một cái hút thuốc hoàn, mẹ lại cho hắn tìm một cái việc làm.

	"Tiểu Dương, nghỉ sau một hồi, đi làm mấy túi năm nay đánh gạo mới tử chà chút gạo trở lại ngày mai ăn." Trình Quế Quyên nhìn ngồi ở cạnh bàn đá hút thuốc lá Mưu Huy Dương nói.

	Dời nhà mới ăn gạo mới đây cũng là trong thôn một mực dọc theo tập kích xuống thói quen, bất luận là ai dời nhà mới cũng biết đánh một ít năm đó gạo mới, làm gạo mới cơm tới chiêu đãi tân khách.

	Làm lao động chân tay Mưu Huy Dương tự nhiên sẽ không đem mình anh em rơi xuống, hắn đem Mưu Huy Kiệt kéo qua, hai anh em đem nhà chiếc chiếc xe tìm tới, sắp xếp mấy túi gạo mới liền hướng trong thôn phòng chà gạo đi.

	Cái này phòng chà gạo là trong thôn để cho tiện các hương thân gom tiền làm ra, người trong thôn đánh gạo cối xay mặt cái gì, cũng chỉ thu chút tiền điện cái gì, thu lệ phí cũng so bên ngoài thấp đủ cho nhiều.

	Trong thôn máy chà gạo vẫn là lấy trước cái loại đó kiểu cũ, chà ra gạo có chút bể, không giống trấn trên mấy năm này mới sử dụng cái loại đó máy chà vỏ, vậy máy móc chà ra gạo giống như là từng viên một lột đi ra tựa như, hết sức đều đều.

	Bất quá người trong thôn vẫn là đều thích ở trong thôn phòng chà gạo chà gạo cối xay mặt, thứ nhất là có cảm tình, thứ hai là đến trấn trên đường quá xa, các thôn dân ngại phiền toái.

	Hai anh em kéo nghiêm xe gạo mới, đi tới trong thôn phòng chà gạo, cái này phòng chà gạo ngay tại thôn ủy hội bên cạnh xây dựng một tòa căn phòng lớn trong.

	Trong thôn nhiều như vậy người, phòng chà gạo làm ăn cũng không giống như trấn trên tốt như vậy, có lúc mấy ngày cũng không có một người tới.

	"Chú Bảo Lượng, đang bận đâu, có không có ở đây giúp ta đánh mấy túi hạt thóc." Hai anh em đem xe ba gác kéo vào trong phòng chà gạo, Mưu Huy Dương đối chính ở xúi giục máy người hô.

	"À, là tiểu Dương à, ngươi cùng nhỏ một hồi ta lập tức tốt." Người nọ ngẩng đầu nhìn một cái Mưu Huy Dương nói.

	Mưu Huy Dương trong miệng chú Lý kêu Lý Bảo Lượng, hơn bốn mươi tuổi, ở trong thôn mở điện lúc này liền bị trong thôn phái đến trấn trên đi học qua một ít thợ điện kiến thức, sau khi trở lại không chỉ có đảm nhiệm trong thôn thợ điện một chức, cái này phòng chà gạo cũng cùng nhau giao cho hắn quản lý.

	Hai anh em đem trên xe ba gác gạo mới dời sau khi xuống tới, Lý Bảo Lượng nơi đó cũng tốt lắm, hắn vừa dùng một khối phá bố trí lướt qua trên tay dầu tí, vừa hướng hai anh em đi tới.

	"Tiểu Dương, ngươi cái này đánh hẳn là ngày mai ăn gạo mới chứ ?" Lý Bảo Lượng nhận lấy Mưu Huy Dương mắt đốt hút một hơi hỏi.

	"Đúng vậy, đây không phải là trong thôn có cái tập tục này sao? Mẹ ta liền phái chúng ta hai anh em tới làm việc này, chú Bảo Lượng, những thứ này gạo là chuẩn bị ngày mai ăn, ngươi được đem ngươi tốt nhất kỹ thuật lấy ra, đánh hồn thực một ít, đừng đánh phải quá bể ha ha."

	"Thằng nhóc ngươi còn chưa tin tay nghề ta à, xem ta ngày hôm nay làm sao dùng cái này lão máy móc, cho ngươi đánh ra máy chà vỏ hiệu quả tới." Lý Bảo Lượng cho Mưu Huy Dương một chút, hề hề cười nói.

	Lý Bảo Lượng sau khi nói xong đem máy chà gạo dây nịt da phủ lên, đóng công tắc nguồn điện sau máy chà gạo liền ùng ùng vận chuyển.

	Cái này kiểu cũ máy chà gạo cũng không muốn máy chà vỏ một lần liền có thể làm được, loại này kiểu cũ máy chà gạo chí ít cũng phải chà 2 lần, mới có thể đem hạt thóc biến thành gạo trắng lòa.

	Dùng gần 40 phút thời gian mới đưa Mưu Huy Dương hai anh em kéo tới gạo mới đánh xong, Mưu Huy Dương hốt lên một nắm đánh ra gạo nhìn xem, phát hiện cái này Lý Bảo Lượng chà gạo kỹ thuật thật đúng là trường tiến không thiếu, ngày hôm nay chà ra gạo tuy không có máy chà vỏ như vậy hạt tròn cũng hoàn hảo, nhưng cũng ít một chút bể gạo.

	Những cái kia gạo mới từng viên một đều hết sức đầy đặn, nhìn như có một loại cảm giác dịch thấu trong suốt, ánh sáng màu so năm trước gạo mới tốt hơn không thiếu.

	"Như thế nào, cái này còn được rồi?" Thấy Mưu Huy Dương nắm lên chà ra gạo nhìn, Lý Bảo Lượng có chút đắc ý hỏi.

	"Nào chỉ là không tệ, đơn giản là tuyệt! Chú Bảo Lượng, chú cái này chà gạo kỹ thuật là càng ngày càng tốt, dùng cái này máy móc cũng sắp đánh ra máy chà vỏ hiệu quả, lợi hại!" Mưu Huy Dương cười nói.
