Chương 700: Lại xảy ra một kế 
 Converter Dzung Kiều cầu khen thưởng 

	"Chỉ cần chủ nhân hài lòng liền tốt." Ichiro Otoko cung kính nói.
	Gặp Mưu Huy Dương đáp ứng, Ichiro Hideki rất là cao hứng, "Vậy Hideki cám ơn chủ nhân, ta đi trước xem xem cho chủ nhân ngươi chọn lựa một kiện tốt nhất làm phòng ngủ." Sau khi nói xong, tâm tình vui thích Ichiro Hideki, bước nhanh nhẹn bước chân, hướng biệt thự lầu hai chạy đi lên.

	Nhìn Ichiro Hideki vậy nhẹ nhàng hình bóng, Mưu Huy Dương nói với nàng nói: "Hideki, ngươi nếu thành phụ nữ của ta, sau này cũng không cần lại kêu ta chủ nhân, như vậy ta nghe không được tự nhiên, ngươi sau này liền kêu ta tên chữ, hoặc là tiểu Dương, nếu không kêu chồng ta đều được."

	Nghe được Mưu Huy Dương thừa nhận mình là hắn người phụ nữ, Ichiro Hideki thân thể cứng đờ, lập tức ngừng lại, quay đầu, dùng nước mông mông mắt nhìn Mưu Huy Dương, có chút cảm kích nức nở nói: "Cám ơn chủ, chồng. . ."

	Ichiro Otoko cũng không nghĩ tới, Mưu Huy Dương nhanh như vậy liền thừa nhận cháu gái mình thân phận, mình buổi sáng còn đang lo lắng cho sự việc, bây giờ liền được viên mãn giải quyết, cái này làm cho Ichiro Otoko trong lòng cũng dâng lên một tia lòng cảm kích.

	"Đúng rồi, Ichiro Otoko, ngươi là Hideki ông nội, sau này ngươi cũng không cần ở kêu ta chủ nhân, cũng gọi ta tên chữ đi." Nhìn Ichiro Hideki đi lên lầu hai, Mưu Huy Dương sau khi suy nghĩ một chút đối với Ichiro Otoko nói.

	"Chủ nhân, thành tựu nô bộc, lão nô tuyệt đối không dám không ngừng kêu tên của ngài. . ."

	"Tốt lắm, chỉ cần ngươi trong lòng biết mình là thân phận gì là được, còn lại chỉ là một gọi mà thôi, đó cũng không trọng yếu, nói ngươi dầu gì cũng là gia tộc Ichiro gia tộc, nếu là người khác nghe được ngươi thêm chủ nhân ta, vậy đối với các người gia tộc Ichiro danh dự cũng không tốt, lúc này cứ quyết định như vậy." Mưu Huy Dương phất phất tay nói.

	Nghe được Mưu Huy Dương lại vì hắn cùng gia tộc Ichiro tác tưởng, Ichiro Otoko nghĩ đến: Cái này Mưu Huy Dương quả nhiên giống như trong tài liệu nói như vậy, đối đãi người mình rất là chiếu cố. Lúc này, hắn trong lòng lòng cảm kích nhất thời kịch tăng, cảm giác được mình trở thành Mưu Huy Dương người làm giống như cũng là rất tốt. . .

	"Cám ơn chủ nhân, nếu không sau này ở trước mặt người ngoài lúc này lão ngươi gọi chủ nhân ngài vì Mưu công tử, chủ nhân ngươi xem như vậy được không?" Ichiro Otoko hỏi.

	"Những thứ này đều là chuyện nhỏ, ngươi tự xem làm là được." Mưu Huy Dương không muốn sẽ cùng cái này có chút bị coi thường lão đầu nói gì, phất phất tay sau đó hướng lầu hai đi tới.

	Ngay tại Mưu Huy Dương đi thăm mình biệt thự lúc này Yamamoto Ido cùng Ishikawa Jirō lần nữa tụ với nhau, lần này hai người đều bị Mưu Huy Dương ngay trước mặt của nhiều người như vậy, làm cho thất vọng, cái này làm cho hai người trong lòng hận ý cũng sắp bạo biểu.

	Bọn họ đều là con em gia tộc, cho tới bây giờ còn không có bị cái loại này làm nhục, vì vậy hai người bắt đầu muốn, tiếp theo muốn dùng thủ đoạn gì tới báo thù Mưu Huy Dương.

	"Thằng nhóc này là chân thực quá đáng ghét, ta không đem hắn tháo ra 8 khối thề không làm người." Trở lại chỗ ở sau đó, vừa nghĩ tới mình ngày hôm nay trả thù sao, ngược lại bị Mưu Huy Dương ở một lần làm nhục một lần, Yamamoto Ido liền kêu la như sấm mắng.

	Sau khi mắng xong, Yamamoto Ido lại chỉ mình người mang tới mắng: "Còn có các người những phế vật này, ngày thường mỗi một người đều là một bộ bố đệ nhất thiên hạ dáng vẻ, nhưng mà liền một cái Hoa Hạ thằng bụi đời cũng không thu thập được, gia tộc nuôi các người còn có cái gì dùng. . ."

	"Núi bổn thiếu gia bớt giận, thằng nhóc kia công phu rất lợi hại, nếu bàn về vũ khí lạnh đánh giết mà nói, chúng ta những người này đều không phải là hắn đối thủ, nếu chúng ta dùng vũ khí lạnh không đánh lại hắn, như vậy chúng ta sẽ dùng súng, tìm một ít giỏi giang thủ hạ mang theo súng chi, lúc buổi tối lại đi tìm vậy thằng nhóc TQ trả thù, đến lúc đó mọi người cùng nhau tiến lên, hướng về phía hắn chính là một hồi mãnh bắn, ta cũng không tin hắn vẫn có thể chống đỡ được viên đạn." Ishikawa Jirō ác độc nói.

	Ishikawa Jirō mà nói, một chút đem đang tức giận Yamamoto Ido cho đề tỉnh, hắn biết, chính là trong gia tộc những cái kia thượng nhẫn, tuy có thể tránh thoát một lượng chi súng ống công kích, nhưng nếu là đồng thời mấy chi thương đối với bọn họ tiến hành công kích, bọn họ cũng không khả năng trốn được đi.

	"Đúng vậy, công phu ở đâu còn có ích lợi gì, đến lúc đó chỉ cần một băng đạn đã qua, vẫn không ngừng biến thành một cái tổ ong vò vẽ." Nghĩ tới đây, Yamamoto Ido tựa như thấy được Mưu Huy Dương ngã trong vũng máu, thống khổ giãy giụa dáng vẻ, tính nhất thời liền tốt hơn nhiều.Chương 700: Lại xảy ra một kế 
 Converter Dzung Kiều cầu khen thưởng 

	"Chỉ cần chủ nhân hài lòng liền tốt." Ichiro Otoko cung kính nói.

	Ichiro Otoko chỉ sợ biệt thự này Mưu Huy Dương vị gia này không hài lòng, như vậy mình thì có giằng co, bây giờ thấy ngôi biệt thự này Mưu Huy Dương coi như hài lòng, Ichiro Otoko treo lòng rốt cuộc để xuống.

	Ngày hôm nay Mưu Huy Dương cùng Ichiro Hideki đi dạo phố lúc này thu thập gia tộc Ishikawa Ishikawa Jirō, còn nghĩ gia tộc Yamamoto một cái con em bị sợ tè ra quần chật vật chạy trốn, những chuyện này sớm đã có người hướng hắn báo cáo.

	Ichiro Otoko rõ ràng, chỉ cần mình sau này mình đem Mưu Huy Dương cái này gia phục vụ cao hứng, như vậy sau này hắn cùng hắn gia tộc Ichiro là có thể thăng quan tiến chức nhanh chóng, ngược lại, nếu là đắc tội vị này không sợ trời không sợ đất sát thần, không chỉ là hắn liền là cả gia tộc vậy cũng chạy không thoát bị diệt vong vận mệnh.

	"Chủ nhân, ta còn đặc biệt tìm 2 gia tộc trong nhất trẻ tuổi xinh đẹp cô gái, để cho bọn họ chiếu cố chủ nhân ngươi sinh hoạt cuộc sống thường ngày, hy vọng hai người bọn họ còn có thể để cho chủ nhân cảm thấy hài lòng. . ." Ichiro Otoko khom người, đối với Mưu Huy Dương nói.

	Sau khi nói xong, Ichiro Otoko chỉ vậy hai cái cô gái nói: "Hai người các ngươi người nhớ, sau này hai người các ngươi người chính là đặc biệt chiếu cố chủ nhân người làm, các người cũng cho ta dùng điểm tâm, nếu là đem chủ nhân chăm sóc kỹ, gia tộc sẽ cho các người phong phú tưởng thưởng, nhưng nếu là để cho chủ nhân có một điểm nhỏ không hài lòng, ta sẽ dùng nghiêm khắc nhất gia pháp trừng phạt các ngươi, biết không?"

	" Uhm, hai chúng ta nhất định sẽ tận tâm tận lực chăm sóc kỹ chủ nhân, tuyệt không dám có nửa điểm lười biếng, mời gia chủ yên tâm." Hai cô gái cúi đầu, vâng vâng dạ dạ trả lời.

	Mình lại thời điểm ở trong biệt thự muốn làm một ít không thể để cho người ngoài biết sự việc, cái này Ichiro Otoko cho mình an bài 2 phụ nữ tới hầu hạ mình, tuy biết đạo hắn cái này là có một miếng tốt bụng, có thể Mưu Huy Dương nhưng cảm thấy có chút không ổn.

	Mưu Huy Dương nhìn một chút vậy 2 người cô gái, dáng dấp coi như không tệ, bất quá hắn vẫn là không có dự định để cho hai người lưu lại, vì vậy đối với Ichiro Otoko nói: "Ichiro Otoko, ta không hy vọng biệt thự này trong có người ngoài tồn tại, ngươi hay là đem cái này hai người mang về chứ ?"

	"Chủ nhân, lão nô không có ý tứ gì khác, chỉ là muốn để cho cái này hai cái cô gái giúp chủ nhân làm một chút cơm, quét dọn một chút vệ sinh, tránh cho ngược lại là những chuyện này còn muốn chủ nhân ngươi tự mình động thủ. Chủ nhân, xin ngài yên tâm, hai người bọn họ đều là gia tộc chúng ta con em, không nên nói tuyệt đối sẽ không đi bên ngoài nói, không nên nhìn các nàng cũng tuyệt đối không dám loạn nhìn, còn xin chủ nhân nhận lấy, nếu là chủ nhân ngươi cảm thấy không yên lòng, cũng có thể cho hai người bọn họ cái kế tiếp nô bộc cấm chỉ." Ichiro Otoko giải thích.

	Ichiro Otoko lời nói Mưu Huy Dương cũng cảm thấy có đạo lý, lớn như vậy một cái biệt thự, sau này mình cũng không thể tự tay đi thu thập đi, nếu là không yên tâm 2 người, mình có thể hướng Ichiro Otoko nói như vậy, cho hai người bọn họ cũng cái kế tiếp nô bộc cấm chỉ, như vậy thì không sợ các nàng đem chuyện của mình đi bên ngoài nói.

	"Được rồi, sẽ để cho hai người bọn họ ở lại đây đi." Nghĩ tới đây, Mưu Huy Dương gật đầu một cái, sau khi nói xong liền hướng trong biệt thự đi tới.

	Tối hôm qua Mưu Huy Dương đem người trong gia tộc giết chật vật chạy trốn, sau đó vẫn cùng Bát Kỳ đại xà đại chiến một trận, đem các nàng phụng vì thần bảo vệ Bát Kỳ đại xà, đánh đỡ lên mây đen liền chật vật chạy trốn, mặc dù Mưu Huy Dương là tới trong gia tộc tìm phiền toái, nhưng cái này cũng không ảnh hưởng hai trong lòng cô bé đối với Mưu Huy Dương kính nể cùng sùng bái, ngày hôm nay tộc trưởng để cho hai người cho Mưu Huy Dương làm người làm, hai người mới một chút cũng không do dự đáp ứng.

	"Cám ơn chủ nhân!" Hai vai nữ 1 nghe Mưu Huy Dương đem hai người bọn họ lưu lại, trong lòng vô cùng hưng phấn, vội vàng cung kính cảm tạ.

	"Tốt lắm, các người đi xuống đi, chủ nhân bọn họ ngày hôm nay ở bên ngoài đi dạo hơn nửa ngày đường phố, còn không có dùng cơm, các người nhanh đi cho chủ nhân chuẩn bị bữa trưa đi." Đến khi Mưu Huy Dương sau khi vào nhà, Ichiro Otoko từ một cái một mực cung kính nô bộc dạng, có lập tức khôi phục gia tộc khí thế, đối với hai nữ phân phó nói.

	Chỗ này biệt thự bởi vì vì mới mua xong không lâu, Ichiro Hideki trước kia cũng cho tới bây giờ chưa có tới, vào biệt thự sau đó, Ichiro Hideki liền nói đến: "Chủ nhân, ta muốn đi nhìn biệt thự một chút gian phòng, được không?"

	Ichiro Hideki đem tấm thân xử nữ hiến cho mình, vậy sau này chính là người phụ nữ mình, Mưu Huy Dương cũng không có chơi người ở là tốt, cảm thấy để cho nàng kêu chủ nhân mình, trong lòng có chút không được tự nhiên.

	"Cái này đi xem xem gian nhà còn có cái này xin phép sao? Muốn đi thì đi thôi." Mưu Huy Dương cười nói.

	Gặp Mưu Huy Dương đáp ứng, Ichiro Hideki rất là cao hứng, "Vậy Hideki cám ơn chủ nhân, ta đi trước xem xem cho chủ nhân ngươi chọn lựa một kiện tốt nhất làm phòng ngủ." Sau khi nói xong, tâm tình vui thích Ichiro Hideki, bước nhanh nhẹn bước chân, hướng biệt thự lầu hai chạy đi lên.

	Nhìn Ichiro Hideki vậy nhẹ nhàng hình bóng, Mưu Huy Dương nói với nàng nói: "Hideki, ngươi nếu thành phụ nữ của ta, sau này cũng không cần lại kêu ta chủ nhân, như vậy ta nghe không được tự nhiên, ngươi sau này liền kêu ta tên chữ, hoặc là tiểu Dương, nếu không kêu chồng ta đều được."

	Nghe được Mưu Huy Dương thừa nhận mình là hắn người phụ nữ, Ichiro Hideki thân thể cứng đờ, lập tức ngừng lại, quay đầu, dùng nước mông mông mắt nhìn Mưu Huy Dương, có chút cảm kích nức nở nói: "Cám ơn chủ, chồng. . ."

	Ichiro Otoko cũng không nghĩ tới, Mưu Huy Dương nhanh như vậy liền thừa nhận cháu gái mình thân phận, mình buổi sáng còn đang lo lắng cho sự việc, bây giờ liền được viên mãn giải quyết, cái này làm cho Ichiro Otoko trong lòng cũng dâng lên một tia lòng cảm kích.

	"Đúng rồi, Ichiro Otoko, ngươi là Hideki ông nội, sau này ngươi cũng không cần ở kêu ta chủ nhân, cũng gọi ta tên chữ đi." Nhìn Ichiro Hideki đi lên lầu hai, Mưu Huy Dương sau khi suy nghĩ một chút đối với Ichiro Otoko nói.

	"Chủ nhân, thành tựu nô bộc, lão nô tuyệt đối không dám không ngừng kêu tên của ngài. . ."

	"Tốt lắm, chỉ cần ngươi trong lòng biết mình là thân phận gì là được, còn lại chỉ là một gọi mà thôi, đó cũng không trọng yếu, nói ngươi dầu gì cũng là gia tộc Ichiro gia tộc, nếu là người khác nghe được ngươi thêm chủ nhân ta, vậy đối với các người gia tộc Ichiro danh dự cũng không tốt, lúc này cứ quyết định như vậy." Mưu Huy Dương phất phất tay nói.

	Nghe được Mưu Huy Dương lại vì hắn cùng gia tộc Ichiro tác tưởng, Ichiro Otoko nghĩ đến: Cái này Mưu Huy Dương quả nhiên giống như trong tài liệu nói như vậy, đối đãi người mình rất là chiếu cố. Lúc này, hắn trong lòng lòng cảm kích nhất thời kịch tăng, cảm giác được mình trở thành Mưu Huy Dương người làm giống như cũng là rất tốt. . .

	"Cám ơn chủ nhân, nếu không sau này ở trước mặt người ngoài lúc này lão ngươi gọi chủ nhân ngài vì Mưu công tử, chủ nhân ngươi xem như vậy được không?" Ichiro Otoko hỏi.

	"Những thứ này đều là chuyện nhỏ, ngươi tự xem làm là được." Mưu Huy Dương không muốn sẽ cùng cái này có chút bị coi thường lão đầu nói gì, phất phất tay sau đó hướng lầu hai đi tới.

	Ngay tại Mưu Huy Dương đi thăm mình biệt thự lúc này Yamamoto Ido cùng Ishikawa Jirō lần nữa tụ với nhau, lần này hai người đều bị Mưu Huy Dương ngay trước mặt của nhiều người như vậy, làm cho thất vọng, cái này làm cho hai người trong lòng hận ý cũng sắp bạo biểu.

	Bọn họ đều là con em gia tộc, cho tới bây giờ còn không có bị cái loại này làm nhục, vì vậy hai người bắt đầu muốn, tiếp theo muốn dùng thủ đoạn gì tới báo thù Mưu Huy Dương.

	"Thằng nhóc này là chân thực quá đáng ghét, ta không đem hắn tháo ra 8 khối thề không làm người." Trở lại chỗ ở sau đó, vừa nghĩ tới mình ngày hôm nay trả thù sao, ngược lại bị Mưu Huy Dương ở một lần làm nhục một lần, Yamamoto Ido liền kêu la như sấm mắng.

	Sau khi mắng xong, Yamamoto Ido lại chỉ mình người mang tới mắng: "Còn có các người những phế vật này, ngày thường mỗi một người đều là một bộ bố đệ nhất thiên hạ dáng vẻ, nhưng mà liền một cái Hoa Hạ thằng bụi đời cũng không thu thập được, gia tộc nuôi các người còn có cái gì dùng. . ."

	"Núi bổn thiếu gia bớt giận, thằng nhóc kia công phu rất lợi hại, nếu bàn về vũ khí lạnh đánh giết mà nói, chúng ta những người này đều không phải là hắn đối thủ, nếu chúng ta dùng vũ khí lạnh không đánh lại hắn, như vậy chúng ta sẽ dùng súng, tìm một ít giỏi giang thủ hạ mang theo súng chi, lúc buổi tối lại đi tìm vậy thằng nhóc TQ trả thù, đến lúc đó mọi người cùng nhau tiến lên, hướng về phía hắn chính là một hồi mãnh bắn, ta cũng không tin hắn vẫn có thể chống đỡ được viên đạn." Ishikawa Jirō ác độc nói.

	Ishikawa Jirō mà nói, một chút đem đang tức giận Yamamoto Ido cho đề tỉnh, hắn biết, chính là trong gia tộc những cái kia thượng nhẫn, tuy có thể tránh thoát một lượng chi súng ống công kích, nhưng nếu là đồng thời mấy chi thương đối với bọn họ tiến hành công kích, bọn họ cũng không khả năng trốn được đi.

	"Đúng vậy, công phu ở đâu còn có ích lợi gì, đến lúc đó chỉ cần một băng đạn đã qua, vẫn không ngừng biến thành một cái tổ ong vò vẽ." Nghĩ tới đây, Yamamoto Ido tựa như thấy được Mưu Huy Dương ngã trong vũng máu, thống khổ giãy giụa dáng vẻ, tính nhất thời liền tốt hơn nhiều.
