Chương 253: Lúc nào câu lên 
 Converter Dzung Kiều cầu phiếu 

	"Là ai ?"Triệu Vân ánh mắt sáng lên, có chút kích động bắt Mưu Huy Dương tay hỏi.
	"Nếu là bị chuyện này dính líu là những tham quan kia, ta cảm thấy ở cái này không có gì thật đáng tiếc, ngược lại cảm thấy cái này là một chuyện tốt, nếu là cho mượn chuyện này đem những tham quan kia cũng thu thập, ta tin tưởng chánh phó ngành ở nhân dân ở giữa công tin lực không chỉ có sẽ không hạ xuống, ngược lại sẽ đạt được tăng lên, loại này là dân làm chuyện thật chánh phó đem hơn nữa bị dân chúng ủng hộ."

	Mưu Huy Dương nơi xong đột nhiên Triệu Vân lần này tới giúp mình, không biết có thể hay không bởi vì là chuyện này bị liên luỵ, có chút bận tâm hỏi: "Triệu đại mỹ nữ, ngươi lần này tới giúp ta, có thể hay không bởi vì là chuyện này bị liên luỵ à?"

	Nghe được Mưu Huy Dương quan tâm, Triệu Vân trong lòng cũng thật cao hứng, có thể tưởng tượng đến mình tới lâu như vậy, Mưu Huy Dương đến bây giờ mới nhớ tới hỏi chuyện mình, Triệu Vân trong lòng lập tức liền cảm thấy rất không thoải mái, mắng: "Hừ, ta một đường ngựa không ngừng vó câu vội vã chạy tới, ngươi bây giờ mới nhớ hỏi ta một chút, thật là người không có lương tâm khốn kiếp!"

	"Ta mới vừa rồi bị thằng khốn kiếp kia dùng súng làm cho sợ hãi, đây không phải là mới nhớ sao? Ngươi không biết thật sẽ phải chịu liên luỵ chứ ?"

	Triệu Vân nhận được mình điện thoại sau đó, không nói hai lời lập tức liền lấy nhanh nhất tốc độ hướng thành phố Mộc chạy tới giúp mình, có thể mình cho đến bây giờ cũng không có nói qua một câu cảm tạ, càng không hỏi qua Triệu Vân tới lúc ở trên đường gặp phải tình huống gì không có, bây giờ bị Triệu Vân mắng, hắn lập tức liền cảm thấy thật xin lỗi.

	Thấy Mưu Huy Dương mặt đầy dáng vẻ lúng túng, Triệu Vân vểnh môi anh đào cười một chút nói: "Ta lại không tham ô thối rữa, cũng không phải cái này hắc ác thế lực bảo vệ dù, làm sao biết bị liên luỵ."

	"Vậy thì tốt, nếu là ngươi bởi vì là chuyện này bị dính líu mà nói, ta cả đời cũng biết cảm thấy áy náy."Mưu Huy Dương thở phào nhẹ nhõm nói.

	Nghe được Mưu Huy Dương những lời này, Triệu Vân cũng nho nhỏ cảm động một cái, mới vừa muốn an ủi Mưu Huy Dương một chút, lại nghe được cục trưởng Cổ thanh âm tức giận.

	Nguyên lai theo vị cảnh sát kia nói tố, cục trưởng Cổ sắc mặt càng ngày càng lạnh, tức giận trong lòng nhưng càng ngày càng lớn, làm sau khi nghe xong, rốt cuộc không nhịn được mắng to một tiếng: "Nhất định chính là một đám thứ bại hoại!"

	Cục trưởng Cổ sau khi mắng xong, đem tức giận trong lòng hơi lắng xuống một chút, để cho đi theo cảnh sát kinh Mưu Huy Dương mang đi ra ngoài nghỉ ngơi, hắn thì đối với Triệu Vân nói: "Không nghĩ tới tờ này lôi lại như vậy một tên khốn kiếp, tiểu Vân, đi chúng ta đi phòng giám sát và điều khiển xem xem, xem vị này đồn trưởng Trương là làm sao đối đãi ngươi vị bằng hữu này."

	"Chú Cổ, cháu cũng không phải là các ngươi thành phố Mộc cảnh sát, loại chuyện này cháu cũng không xen vào." Triệu Vân sau khi nghe nhanh chóng từ chối nói.

	Nghe Triệu Vân mà nói, cục trưởng Cổ cũng không có đang kiên trì, tuy nói Triệu Vân cũng là một hệ thống, nhưng dù sao không phải là thành phố Mộc bản xứ cảnh sát, cộng thêm hắn cùng người trong cuộc lại là bạn quan tâm, muốn là thật đi theo mình đi điều tra chuyện này mà nói, bị những cái kia bị có dụng tâm người bắt cái này điểm này mà nói, đến lúc đó thật đúng là phiền toái.

	Mưu Huy Dương mấy người bị đưa đến đồn công an một gian phòng nghỉ ngơi, sau khi đi vào Mưu Huy Dương phát hiện Tiếu Di Bình cùng Tương Lệ cũng sớm đã đến nơi này, làm hai cô gái thấy Mưu Huy Dương cùng một cái xinh đẹp nữ cảnh sát cùng nhau đi vào, cùng thấy rõ ràng tiến vào nữ cảnh sát là Triệu Vân sau đó, Tiếu Di Bình lập tức đứng lên cười nghênh đón.

	"Cảnh sát Triệu, vì chúng ta chuyện còn để cho ngươi đặc biệt chạy tới một chuyến, cho ngươi thêm phiền toái, cám ơn!"Tiếu Di Bình kéo Triệu Vân tay vừa nói cảm tạ.

	"Chị Di Bình, mọi người đều là bạn, liền đừng bảo là khách khí như vậy, nói ta lần này tới cũng không có giúp được gì."

	Tương Lệ nghe Tiếu Di Bình mà nói, mới biết cái này nữ cảnh sát chính là Mưu Huy Dương tìm tới giúp tỉnh thành bạn, Tương Lệ dùng một loại ánh mắt quái dị nhìn Mưu Huy Dương một cái, đi tới đến Mưu Huy Dương bên người, dùng chỉ có thể bọn họ 2 cái người nghe được thanh âm hỏi nhỏ: "Mưu Huy Dương, ngươi cùng cái này mỹ nữ cảnh sát là lúc nào cấu kết."

	Mưu Huy Dương nghe Tương Lệ mà nói, óc nhất thời tối sầm, rất là buồn bực nói: "Đại luật sư Tương, nói chuyện đừng khó như vậy nghe có được hay không, có ngươi như thế xinh đẹp đại mỹ nữ ở đây, ta cần gì phải bỏ gần cầu xa, muốn dụ dỗ cũng trước dụ dỗ ngươi à!"

	"Tiểu Lệ, tới giới thiệu một người bạn cho ngươi biết, "Tương Lệ đang muốn lúc nói chuyện, Tiếu Di Bình nhưng hướng về phía nàng liền hô lên.

	"Hừ, ngươi cái này mê gái củ cải lớn, nếu là dám thật xin lỗi Bình Bình mà nói, ta đầu tiên là không buông tha ngươi."Tương Lệ uy hiếp Mưu Huy Dương một câu sau đó, vừa mới nghĩ Tiếu Di Bình 2 người đi tới.

	"Cái này cũng cái gì cùng cái gì à?"Mưu Huy Dương nghe Tương Lệ mà nói, thật là hết ý kiến, không nhịn được ở trong lòng nghĩ đến, chẳng lẽ hôm nay là mình sát ngày, không thích hợp ra cửa, nếu không làm sao biết trước gặp phải Trương Lương đám côn đồ kia, bị buộc đánh một trận, cái này chuyện đánh nhau còn không có giải quyết đâu, phải bị Tương Lệ cô nàng này oan uổng một lần, xem ra sau này lúc ra cửa trước bay vùn vụt hoàng lịch mới được.

	Thông qua giới thiệu, Tương Lệ cùng Triệu Vân rất nhanh liền quen thuộc, ba phụ nữ ríu rít trò chuyện một hồi sau đó, Tiếu Di Bình có chút bận tâm hỏi: "Triệu Vân, tiểu Dương lần này sẽ rất nhiều côn đồ tay chân cũng cắt đứt, sẽ không có việc gì à?"

	"Ta biết một chút, cái đó bị Mưu Huy Dương cắt đứt xương sườn côn đồ thủ lãnh, là các ngươi thành phố Mộc một cái phó thị trưởng em vợ, ta nghe nói vị này phó thị trưởng đã từng cho đồn công an gọi điện thoại, nói Mưu Huy Dương là cực kỳ tàn bạo hung phạm, muốn đồn công an nghiêm ngặt xử lý, quyết không thể. . ."

	Nghe Triệu Vân lời nói sau đó, Tiếu Di Bình trong lòng lửa giận lập tức liền xông lên, "Hừ, rõ ràng mình em vợ chính là hắc ác thế lực, hắn cũng không để ý không hỏi, tiểu Dương bị buộc tự vệ nhưng thành hung phạm, thật không biết giống như loại này điên đảo thị phi, đen trắng chẳng phân biệt được người là làm sao leo đến vị trí cao như vậy?"

	"Người kia chức vị là không thấp, bất quá bây giờ chuyện này cũng không phải hắn muốn như thế nào thì như thế đó, cũng không phải hắn có thể quản, chị Bình chị cũng không cần quá lo lắng."Triệu Vân nghe xong cười một tiếng khuyên nhủ.

	"Đây rốt cuộc là chuyện gì xảy ra?"Tiếu Di Bình nghe xong không hiểu hỏi.

	Thấy Tiếu Di Bình cùng Tương Lệ đều là vẻ kiêu ngạo không hiểu dáng vẻ, Triệu Vân liền đem chuyện này đến tiếp sau này phát triển tương hai cô gái nói một lần.

	"Liền lãnh đạo tỉnh đều biết, cái này có phải hay không huyên náo lớn hơn sao? Dẫu sao tiểu Dương đả thương nhiều người như vậy, đến lúc đó có thể hay không truy cứu hắn trách nhiệm à?"Tiếu Di Bình sau khi nghe trong lòng lo âu cũng không có để xuống.

	Tương Lệ xem mình bạn gái thân biểu hiện, rất là buồn bực nghĩ đến: "Nói cái này người phụ nữ đang yêu chỉ số thông minh sẽ thành thấp, xem ra lời này thật đúng là không giả, mình cái này bạn gái thân trước kia là một người khôn khéo biết bao à, có thể gặp phải cùng Mưu Huy Dương có liên quan sự việc, vậy chỉ số thông minh liền thẳng tắp hạ xuống, cũng sắp cùng ngu si xong hết rồi."

	Tương Lệ trong lòng phê phán trước Tiếu Di Bình, có thể thấy bạn gái thân vậy mặt đầy lo âu bộ dáng gấp gáp, trong lòng có rất là không đành lòng, "Bình Bình, Mưu Huy Dương đó là thuộc về tự vệ, tự vệ biết không, coi như là hơi quá, nhưng ở bị mấy chục người vây công dưới tình huống, ra tay nặng chút đó cũng là về tình thì có thể lượng thứ, ngươi yên tâm đi, chính là đây là cuối cùng ầm ĩ tòa án, hắn cũng chắc chắn sẽ không bị phán hình, bồi thường nhiều nhất những cái kia bị thương người một chút tiền thuốc thang thôi."

	/*Dzung Kiều : không biết có ăn cô luật sư này không ta ? */Chương 253: Lúc nào câu lên 
 Converter Dzung Kiều cầu phiếu 

	"Là ai ?"Triệu Vân ánh mắt sáng lên, có chút kích động bắt Mưu Huy Dương tay hỏi.

	Triệu Vân có lẽ là bởi vì là lâu dài rèn luyện duyên cớ, tay nàng mặc dù cũng rất mềm mềm, nhưng so Lưu Hiểu Mai cùng Tiếu Di Bình mấy nữ cái loại đó mềm mại lại có chỗ bất đồng, tỏ ra hơn nữa có lực.

	Thấy người chung quanh cũng nhìn mình, Triệu Vân trên gương mặt tươi cười nhất thời dâng lên lau một cái đỏ ửng, nàng vội vàng đem bắt Mưu Huy Dương buông tay ra, bước liên tục nhẹ nhàng lui về sau một bước, cùng Mưu Huy Dương kéo ra một chút khoảng cách, dùng nàng cặp kia tràn đầy anh khí mắt to nhìn hắn.

	Làm Triệu Vân buông tay ra lúc này Mưu Huy Dương trong lòng có một ít không thôi cảm giác, đem vậy chỉ bị Triệu Vân kéo qua mu bàn tay đến phía sau, dùng một cái tay khác đang bị cầm qua địa phương nhẹ nhàng phủ liền mấy cái, trong lòng quyết định cái tay này ngày hôm nay đều không tắm.

	"Hẳn là tòa kia nhà lầu chủ nhân ông chủ Chu truyền lên, hắn vì phòng ngừa Trương Lương người đi quấy rối, khách sạn đóng kín sau đó, bên trong thiết bị giám sát và điều khiển cũng là một mực mở, lúc ấy phát sinh xung đột lúc này ta liền kêu bọn họ cũng hồi lầu đi lên, có thể là sợ gặp phải Trương Lương bọn họ trả thù, càng về sau hắn cũng chưa ra, cũng chưa có cùng chúng ta cùng nhau bị cảnh sát mang tới đồn công an tới, hắn nhất định là thấy chúng ta bị mang tới đồn công an, mà những tên côn đồ kia nhưng một cái cũng không có bắt đi vào, dưới xung động, mới đưa video truyền đến trên Net."

	"Hắn cái này một hướng hoạt động không sao cả, nhưng lại đem chúng ta đặt ở lửa đốt nướng, bây giờ trên mạng cái gì cũng nói, nếu là lần này chuyện kiện không xử lý tốt mà nói, chánh phó ngành công tin độ cũng bị tổn hại."Triệu Vân vẻ mặt đau khổ nói.

	"Tạo thành như vậy hậu quả, ta cho rằng điều này cũng không có thể đầy đủ kỳ quái ông chủ Chu, người ta vốn là khách sạn mở thật tốt, lại bị Trương Lương dùng các loại đê hèn thủ đoạn, cứng rắn là đem khách sạn của hắn cho gây ra không có cách nào mở tiếp, ở nơi này thời gian hắn báo qua cảnh, cũng hướng rất nhiều tương quan ngành nhờ giúp đỡ qua, lại bị các ngành lẫn nhau khước từ, đến khách sạn của hắn bị những tên côn đồ kia cho làm phải đóng cửa, cũng không có được giải quyết, hắn trong lòng khẳng định nín một cổ lửa giận. Vừa vặn ngày hôm nay lại gặp phải Trương Lương mang người tới quấy rối, cộng thêm đồn trưởng Trương trắng trợn che chở những tên côn đồ kia, cái này mới đưa đến chuyện này thăng cấp thành bây giờ loại cục diện này."

	"Bây giờ hắn ngược lại là hả giận, có thể chuyện này bây giờ gây Tỉnh ủy người đứng đầu cũng nổi giận, cũng không biết thành phố Mộc những quan viên kia, sẽ lại có bao nhiêu người bị chuyện này cho dính líu vào."

	"Nếu là bị chuyện này dính líu là những tham quan kia, ta cảm thấy ở cái này không có gì thật đáng tiếc, ngược lại cảm thấy cái này là một chuyện tốt, nếu là cho mượn chuyện này đem những tham quan kia cũng thu thập, ta tin tưởng chánh phó ngành ở nhân dân ở giữa công tin lực không chỉ có sẽ không hạ xuống, ngược lại sẽ đạt được tăng lên, loại này là dân làm chuyện thật chánh phó đem hơn nữa bị dân chúng ủng hộ."

	Mưu Huy Dương nơi xong đột nhiên Triệu Vân lần này tới giúp mình, không biết có thể hay không bởi vì là chuyện này bị liên luỵ, có chút bận tâm hỏi: "Triệu đại mỹ nữ, ngươi lần này tới giúp ta, có thể hay không bởi vì là chuyện này bị liên luỵ à?"

	Nghe được Mưu Huy Dương quan tâm, Triệu Vân trong lòng cũng thật cao hứng, có thể tưởng tượng đến mình tới lâu như vậy, Mưu Huy Dương đến bây giờ mới nhớ tới hỏi chuyện mình, Triệu Vân trong lòng lập tức liền cảm thấy rất không thoải mái, mắng: "Hừ, ta một đường ngựa không ngừng vó câu vội vã chạy tới, ngươi bây giờ mới nhớ hỏi ta một chút, thật là người không có lương tâm khốn kiếp!"

	"Ta mới vừa rồi bị thằng khốn kiếp kia dùng súng làm cho sợ hãi, đây không phải là mới nhớ sao? Ngươi không biết thật sẽ phải chịu liên luỵ chứ ?"

	Triệu Vân nhận được mình điện thoại sau đó, không nói hai lời lập tức liền lấy nhanh nhất tốc độ hướng thành phố Mộc chạy tới giúp mình, có thể mình cho đến bây giờ cũng không có nói qua một câu cảm tạ, càng không hỏi qua Triệu Vân tới lúc ở trên đường gặp phải tình huống gì không có, bây giờ bị Triệu Vân mắng, hắn lập tức liền cảm thấy thật xin lỗi.

	Thấy Mưu Huy Dương mặt đầy dáng vẻ lúng túng, Triệu Vân vểnh môi anh đào cười một chút nói: "Ta lại không tham ô thối rữa, cũng không phải cái này hắc ác thế lực bảo vệ dù, làm sao biết bị liên luỵ."

	"Vậy thì tốt, nếu là ngươi bởi vì là chuyện này bị dính líu mà nói, ta cả đời cũng biết cảm thấy áy náy."Mưu Huy Dương thở phào nhẹ nhõm nói.

	Nghe được Mưu Huy Dương những lời này, Triệu Vân cũng nho nhỏ cảm động một cái, mới vừa muốn an ủi Mưu Huy Dương một chút, lại nghe được cục trưởng Cổ thanh âm tức giận.

	Nguyên lai theo vị cảnh sát kia nói tố, cục trưởng Cổ sắc mặt càng ngày càng lạnh, tức giận trong lòng nhưng càng ngày càng lớn, làm sau khi nghe xong, rốt cuộc không nhịn được mắng to một tiếng: "Nhất định chính là một đám thứ bại hoại!"

	Cục trưởng Cổ sau khi mắng xong, đem tức giận trong lòng hơi lắng xuống một chút, để cho đi theo cảnh sát kinh Mưu Huy Dương mang đi ra ngoài nghỉ ngơi, hắn thì đối với Triệu Vân nói: "Không nghĩ tới tờ này lôi lại như vậy một tên khốn kiếp, tiểu Vân, đi chúng ta đi phòng giám sát và điều khiển xem xem, xem vị này đồn trưởng Trương là làm sao đối đãi ngươi vị bằng hữu này."

	"Chú Cổ, cháu cũng không phải là các ngươi thành phố Mộc cảnh sát, loại chuyện này cháu cũng không xen vào." Triệu Vân sau khi nghe nhanh chóng từ chối nói.

	Nghe Triệu Vân mà nói, cục trưởng Cổ cũng không có đang kiên trì, tuy nói Triệu Vân cũng là một hệ thống, nhưng dù sao không phải là thành phố Mộc bản xứ cảnh sát, cộng thêm hắn cùng người trong cuộc lại là bạn quan tâm, muốn là thật đi theo mình đi điều tra chuyện này mà nói, bị những cái kia bị có dụng tâm người bắt cái này điểm này mà nói, đến lúc đó thật đúng là phiền toái.

	Mưu Huy Dương mấy người bị đưa đến đồn công an một gian phòng nghỉ ngơi, sau khi đi vào Mưu Huy Dương phát hiện Tiếu Di Bình cùng Tương Lệ cũng sớm đã đến nơi này, làm hai cô gái thấy Mưu Huy Dương cùng một cái xinh đẹp nữ cảnh sát cùng nhau đi vào, cùng thấy rõ ràng tiến vào nữ cảnh sát là Triệu Vân sau đó, Tiếu Di Bình lập tức đứng lên cười nghênh đón.

	"Cảnh sát Triệu, vì chúng ta chuyện còn để cho ngươi đặc biệt chạy tới một chuyến, cho ngươi thêm phiền toái, cám ơn!"Tiếu Di Bình kéo Triệu Vân tay vừa nói cảm tạ.

	"Chị Di Bình, mọi người đều là bạn, liền đừng bảo là khách khí như vậy, nói ta lần này tới cũng không có giúp được gì."

	Tương Lệ nghe Tiếu Di Bình mà nói, mới biết cái này nữ cảnh sát chính là Mưu Huy Dương tìm tới giúp tỉnh thành bạn, Tương Lệ dùng một loại ánh mắt quái dị nhìn Mưu Huy Dương một cái, đi tới đến Mưu Huy Dương bên người, dùng chỉ có thể bọn họ 2 cái người nghe được thanh âm hỏi nhỏ: "Mưu Huy Dương, ngươi cùng cái này mỹ nữ cảnh sát là lúc nào cấu kết."

	Mưu Huy Dương nghe Tương Lệ mà nói, óc nhất thời tối sầm, rất là buồn bực nói: "Đại luật sư Tương, nói chuyện đừng khó như vậy nghe có được hay không, có ngươi như thế xinh đẹp đại mỹ nữ ở đây, ta cần gì phải bỏ gần cầu xa, muốn dụ dỗ cũng trước dụ dỗ ngươi à!"

	"Tiểu Lệ, tới giới thiệu một người bạn cho ngươi biết, "Tương Lệ đang muốn lúc nói chuyện, Tiếu Di Bình nhưng hướng về phía nàng liền hô lên.

	"Hừ, ngươi cái này mê gái củ cải lớn, nếu là dám thật xin lỗi Bình Bình mà nói, ta đầu tiên là không buông tha ngươi."Tương Lệ uy hiếp Mưu Huy Dương một câu sau đó, vừa mới nghĩ Tiếu Di Bình 2 người đi tới.

	"Cái này cũng cái gì cùng cái gì à?"Mưu Huy Dương nghe Tương Lệ mà nói, thật là hết ý kiến, không nhịn được ở trong lòng nghĩ đến, chẳng lẽ hôm nay là mình sát ngày, không thích hợp ra cửa, nếu không làm sao biết trước gặp phải Trương Lương đám côn đồ kia, bị buộc đánh một trận, cái này chuyện đánh nhau còn không có giải quyết đâu, phải bị Tương Lệ cô nàng này oan uổng một lần, xem ra sau này lúc ra cửa trước bay vùn vụt hoàng lịch mới được.

	Thông qua giới thiệu, Tương Lệ cùng Triệu Vân rất nhanh liền quen thuộc, ba phụ nữ ríu rít trò chuyện một hồi sau đó, Tiếu Di Bình có chút bận tâm hỏi: "Triệu Vân, tiểu Dương lần này sẽ rất nhiều côn đồ tay chân cũng cắt đứt, sẽ không có việc gì à?"

	"Ta biết một chút, cái đó bị Mưu Huy Dương cắt đứt xương sườn côn đồ thủ lãnh, là các ngươi thành phố Mộc một cái phó thị trưởng em vợ, ta nghe nói vị này phó thị trưởng đã từng cho đồn công an gọi điện thoại, nói Mưu Huy Dương là cực kỳ tàn bạo hung phạm, muốn đồn công an nghiêm ngặt xử lý, quyết không thể. . ."

	Nghe Triệu Vân lời nói sau đó, Tiếu Di Bình trong lòng lửa giận lập tức liền xông lên, "Hừ, rõ ràng mình em vợ chính là hắc ác thế lực, hắn cũng không để ý không hỏi, tiểu Dương bị buộc tự vệ nhưng thành hung phạm, thật không biết giống như loại này điên đảo thị phi, đen trắng chẳng phân biệt được người là làm sao leo đến vị trí cao như vậy?"

	"Người kia chức vị là không thấp, bất quá bây giờ chuyện này cũng không phải hắn muốn như thế nào thì như thế đó, cũng không phải hắn có thể quản, chị Bình chị cũng không cần quá lo lắng."Triệu Vân nghe xong cười một tiếng khuyên nhủ.

	"Đây rốt cuộc là chuyện gì xảy ra?"Tiếu Di Bình nghe xong không hiểu hỏi.

	Thấy Tiếu Di Bình cùng Tương Lệ đều là vẻ kiêu ngạo không hiểu dáng vẻ, Triệu Vân liền đem chuyện này đến tiếp sau này phát triển tương hai cô gái nói một lần.

	"Liền lãnh đạo tỉnh đều biết, cái này có phải hay không huyên náo lớn hơn sao? Dẫu sao tiểu Dương đả thương nhiều người như vậy, đến lúc đó có thể hay không truy cứu hắn trách nhiệm à?"Tiếu Di Bình sau khi nghe trong lòng lo âu cũng không có để xuống.

	Tương Lệ xem mình bạn gái thân biểu hiện, rất là buồn bực nghĩ đến: "Nói cái này người phụ nữ đang yêu chỉ số thông minh sẽ thành thấp, xem ra lời này thật đúng là không giả, mình cái này bạn gái thân trước kia là một người khôn khéo biết bao à, có thể gặp phải cùng Mưu Huy Dương có liên quan sự việc, vậy chỉ số thông minh liền thẳng tắp hạ xuống, cũng sắp cùng ngu si xong hết rồi."

	Tương Lệ trong lòng phê phán trước Tiếu Di Bình, có thể thấy bạn gái thân vậy mặt đầy lo âu bộ dáng gấp gáp, trong lòng có rất là không đành lòng, "Bình Bình, Mưu Huy Dương đó là thuộc về tự vệ, tự vệ biết không, coi như là hơi quá, nhưng ở bị mấy chục người vây công dưới tình huống, ra tay nặng chút đó cũng là về tình thì có thể lượng thứ, ngươi yên tâm đi, chính là đây là cuối cùng ầm ĩ tòa án, hắn cũng chắc chắn sẽ không bị phán hình, bồi thường nhiều nhất những cái kia bị thương người một chút tiền thuốc thang thôi."

	/*Dzung Kiều : không biết có ăn cô luật sư này không ta ? */
