". . . . . Hiện tại bắt đầu vì ngài thông báo quốc tế tin tức."

	"Thủ tướng Nga Putin chính thức tuyên bố tham dự lần tiếp theo tổng thống tranh cử."
	Làm tốt những này về sau. Phương Lâm tranh thủ đi xem nhìn Phó bỉ ổi, lập tức giật mình vô cùng, chỉ thấy cái thằng này gian phòng đều đổi cái bộ dáng, xử lý sạch sẽ sạch sẽ, sáng sủa sạch sẽ bộ dáng, Phó bỉ ổi y nguyên còn có mấy phần lôi thôi keo kiệt bộ dáng, nhưng mà tốt xấu trên người cũng biết vây lên một cái trắng tạp dề, thoạt nhìn ngăn nắp không ít.

	Mỹ Mỹ ghim cái rơi búi tóc. Đang tại lo liệu việc nhà. Ăn mặc mười phần mộc mạc, thấy Phương Lâm đến rồi khoét hắn một cái. Vẻ mặt đen đến dường như Phương Lâm thiếu nàng mấy trăm vạn không trả, đem khăn lau ném đi, đụng một tiếng về gian trong đi đóng cửa lại. Hiển nhiên là Phương Lâm cái này xui khiến người sự việc đã bại lộ, Phương Lâm ngạc nhiên, tức giận giơ ngón giữa, thầm nghĩ trong lòng ngươi tính khí lại trách ban đêm còn không phải phải bồi lão tử người hầu đi ngủ muốn ngươi bày cái gì dáng vẻ liền bày cái gì dáng vẻ ngưu b cái gì.

	Ngược lại là Phó bỉ ổi mặt mày hớn hở thấy chủ nhân hấp tấp bưng trà đưa nước, nhìn hắn sinh hoạt đến như vậy thoải mái, hiển nhiên là Lytta Vesicatoria dược tính kì diệu. Tam quốc thời điểm đối với nữ nhân trinh tiết nhìn ra rất nhạt, chẳng hạn như Thái Văn Cơ bị đưa đi dân tộc Hung nô bị xxoo lại ooxx, sinh ra hai cái con lai về sau quay về Trung Nguyên cũng không có người kỳ thị nàng. Phó bỉ ổi đối từng là Trương Liêu cơ thiếp Mỹ Mỹ cũng là rất hợp ý, tâm tình khoái trá phía dưới, Đạo gia luyện kim thuật cũng lên tới level3.

	Phương Lâm ở hắn nơi đó cầm mười bình mới luyện chế đi ra không ổn định dược tề, tiện thể đem lần trước trong thế giới thu hoạch được Cam Hưng Bá chi hộ oản, huyễn hóa giới chỉ giao cho Lâm đại mỹ nữ cùng lão Hồ đi giám định. Bản thân thì dựa theo Lôi giả lưu lại phương thức liên lạc bắt đầu liên lạc.

	Chẳng qua Lôi giả không hề tại trong không gian, thay thế hắn tới là số 56, cái này thoạt nhìn mười phần vặn vẹo dị dạng quái nhân đối Phương Lâm giọng khàn khàn nói:

	"Đại nhân nói, muốn biết được chữa trị vũ khí phương pháp, 5 vạn điểm tích lũy, cộng thêm không ổn định khôi phục dược tề 50 bình."

	Phương Lâm thản nhiên nói:

	"Nha."

	Trực tiếp giao dịch điểm tích lũy cùng dược tề đi qua liền muốn rút quẻ đặt trước khế ước, số 56 trên mặt trước lộ ra ý mừng, nhưng mà chợt lạnh lùng cả giận nói:

	"5 vạn điểm tích lũy, 50 bình dược tề. Không phải 5000 điểm tích lũy, 5 bình dược tề!"

	Phương Lâm quay đầu rời đi nói:

	"Ngươi đem tin tức này bán cho người khác đi, ta từ bỏ. Ta cũng tự có liên lạc tình báo con buôn phương thức, bọn họ ra giá nhưng thấp nhiều lắm."

	Số 56 mặt cơ co giật, bởi vì cái gọi là hàng bán biết gia, cái này chữa trị vũ khí tin tức nói trân quý cũng rất là trân quý, nói không đáng một đồng cũng nói được thông, nếu là Phương Lâm thật không có đem cái kia thanh súng lục để ở trong lòng, mọi người nhất phách lưỡng tán, bọn họ thật đúng là tìm không thấy người còn lại tới mua.

	"1 vạn điểm tích lũy, 10 bình dược tề."

	Phương Lâm trực tiếp xoay người lại, giao dịch 6000 điểm tích lũy 10 bình dược tề đi qua, vô lại nói:

	"Ta chỉ có nhiều như vậy."

	Số 56 hung tợn nhìn hắn chằm chằm, trong mắt dường như muốn phun ra lửa, cuối cùng vẫn là cân nhắc một chút, cảm thấy xem như cơ bản hoàn thành Lôi giả yêu cầu. Hít sâu một hơi nói:

	"Coi như ngươi số đỏ."

	Ký kết khế ước, cam đoan giao dịch công chứng tính về sau, số 56 thản nhiên nói:

	"Vũ khí của ngươi chính là màu bạc kịch bản vũ khí, lại là súng. Duy nhất có thể chữa trị nó đồng thời bảo uy lực của nó tiến thêm một bước thế giới là. . . Súng phổ biến nhất thế giới, cơ giới hoá triệt để nhất thế giới, cái kia chính là. . ."

P/S : Hết quyển nghỉ 1 2 hôm :((
