Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.
	Bất quá đây đối với hắn mà nói thật giống như vậy cũng không tệ lắm.

	"Bất quá là tận trung cương vị mà thôi."

	Lý Thế Dân gật đầu một cái: " Được a, như Đại Đường quan viên đều giống như ngươi như vậy thì tốt."

	Vừa nói, Lý Thế Dân đột nhiên lại nhớ ra cái gì đó, vì vậy liền vội vàng hỏi: "Đúng rồi, nghe bọn họ nói ngươi vốn là phải dùng tích cốt nhận thân, loại này biện pháp thật có thể nghiệm ra máu mạch quan hệ sao?"

	Tần Thiên gật đầu: "Tự nhiên là có thể, nếu như là có liên hệ máu mủ, giọt máu đến xương lên thì sẽ xông vào đi, nếu như không có liên hệ máu mủ, cũng sẽ không."

	Lý Thế Dân nghe, càng phát ra tò mò: "Ngươi làm sao biết?"

	Tần Thiên chấn động một cái, hồ đồ nói không tốt, một cái người biết quá nhiều, cũng là sẽ bị người hoài nghi à, đặc biệt là giống như mình loại này trước kia là cái nông dân.

	"Ngẫu nhiên được một bản kỳ thư, cho nên đối với phá án nghiệm thi, ít nhiều có một chút con đường."

	"Sách gì?"

	Lý Thế Dân tiếp tục truy hỏi, Tần Thiên nhưng là liền kêu liền
