Chương 27: Thiếu không được 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Một đường không lời, Đường Dung là quyết tâm không phản ứng Tần Thiên.
	Một đường không lời, Đường Dung là quyết tâm không phản ứng Tần Thiên.

	Tần Thiên rất không biết làm sao.

	Mà bọn họ mới vừa hồi đến phủ, bác Phúc liền hốt hoảng chạy ra: "Thiếu gia, lão nô đã gây họa."

	Tần Thiên ngưng mi, ngươi đã gây họa, ta mới đã gây họa đâu, cũng không biết làm sao đắc tội Đường Dung.

	Bất quá trong lòng suy nghĩ, Tần Thiên lại cũng không biểu lộ ra, hỏi: "Chuyện gì xảy ra?"

	"Ngày hôm nay Dực quốc công tới, lão nô lúc trước không biết hắn thân phận, cho nên đem hắn dẫn đến phòng khách sau đó liền không làm sao cùng hắn, lão nô như vậy thất lễ, hắn rất tức giận rời đi. . ."

	Bác Phúc đem Tần Quỳnh rời đi cho rằng là mình chiêu đãi không chu toàn kết quả, Tần Thiên sau khi nghe xong lại là rất nhanh rõ ràng bác Phúc đây là hiểu lầm.

	Nhìn bác Phúc một mặt lo lắng vẻ mặt, Tần Thiên cũng không tốt để cho hắn lo lắng nữa, cho nên liền đem tình huống cùng hắn nói một lần, bác Phúc nghe được Tần Quỳnh phải đem hắn thiếu gia đem tự động xe nước bản vẽ dâng ra đi, không kiềm được liền bĩu môi, có thể tưởng tượng đến đó là Dực qu
