Chương 47: Bị cướp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An đã rất lâu không có mưa.
	Mưa to xâm nhập tới, rất nhanh đem hai người quần áo cũng cho bị ướt, có thể bọn họ cũng không để bụng, có thể ở trong mưa tận tình phát tiết một lần, vì sao còn phải quan tâm những đồ thế tục kia?

	Từ phòng bếp đến phòng ngủ hai người chạy thời gian rất dài, trở lại trong phòng lúc này hai người đều có điểm thở hồng hộc, nước mưa theo phát sao chảy xuống, hai người lẫn nhau nhìn, đột nhiên cũng không nhịn được vui vẻ cười to đứng lên.

	Bọn họ cho tới bây giờ không có giống hiện ở đây sao ung dung qua, bọn họ trước kia, cũng sống quá mệt mỏi.

	Bởi vì là không dám lộ ra chân thật nhất mình, không dám biểu đạt mình muốn biểu đạt tình cảm.

	Tiếng cười kéo dài rất lâu, Đường Dung nhìn Tần Thiên, nội tâm đột nhiên rất kích động, ở một khắc kia, nàng thậm chí ở đáy lòng âm thầm thề, dù là Tần Thiên không phải người đàn ông, nàng đời này vậy cùng đặt hắn.

	Bởi vì là cùng hắn chung một chỗ, th�
