Chương 112: Người chết 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Ấm áp thơm các tài nghệ so tài tiếp tục đi xuống.
	Hồi đến phủ sau đó, hắn liền lập tức đem trong phủ mấy tên thân tín phủ binh kêu tới.

	Dẫn đầu phủ binh kêu Trương Hổ, thân thủ không tệ, làm người vậy rất đặc biệt thông minh.

	"Thiếu gia, có gì phân phó?"

	"Ngươi mang mấy người, ra khỏi thành đuổi kịp Tần Thiên bọn họ, tìm một cơ hội giúp ta làm bọn họ."

	Trương Hổ thần sắc khẽ động, bất quá ngay sau đó liền gật đầu đồng ý, loại chuyện này, bọn họ trước kia cũng không phải chưa làm qua, dọc đường giết chết Tần Thiên, cái này có gì à?

	Trương Hổ trở về sau đó hơi làm lối ăn mặc, liền dẫn người rời đi thành Trường An, Thôi Nguyên Hạo nơi này, chính là lộ ra một tia cười nhạt: "Hừ, không phải cỏ dại người, ta để cho ngươi biến thành người chết, xem ngươi có còn hay không năng lực
