Chương 103: Nhiệm vụ rất nặng 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Tần Thiên vừa vặn ở thành đông.
	Ở gian phòng thấy Lô Hoa Nương lúc này Tần Thiên cảm thấy nàng càng phát ra tỏ ra thanh sầu liền một ít.

	"Bà chủ Lô có chuyện gì không?"

	Tần Thiên ở Lô Hoa Nương ngồi đối diện xuống, Lô Hoa Nương khẽ nâng mắt sáng, nói: "Có chuyện, sợ rằng phải làm phiền Tần công tử."

	Tần Thiên cũng không biết Lô Hoa Nương để cho mình làm chuyện gì, bất quá đoạn này thời gian hắn cùng Lô Hoa Nương quan hệ không tệ, cho nên cũng không do dự liền đồng ý xuống.

	"Bà chủ Lô có cần gì ta làm, nói một chút là được, không cần khách khí."

	"Tần công tử cái này là đồng ý?"

	"Dĩ nhiên!"

	Lô Hoa Nương khóe miệng cười chúm chím: "Chờ một hồi làm phiền Tần công tử giả giả bộ một chút cùng ta có tư tình."

	Lời này mở miệng, Tần Thiên nhất thời sững sốt một chút, hắn có chút không có thể rõ ràng Lô Hoa Nương ý nghĩa.

	"Bà chủ Lô mới vừa nói cái gì, ta nghe không hiểu!"

	Lô Hoa Nương gò má ửng đỏ, có chút ngượng ngùng, còn là lại nói một lần: "Chờ một hồi làm phiền Tần công tử giả giả bộ một chút cùng ta có tư tình."

	"Tư tình?"

	"Không sai!"

	Tần Thiên rốt cuộc rõ ràng, có thể hắn rõ ràng sau đó lập tức liền nhảy cỡn lên, hắn đã cưới vợ à, hơn nữa hắn rất yêu Đường Dung, hai người đâu đâu vòng vo một chút rốt cuộc đi vào với nhau trong lòng, hắn làm sao có thể làm thật xin lỗi Đường Dung sự việc?

	Hơn nữa, hắn rất kỳ quái, êm đẹp, Lô Hoa Nương để cho mình làm bộ cùng nàng có tư tình làm gì?

	Lô Hoa Nương nhưng mà Lô gia người phụ nữ à, làm là năm họ bảy trong tông người phụ nữ, đó cũng không phải là t
