Chương 208: Lòng buồn thán tiện nguyện trời giá rét 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trình Giảo Kim rời đi sau đó, Đường Dung và Lô Hoa Nương hai người mới vội vả chạy tới.
	Tần Thiên nhún nhún vai: "Xem ra Cửu công chúa là cố ý muốn hãm hại chúng ta à, bất quá chuyện tốt của nàng bị Lô quốc công cho phá hư, bất quá chúng ta vậy không thể khinh thường."

	Đường Dung gật đầu, nàng biết Cửu công chúa không phải cái loại đó chịu từ bỏ ý đồ người, một lần sao, chỉ sợ còn có lần thứ hai.

	Cùng người như vậy làm hàng xóm, sau này chỉ sợ được cẩn thận một chút một ít mới được.

	Đang như thế vừa nói, Lô Hoa Nương đột nhiên nha liền một tiếng: "Công chúa điện hạ áo khoác tại sao lại ở chỗ này?"

	Ở Tần Thiên trên giường đất, bất ngờ để Cửu công chúa áo khoác, Tần Thiên mơ hồ có chút bận tâm, Trình Giảo Kim cũng sinh nghi ngờ, Đường Dung và Lô Hoa Nương hai người chẳng lẽ vậy nghi ngờ chứ ?

	"Công chúa điện hạ sau khi đi vào quá nóng, liền cởi, lúc đi quên mất đi."

	Đường Dung gật đầu một cái: "Hay là cho hắn đưa đi tốt, miễn được nàng gây chuyện."

	"Đúng vậy, ở lại trong phủ không tiện."

	2 phụ nữ cũng không có hoài nghi cái gì, Cửu công chúa đang tìm bọn họ phiền toái đâu, làm sao có thể cùng Tần Thiên có cái gì?

	Thấy vậy, Tần Thiên mới rốt cục thở phào nhẹ nhõm, nói: "Cùng sau khi ăn cơm trưa xong, ta cho công chúa đưa tới cho."

	Phủ Cửu công chúa.

	Cửu công chúa hồi đến phủ lúc này gò má v�
