Chương 166: Giết người kế 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lô gia.
	Lô Hoa Nương không thấy sự việc hiển nhiên để cho Lô gia gia tộc Lô Triển Đình khiếp sợ không thôi, thậm chí là có chút tức giận.

	"Đáng ghét, ngươi con gái này, liền không để cho người đỡ lo qua, mấy năm trước như vậy, bây giờ lại là như vậy, thật chẳng lẽ muốn ta vận dụng gia pháp, muốn tính mạng hắn, nàng mới chịu từ bỏ ý đồ?"

	Lô Triển Đình tức giận mắng, Lô Hành bên này cúi đầu không nói.

	Nói thật, toàn bộ Lô gia, thật đúng là liền con gái hắn phiền toái không ngừng, thậm chí có thời điểm liền chính hắn cũng cảm thấy kỳ quái, một cô gái nhà, an an phân phân một chút không tốt sao?

	Làm sao lão chọc xảy ra chuyện tới?

	Hôm nay bị anh cả hắn mắng, hắn vậy chỉ có thể nhịn.

	Mà ngay tại lúc này, một tên đầy tớ vội vả chạy tới: "Lão gia, Tần công tử mời tới."

	Tiếng nói rơi xuống, Tần Thiên đã từ bên ngoài đi vào.

	Vốn là, Lô Hoa Nương cứ như vậy rời đi, Tần Thiên cảm thấy Lô Hoa Nương là xem thường hắn, cái này làm cho lòng tự ái của hắn rất được tổn thương, ít nhiều có chút tức giận.

	Bất quá, cùng hắn đi tới Lô gia sau đó, khí này nhưng như thế nào cũng không sanh được tới, ngược lại lại hết sức lo lắng Lô Hoa Nương tình hu
