Chương 214: Ưu dân 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	10 ngàn xâu không phải là một số tiền nhỏ, nhưng Lục Phùng vẫn đáp ứng.
	Tuyết, tựa hồ lại phải rơi rồi .Chương 214: Ưu dân 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	10 ngàn xâu không phải là một số tiền nhỏ, nhưng Lục Phùng vẫn đáp ứng.

	Tới một cái, vì lấy lòng thái tử, hắn không có lựa chọn nào khác.

	Thứ hai, học giường sưởi kỹ thuật sau đó, chỉ cần bọn họ điên cuồng nhận việc, làm ăn hẳn sẽ rất tốt, khi đó đem cái này 10 ngàn xâu tiền kiếm về vậy không có bao nhiêu vấn đề.

	Đối với bọn họ mà nói, đây cũng không phải một cái lỗ vốn làm ăn.

	Thậm chí còn có một chút mượn gà sinh trứng cảm giác.

	Lục Phùng đồng ý sau đó, Tần Thiên lúc này mới theo hắn đi công bộ, đem một vài kỹ xảo cái gì giao cho công bộ một ít thợ, những thứ này thợ đối với một ít kỹ thuật đều là rất nhuần nhuyễn, mà rất nhiều kỹ thuật nhưng thật ra là nghĩ thông suốt.

	Giường sưởi kỹ thuật cũng không phải là đặc biệt khó khăn hiểu, chỉ cần Tần Thiên đem cần phải chú ý địa phương nói cho bọn họ sau đó, bọn họ rất nhanh là có thể vào tay.

	Như vậy dạy xong, Tần Thiên cũng không ở công bộ nhiều việc dừng lại, liền trực tiếp trở về phủ đi.

	Lục Phùng bên này, cũng không dám nhiều việc dừng lại, ngay tại Tần Thiên trở về sau đó, hắn lập tức mang thợ đi đông cung.

	Hàn tuyết bay tán loạn, gió lớn dậy hề.

	Đi tới đông cung sau đó, mặc dù thời
