Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.
	Lý Uyên thần sắc hơi đông lại một cái, hiển nhiên đối với Lý Kiến Thành và Thôi Đồng hai người được là có chút chán ghét, Lý Kiến Thành bên này, trong lòng khẽ hơi trầm xuống một cái, ngược lại thì Thôi Đồng, liền vội vàng nói: "Thánh thượng không giống người thường, há có thể tùy tiện để cho ngươi chữa trị, để cho một cái lang băm cho Thánh thượng xem bệnh, mới là bọn ta không chịu trách nhiệm, ngươi có thể trị bệnh sao?"Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.

	Cuối hè Trường An còn có chút nóng ran, Tần Thiên trở về ngày đó, thành Trường An bầu trời chặt chẽ mây không mưa, gió lớn không ngừng.

	Đông cung thái tử biết được Tần Thiên trở lại thành Trường An tin tức sau đó, liền lập tức hướng hoàng cung chạy tới.

	Hắn đi tới hoàng cung lúc này vừa vặn gặp phải cũng phải vào cung Thôi Đồng.

	Lý Kiến Thành thấy Thôi Đồng sau đó, nhất thời rõ ràng liền ý đồ của hắn.

	Bất quá Lý Kiến Thành nhưng cũng cũng không cùng Thôi Đồng nhiều lời, tùy tiện lên tiếng chào sau đó, hai n
