Chương 154: Độc phụ người 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Chim sẻ thấy Trịnh Diễm giết Lưu lang sau đó, đột nhiên lo lắng nàng sẽ giết Lô Hoa Nương.
	Hắn phụng mệnh tới bảo vệ Lô Hoa Nương, như Lô Hoa Nương có gì ngoài ý muốn, hắn coi như không mặt mũi đi gặp Tần Thiên.

	Một khắc kia, chim sẻ đột nhiên sinh ra một cổ sát tâm tới, nếu như giết Trịnh Diễm, chuyện này không liền không cần lo lắng?

	Bất quá hắn rất nhanh lại bác bỏ cái ý nghĩ này.

	Như Trịnh Diễm bị giết, nhất định sẽ đưa tới Trịnh gia chú ý, khi đó Trịnh gia phái người điều tra, thiếu không được dính dấp đến Lô Hoa Nương trên mình.

	Cho nên cuối cùng chim sẻ chỉ có thể tiếp tục ẩn thân chùa Thiện Nguyện, âm thầm bảo vệ Lô Hoa Nương.

	Như Trịnh Diễm thật muốn giết Lô Hoa Nương, khi đó hắn động thủ nữa cũng không muộn.

	Bất quá để cho chim sẻ bất ngờ là, Lô Hoa Nương đem Lưu lang thi thể xử lý xong sau đó, cũng không có lại đi Lô Hoa Nương gian phòng, mà là trực tiếp ở gian phòng của mình ngủ rồi, tựa như chuyện gì cũng không có phát sinh qua.

	Sáng sớm ngày kế, Trịnh Diễm lại là không có cần tìm Lô Hoa Nương phiền toái.

	Cái này làm cho chim sẻ cảm thấy rất kỳ quái, bất quá Trịnh Diễm không đúng Lô Hoa Nương động thủ, điều này cũng làm cho hắn rốt cuộc thở phào nhẹ nhõm.

	Ban ngày bất tiện ẩn núp, hơn nữa hắn còn cần trở về đem tình huống cùng Tần Thiên nói một chút, cho nên chim sẻ liền rời đi chùa Thiện Nguyện.

	Mà đang ở chim sẻ rời đi chùa Thiện Nguyện lúc này Trịnh Diễm bên này, nhưng là đột nhiên sinh ra một chút hối hận 
