Chương 152:: Phì Nghĩa cái chết 【 2 hợp 1 】

	『 PS: Hôm nay tỉnh ngủ đến phát hiện, hôm qua là đêm giáng sinh, ngô, quả nhiên ta ngủ rất ổn. 』
	Đúng lúc này, trong chính điện truyền đến một trận tiếng bước chân, chợt, trong cửa điện xuất hiện Hạt Quan Tử thân ảnh, hắn cười nhẹ nói với Mông Trọng: "Tiểu hữu làm gì khó xử những cái này quân tốt đâu? Triệu chủ phụ cho mời."

	『 bị cưỡng ép? Hừ! 』

	Mông Trọng âm thầm cười lạnh một tiếng, đang hướng phía Hạt Quan Tử chắp tay về sau, cất bước đi vào trong điện.

	Hắn vậy mới không tin công tử Chương bắt Triệu chủ phụ.

	Tại Sa Khâu hành cung bên trong, công tử Chương bên người mới có hoặc nhiều hoặc ít người? Bàng Noãn có bao nhiêu người?

	Phải biết Bàng Noãn tại hành cung bên trong có ngàn tên binh lính, làm lấy người này văn thao vũ lược, vô luận là công tử Chương vũ dũng, vẫn là Điền Bất Nhân quỷ kế, cũng đừng nghĩ để Bàng Noãn đi vào khuôn khổ —— chớ nói chi là còn có Bàng Noãn lão sư Hạt Quan Tử tại.

	Nói cái gì Triệu chủ phụ bị công tử Chương cưỡng ép, nói cho cùng bất quá là Triệu chủ phụ không muốn gánh vác "Đoạt tử chi vị" tiếng xấu, là cho nên giả ý bị công tử Chương cưỡng ép, cố ý để cái sau ra mặt khởi binh phản loạn —— nếu như quả thật là công tử Chương cưỡng ép Triệu chủ phụ, như vậy vị công tử này thủ cấp, chỉ sợ sớm đã bị Bàng Noãn chém xuống tới.

	Quả nhiên, đợi Mông Trọng đi đến nội điện về sau, hắn quả nhiên nhìn thấy bình yên vô sự, sắc mặt tự nhiên Triệu chủ phụ, cái sau đang ngồi ở tịch bên trong, trước mặt trên bàn thấp bày biện rất nhiều ăn vào một nửa thịt rượu, hiển nhiên mới đang cùng Hạt Quan Tử ở chỗ này uống rượu nói chuyện phiếm.

	Thấy cảnh này, Mông Trọng không khỏi cảm giác có chút trái tim băng giá, vì Phì Nghĩa cảm thấy trái tim băng giá.

	Hắn mắt thấy Triệu chủ phụ, dùng không hiểu ngữ khí bình tĩnh nói ra: "Triệu chủ phụ, Phì tướng chết rồi, ngay tại mới, tại Thiên Điện, tại trước mắt ta, bị công tử Chương cận vệ sát hại."

	"Nha."

	Triệu chủ phụ bưng chén lên, thoáng nhấp một miếng.

	"Kia thật là. . . Rất tiếc nuối."

CVT: Mấy chương này khá là đặc thù, ảnh hưởng đến a main nhiều phết.Chương 152:: Phì Nghĩa cái chết 【 2 hợp 1 】

	『 PS: Hôm nay tỉnh ngủ đến phát hiện, hôm qua là đêm giáng sinh, ngô, quả nhiên ta ngủ rất ổn. 』

	—— —— trở xuống chính văn —— ——

	"Phì tướng, ngài sao lại tới đây?"

	Khi từ mặt mũi tràn đầy kinh ngạc tiến lên đón tới Mông Trọng trong miệng nghe được câu này lúc, Phì Nghĩa sắc mặt đột biến, vừa sợ vừa giận.

	Kinh hãi là, ở chỗ này uống rượu Mông Trọng, vậy mà không biết hắn Phì Nghĩa là bị công tử Chương người lấy Triệu chủ phụ danh nghĩa mời tới, điều này có ý vị gì?

	Mang ý nghĩa cái gọi là "Nghị sự", chỉ là một cái bẫy mà thôi.

	Làm giận là, công tử Chương cuối cùng vẫn là bước ra mưu phản làm loạn một bước này.

	Đúng lúc này, ngoài điện truyền đến một trận tạp lạp tạp lạp tiếng vang, Phì Nghĩa cùng hắn cận vệ nhóm quay đầu liếc mắt nhìn, liền nhìn thấy Thiên Điện ra ngoài hiện từng đội từng đội công tử Chương vệ sĩ, chỉ gặp những vệ sĩ này có cầm trong tay trường qua, có cầm trong tay lợi kiếm, có bưng nỏ cỗ, như ong vỡ tổ mà tràn vào trong điện, đem Phì Nghĩa cùng bên cạnh hắn mấy vệ sĩ, bao quát Mông Trọng, đều bao bọc vây quanh.

	Nhìn thấy một màn này, Mông Trọng trong lòng hơi hồi hộp một chút.

	Hắn cũng không phải lo lắng cho mình, dù sao lại thế nào nghĩ công tử Chương cùng Điền Bất Nhân cũng không có lý do đi gia hại hắn.

	Hắn có chút để ý là Phì Nghĩa —— bởi vì trước mắt điệu bộ này, công tử Chương hiển nhiên là dự định bắt giết Phì Nghĩa.

	Quả nhiên, tại những cái kia cầm trong tay binh khí vệ sĩ đem Phì Nghĩa một đoàn người vây quanh về sau, công tử Chương từ ngồi vào bên trên đứng dậy, chầm chậm hướng bên này đi tới, trong miệng cười nhẹ hỏi: "Phì tướng, làm sao lại chỉ có ngài đâu? Quân thượng đâu?"

	Cho dù bị mười mấy tên vệ sĩ vây quanh, nhưng Phì Nghĩa vẫn mặt không đổi sắc, hắn sắc mặt tự nhiên nói với công tử Chương: "Quân thượng, tự nhiên là tại địa phương an toàn. Ngược lại là An Dương Quân. . . Ngươi bày xuống cái trận thế này, đến tột cùng ý muốn như thế nào đâu?" Hắn chỉ chỉ vây quanh chính mình mười mấy tên vệ sĩ.

	Đúng lúc này, có một vệ sĩ vội vã đi đến công tử Chương trước mặt, ôm quyền nói ra: "Công tử, canh giữ ở ngoài điện binh lính xưng, chỉ có Phì Nghĩa một người đến đây, không thấy quân thượng tung tích."

	Nghe nói lời ấy, công tử Chương nhíu nhíu mày, sắc mặt âm trầm nhìn về phía Phì Nghĩa.

	Lúc này lại gặp Phì Nghĩa vuốt vuốt hoa râm râu ria, bình chân như vại, có chút tự đắc nói ra: "An Dương Quân, ngươi mới mệnh Trần Thảo cầm trong tay Triệu chủ phụ lệnh phù, đi mời quân thượng cùng lão phu tới thương nghị đại sự, còn ý đồ dùng quân thượng nắm Mông Trọng tiểu hữu chuyển đạt ngươi kia lời nói, tức "Lập ngươi con trai trưởng vì Thái tử", đang gạt lấy quân thượng cùng lão phu tín nhiệm. . . Như thế âm hiểm độc kế, chắc là xuất từ Điền Bất Nhân, Điền tướng chi thủ a? Chỉ tiếc,

	Lão phu sớm đoán được ngươi xảy ra hạ sách này, cho nên lấy thân thăm dò, quả nhiên bị lão phu phát hiện ngươi quỷ kế."

	". . ."

	Mông Trọng nghe vậy quay đầu nhìn về phía Điền Bất Nhân, sắc mặt hơi khó coi.

	Trải qua Phì Nghĩa kiểu nói này, hắn há sẽ còn nghĩ không ra hắn đây là bị Điền Bất Nhân lợi dụng?

	Cái gọi là hôm nay mời hắn uống rượu, nó mục đích chỉ là vì lợi dụng Triệu vương Hà cùng Triệu tướng Phì Nghĩa đối với hắn Mông Trọng tín nhiệm, đem Triệu vương Hà cùng Phì Nghĩa lừa gạt đến đông điện, đem hai người này sát hại, tiếp theo cướp đoạt quốc gia này.

	Đương nhiên, hắn cũng biết hắn cũng không phải là dụ dỗ Triệu vương Hà cùng Phì Nghĩa mấu chốt, hắn chỉ là thêm đầu mà thôi —— Triệu chủ phụ viên kia lệnh phù thêm đầu, chỉ là vì giảm xuống Triệu vương Hà cùng Triệu tướng Phì Nghĩa hai người phòng bị mà thôi.

	Nghĩ tới đây, Mông Trọng mặt trầm như nước hỏi Điền Bất Nhân nói: "Điền tướng, là như thế này a? Phì tướng nói, thế nhưng là là thật?"

	『 lão thất phu này! Sắp chết đến nơi vẫn không quên ly gián a Trọng. 』

	Điền Bất Nhân hận hận nhìn thoáng qua Phì Nghĩa, chợt chú ý trái nói hắn nói với Mông Trọng: "A Trọng, chuyện này vi huynh sau đó lại giải thích với ngươi, ngươi trước tạm lui sang một bên."

	". . ."

	Nghe lời này, Mông Trọng trong lòng lập tức hiểu rõ, cho đến tận này đối Điền Bất Nhân hảo cảm, cùng những cái được gọi là tình cảm huynh đệ, toàn bộ tan thành mây khói.

	Hắn đối Điền Bất Nhân hôm nay hành vi cảm thấy trái tim băng giá —— Điền Bất Nhân vậy mà tính toán hắn! Từng luôn mồm gọi hắn vì a đệ vị huynh trưởng này, vậy mà tính toán hắn, lợi dụng hắn để đạt tới mục đích.

	"A Trọng, lui sang một bên!"

	Gặp Mông Trọng không nhúc nhích, công tử Chương hơi không kiên nhẫn, dù sao hắn giờ phút này vội vã đi tiến đánh tây điện, nào có tâm tình ở chỗ này trì hoãn?

	Nghe nói công tử Chương nhắc nhở chính mình, Mông Trọng nhìn chung quanh một chút bốn phía, chợt đem ánh mắt rơi ở bên người Phì Nghĩa trên thân.

	Hắn biết rõ, chỉ cần hắn vừa lui về sau, công tử Chương chắc chắn sẽ lập tức hạ lệnh các vị giáp sĩ đem Phì Nghĩa vị này khả kính lão giả sát hại.

	Vừa nghĩ tới đã từng Phì Nghĩa đối với mình chiếu cố, Mông Trọng trong lòng không khỏi có chút do dự.

	Kỳ thật hắn biết rõ, đã công tử Chương cùng Điền Bất Nhân quyết định mưu phản, như vậy thì thế tất sẽ diệt trừ Phì Nghĩa cái này trở ngại, cho dù hắn ở bên thuyết phục, cũng không tế tại sự tình, dù sao công tử Chương cùng Điền Bất Nhân đối Phì Nghĩa kia là tương đương thống hận.

	Đã không làm nên chuyện gì , ấn lý tới nói nên bứt ra, nhưng nhìn bên cạnh Phì Nghĩa, Mông Trọng lại không đành lòng làm như vậy —— lúc này lui ra phía sau, chẳng phải là từ bỏ vị này khả kính lại cùng hắn quan hệ hòa hợp lão giả?

	". . ."

	Nhìn xem Phì Nghĩa, lại nhìn xem công tử Chương, cho dù là Mông Trọng, lúc này cũng không biết làm sao.

	Gặp đây, công tử Chương càng thêm không kiên nhẫn được nữa, trầm giọng quát: "Mông Trọng, ta đếm ba tiếng, ngươi tới đây cho ta! Nếu không. . ."

	"Công tử!"

	Điền Bất Nhân lập tức thấp giọng đánh gãy công tử Chương.

	Hắn đương nhiên biết công tử Chương lời này có ý tứ gì, nhưng Mông Trọng là tùy tiện có thể sát hại a?

	Giết Mông Trọng, không những sẽ đắc tội Trang Tử, Mạnh Tử, Huệ Áng, Điền Chương cùng một đám người, càng sẽ đắc tội Triệu chủ phụ cùng Hạt Quan Tử, cái trước đối Mông Trọng cực kì coi trọng, mà cái sau, cũng tuyệt sẽ không dễ dàng tha thứ công tử Chương sát hại hắn đạo gia đệ tử kiệt xuất.

	Dù là những cái này đều bất luận, phải biết ngoài thành còn có một ngàn danh Tín Vệ quân đâu, như công tử Chương giết chết Mông Trọng, Tín Vệ quân thế tất sẽ đảo hướng Triệu vương Hà một phái kia, làm Nhạc Nghị, Mông Hổ, Mông Toại đám thiếu niên kia, sẽ điên cuồng trả thù công tử Chương, cái này lại cần gì chứ?

	Nghe Điền Bất Nhân một tiếng nhắc nhở, công tử Chương cũng ý thức được chính mình lỡ lời, mang giận nói ra: "Ngươi cho ta gọi hắn tới!"

	Điền Bất Nhân gật gật đầu, chợt hướng phía Mông Trọng nói ra: "A Trọng, chuyện hôm nay, đúng là vi huynh không phải, dù là ngươi đối tâm ta tồn oán hận, vi huynh cũng có thể lý giải. Nhưng vi huynh sẽ không hại ngươi. . . Có một số việc, chính là trung thượng thiên quyết định, không phải là nhân lực có thể hóa giải, dưới mắt phi thường thời khắc, thời gian cấp bách, tin tưởng ngươi cũng minh bạch đạo lý trong đó. . . . Vi huynh biết ngươi trọng tình trọng nghĩa, không đành lòng nhìn Phì Nghĩa mệnh tang ở đây, nhưng đã hôm nay công tử muốn làm đại sự, Phì Nghĩa phải chết! Ngươi làm gì vì cùng hắn một chút giao tình làm làm bị thương, thậm chí là liên lụy chính ngươi tính mệnh đâu? Ngươi suy nghĩ thật kỹ, ngươi là nước Tống người, lần này đến nước Triệu mục đích là vì sao? Là vì vững chắc Triệu Tống hai nước đồng minh! Tại nước Triệu, chỉ có Triệu Chương công tử, mới có thể tiếp tục cố thủ cùng nước Tống đồng minh! . . . Suy nghĩ lại một chút ngươi còn tại nước Tống mẫu thân, ngẫm lại muội muội của ngươi, chớ có làm chuyện điên rồ, a Trọng, từ đầu đến cuối, ngươi cũng là phe ta người, có vinh cùng vinh, có nhục cùng nhục."

	". . ."

	Nghe nói lời ấy, cho dù Mông Trọng đối Điền Bất Nhân trong lòng còn có các loại không vui, nhưng đôi mắt bên trong vẫn không khỏi hiện lên vài tia chần chờ.

	Ngay tại Mông Trọng nội tâm giãy dụa thời khắc, hắn chợt nghe Phì Nghĩa ở bên nhẹ giọng nói ra: "Lui ra phía sau đi, Mông Trọng."

	". . ." Mông Trọng kinh ngạc nhìn về phía Phì Nghĩa, đã thấy Phì Nghĩa chính một mặt hiền lành mà nhìn mình, cười mỉm nói ra: "Điền Bất Nhân cố nhiên tâm địa ác độc, nhưng mới kia lời nói, cũng là xem như chân tâm thật ý, lão phu nói chung vẫn là công nhận. Lão phu hôm nay hẳn phải chết không nghi ngờ, nhưng ngươi còn trẻ, làm trong nhà còn có mẫu thân cùng muội muội, ngươi không cần vì lão phu bộ xương già này, làm liên lụy tính mạng của mình. Huống chi, giống như dưới mắt loại này tình cảnh, cho dù ngươi cố thủ trong lòng mình nhân nghĩa, cũng chỉ là nhiều thêm ngươi một bộ thi cốt mà thôi. . ." Nói đến đây, hắn vỗ vỗ Mông Trọng bả vai, mặt mũi tràn đầy vui mừng nói ra: "Ngươi không cùng Triệu Chương, Điền Bất Nhân thông đồng làm bậy, lừa gạt quân thượng cùng lão phu, lão phu đã an ủi. Lão phu chỉ là hối hận, hối hận ngày đó ngươi mới đến nước Triệu lúc, lão phu chưa từng đưa ngươi giữ lại tại Hàm Đan, nếu không, lấy tài năng của ngươi, nhất định có thể trở thành quân thượng vai trái cánh tay trái. . ."

	Dừng một chút, hắn quay đầu liếc nhìn Điền Bất Nhân, lần nữa nói với Mông Trọng: "Nhưng là Điền Bất Nhân mới câu nói sau cùng kia, lão phu cũng không tán đồng. Ngươi phải nhớ kỹ, Mông Trọng, ngươi cùng công tử Chương, cùng Điền Bất Nhân là khác biệt, cho dù lập trường giống nhau, nhưng các ngươi đức hạnh, lại rất là khác biệt. Chớ có đã bị những người này ảnh hưởng, thủ vững một lòng. . . . Ngươi, cũng không phải là một thành viên trong bọn họ! Chớ có những người này, điếm ô ngươi phẩm đức!"

	Dứt lời, hắn một tay lấy Mông Trọng đẩy đi ra.

	Gặp đây, vây quanh ở bọn hắn bốn phía công tử Chương bọn hộ vệ, lập tức bắt lấy Mông Trọng hai tay, đem nó kéo rời  Phì Nghĩa.

	Tiếp theo, còn lại công tử Chương bọn hộ vệ, đem Phì Nghĩa bọn người bao bọc vây quanh.

	"Lão thất phu!"

	Điền Bất Nhân cắn răng nghiến lợi mắng một câu.

	Nghe được cái này âm thanh giận mắng, Phì Nghĩa ha ha nở nụ cười.

	Không tệ, hắn mới kia lời nói, chính là vì ly gián Điền Bất Nhân cùng Mông Trọng.

	Đương nhiên, hắn cũng không trông cậy vào Mông Trọng có thể "Bỏ gian tà theo chính nghĩa", kia không thực tế, dù sao Mông Trọng là trung với Triệu chủ phụ, làm Triệu chủ phụ. . . Tại đông điện không có chút nào dị động tình huống dưới, nhưng mà công tử Chương lại có thể được đến Triệu chủ phụ mới có thể chấp chưởng lệnh phù, cái này đã có thể nói rõ rất nhiều vấn đề.

	Hắn sở dĩ ly gián Mông Trọng cùng Điền Bất Nhân, thuần túy chính là không hi vọng Mông Trọng lại cùng Điền Bất Nhân tụ cùng một chỗ, ảnh hưởng tới vị này phẩm đức ưu tú thiếu niên thôi.

	Làm nhìn Mông Trọng kia mặt trầm như nước biểu lộ, Phì Nghĩa tin tưởng mình mục đích cũng đã đạt đến.

	"Đạo khác biệt mưu cầu khác nhau, chỉ cần thấy rõ các ngươi chân diện mục, nặng đức hạnh người, đương nhiên sẽ không cùng các ngươi thông đồng làm bậy!" Phì Nghĩa hướng phía Điền Bất Nhân cười lạnh một tiếng.

	Điền Bất Nhân hận hận cắn răng, lạnh lùng nói ra: "Đây chính là ngươi sau cùng di ngôn a?"

	Phì Nghĩa ung dung cười một tiếng, chợt quay đầu nhìn về phía công tử Chương, nghiêm mặt nói ra: "Mặc dù lão phu cũng cảm thấy rất không có khả năng, nhưng vẫn là cho lão phu lại khuyên một câu. . . An Dương Quân, đối với ngươi cùng Điền Bất Nhân ý đồ, vô luận là lão phu, vẫn là An Bình Quân, Phụng Dương Quân, Dương Văn Quân mấy người, đều sớm đã biết, làm sớm liền làm xong phòng bị, ngươi chú định không thể được sính. Nếu là ngươi chịu như vậy thu tay lại, lão phu còn có thể thay ngươi hướng quân thượng cầu tình, hứa hẹn ngươi cả đời vinh hoa phú quý."

	"Thu tay lại?" Công tử Chương nghe vậy cười lạnh một tiếng, lắc đầu nói ra: "Khai cung không có quay đầu tiễn. . . Ngược lại là ngươi, Phì Nghĩa, nếu là ngươi chịu thay ta dụ đến Triệu Hà, ta ngược lại thật ra có thể buông tha ngươi, hứa hẹn ngươi cả đời vinh hoa phú quý."

	"Nhất định không khả năng!" Phì Nghĩa lúc này cự tuyệt, không chút do dự.

	Gặp đây, công tử Chương sắc mặt trầm xuống, lạnh lùng nói ra: "Đã ngươi không biết điều, cũng đừng ta không khách khí! Trước hết giết ngươi, lại công phá tây điện, giết Triệu Hà. . ."

	"Triệu Chương!" Phì Nghĩa giận dữ mắng: "Ngươi dám? !"

	"Ngươi nhìn ta có dám hay không?" Dứt lời, công tử Chương phân phó cận vệ ti Mã Trần lấy nói: "Trần Thảo, ngươi lập tức phái người truyền lệnh Bàng Noãn, mệnh suất quân tiến công tây điện. . ."

	"Ây!" Trần Thảo ôm quyền lĩnh mệnh.

	『 Bàng Noãn? 』

	Đang nghe công tử Chương thế, Mông Trọng đôi mắt bên trong hiện lên vài tia dị sắc.

	Làm cùng lúc đó, Phì Nghĩa thì tức giận trách mắng: "Triệu Chương! Ngươi như mưu phản, tất vì ngàn vạn người Triệu sở thóa khí!"

	"Mưu phản?" Công tử Chương lạnh lùng nói ra: "Bản công tử chỉ là cầm lại vốn nên thuộc về ta kia hết thảy thôi! Ta Triệu Chương, mới là vương thất đích trưởng, nước Triệu vương vị, vốn là nên do ta đến kế thừa!"

	Nghe được những lời này đại nghịch bất đạo, Phì Nghĩa khí toàn thân run rẩy, chỉ vào công tử Chương mắng: "Ngươi tuy là đích trưởng, nhưng tàn bạo không đức, há phối kế vị Triệu Quân?"

	"Ngươi nói cái gì?" Công tử Chương nghe vậy giận dữ, đang muốn phản thần giận mắng, ở bên Điền Bất Nhân khuyên nhủ: "Công tử, làm gì cùng hắn tranh luận? Chính sự quan trọng!"

	"Nói đúng." Công tử Chương gật gật đầu, mắt thấy Phì Nghĩa cười lạnh nói: "Phì Nghĩa, ngươi liền đến dưới Hoàng Tuyền, nhìn ta như thế nào đoạt lại vốn nên thuộc về ta hết thảy!"

	Nghe nói lời ấy, Phì Nghĩa thử mắt muốn nứt nhìn chăm chú lên công tử Chương, tức giận nói: "Triệu Chương, Điền Bất Nhân, các ngươi phản loạn mưu phản, chú định chết không yên lành!"

	"Hừ!" Công tử Chương hừ lạnh một tiếng, phất tay khiến nói: "Giết!"

	Ra lệnh một tiếng, vây quanh Phì Nghĩa đám người bọn hộ vệ, cùng nhau tiến lên.

	"Bảo hộ Phì tướng!"

	Phì Nghĩa hộ vệ bên cạnh nhóm cũng la lớn, liều chết bảo hộ lấy Phì Nghĩa, mặc dù bọn hắn trong lòng rất rõ ràng, song phương nhân số cách xa, bọn hắn chú định khó thoát khỏi cái chết.

	Thấy cảnh này, Mông Trọng đôi mắt bên trong hiện lên sắc mặt giận dữ, không đành lòng.

	Có thể là phát giác được tâm tình của hắn ba động, kia mấy tên gắt gao dắt lấy hắn đám vệ sĩ, tăng lớn lực đạo để hắn khó mà động đậy.

	"Triệu Chương! Điền Bất Nhân! Lão phu tạm thời liền trước phó Hoàng Tuyền , chờ lấy hai người các ngươi, các ngươi vọng nghịch loạn thần, cuối cùng chết không yên lành! Ha ha ha ha ha —— "

	Tại một trận có thể xưng phóng khoáng trong tiếng cười, nước Triệu quốc tướng Phì Nghĩa, bị công tử Chương bọn hộ vệ loạn kiếm ném lăn trên mặt đất, đỏ thắm máu tươi, nhuộm đỏ trong điện gạch đá.

	『 Phì tướng. . . 』

	Thấy cảnh này, Mông Trọng đôi mắt có chút bịt kín vài tia sương mù.

	Tiếp theo, hắn nhắm hai mắt, chán nản thở dài.

	"Công tử!"

	Một vệ sĩ tại thăm dò qua Phì Nghĩa hơi thở về sau, đi tới công tử Chương trước mặt, ôm quyền bẩm: "Phì Nghĩa một đám, đã đền tội!"

	"Tốt!"

	Công tử Chương một mặt giải hận mà nhìn xem Phì Nghĩa, chợt oán hận mắng: "Lão thất phu này, ta đã sớm muốn giết hắn, hôm nay rốt cục toại nguyện!"

	Đang nói, cận vệ ti Mã Trần lấy cất bước đi vào trong điện, ôm quyền bẩm báo nói: "Công tử, Bàng Noãn đã tiếp lệnh, giờ phút này chính dẫn đầu Đàn Vệ quân tiến công tây điện."

	"Rất tốt!" Công tử Chương gật gật đầu, phân phó nói: "Việc này không nên chậm trễ, ngươi lập tức suất lĩnh vệ đội, cùng ta cùng nhau tiến công tây điện, phải tất yếu bắt lấy Triệu Hà!"

	"Ây!" Trần Thảo ôm quyền.

	Chợt, ánh mắt của hắn liếc qua vẫn bị mấy tên vệ sĩ chế ở Mông Trọng, thấp giọng nói ra: "Công tử, Mông Tư Mã. . . Làm sao bây giờ?"

	Công tử Chương nghe vậy nhìn thoáng qua Mông Trọng, chợt nói với Điền Bất Nhân: "Bất Nhân, tiểu tử này liền giao cho ngươi."

	"Công tử yên tâm." Điền Bất Nhân chắp tay, nói ra: "Thần sẽ thuyết phục hắn."

	"Ngô."

	Công tử Chương nhẹ gật đầu, phất tay ra hiệu ở bên các vị vệ sĩ nói: "Đi thôi!"

	Phần phật địa, mới còn kín người hết chỗ Thiên Điện, lập tức liền trở nên trống rỗng, chỉ còn lại Điền Bất Nhân, Mông Trọng, cùng khống chế Mông Trọng ba bốn danh vệ sĩ.

	Mắt thấy công tử Chương bọn người biến mất trong tầm mắt, Điền Bất Nhân lúc này mới ép một chút tay ra hiệu kia mấy tên vệ sĩ nói: "Tốt, đem Mông Tư Mã buông ra đi."

	"Ây!" Kia mấy tên vệ sĩ theo lời buông ra Mông Trọng, lui ra phía sau hai bước.

	Lúc này, đã thấy Mông Trọng cấp tốc đoạt lấy một vệ sĩ bội kiếm bên hông, như thiểm điện đem nó rút ra, gác ở Điền Bất Nhân trên cổ.

	"Điền tướng!"

	"Mông Tư Mã!"

	Kia mấy tên vệ sĩ gặp mì này sắc đại biến.

	Nhưng Điền Bất Nhân lại không chút hoang mang, phảng phất toàn vẹn không có đem gác ở trên cổ mình chuôi này lợi kiếm để ở trong lòng, chỉ gặp hắn mắt thấy Mông Trọng, cười nhẹ nói ra: "A Trọng, bình tĩnh một chút. Kỳ thật chính ngươi cũng biết, một kiếm này ngươi là trảm không được, thật giống như vi huynh mới khuyên can công tử dùng kia lời nói đến đe dọa ngươi. . . Đây đều là không có chút ý nghĩa nào."

	"Ngươi cảm thấy ta trảm không đi xuống?" Mông Trọng trầm mặt tức giận nói.

	Điền Bất Nhân lắc đầu, bình tĩnh nói ra: "Xem ra Phì Nghĩa chết, quả thật làm cho ngươi cảm xúc thất thường. Vi huynh cũng không muốn kích thích ngươi, tạm thời coi như ngươi chém đi xuống đi. Chỉ bất quá, giết vi huynh, đối ngươi có cái gì lợi ích a? Hoặc là, đối nước Tống có cái gì lợi ích a? Vi huynh trợ công tử đoạt vị, cái này hoàn toàn là vì nước Tống. . . Ngươi rất rõ ràng, ta nước Tống cần nước Triệu người minh hữu này, chỉ có cùng ngay tại cấp tốc cường đại nước Triệu kết minh, Tề, Ngụy, Sở các nước mới không dám xâm chiếm ta nước Tống; nếu là đã mất đi Triệu Tống đồng minh, ta nước Tống chắc chắn tứ phía vòng địch, đến lúc đó, nước khác quân đội đem tùy ý xâm chiếm ta nước Tống thổ địa, sát hại ta nước Tống đồng bào. . . Ngươi nhẫn tâm nhìn thấy như thế tàn khốc cục diện a?"

	". . ." Mông Trọng đôi mắt bên trong hiện lên vài tia giãy dụa.

	Gặp Mông Trọng đã có chỗ dao động, Điền Bất Nhân khoát khoát tay, ra hiệu những cái kia đang chuẩn bị tùy thời đoạt kiếm vệ sĩ lui ra phía sau, miễn cho kích thích đến Mông Trọng.

	Làm chính hắn, thì dùng một ngón tay nhẹ nhàng địa, chậm rãi đẩy ra gác ở trên cổ hắn lưỡi kiếm.

	"Nhất định phải đi đến 'Một bước này' a?"

	Mông Trọng không có kháng cự, chậm rãi thõng xuống trong tay lợi kiếm, nhìn chăm chú lên Điền Bất Nhân hỏi.

	Điền Bất Nhân đương nhiên biết Mông Trọng trong miệng "Một bước này" chỉ là cái gì, nghe vậy đặt sau lưng hai tay, trầm giọng nói ra: "Bởi vì một bước này không phải đi thôi không thể."

	Dứt lời, hắn đối Mông Trọng giải thích nói: "Về công tử mà nói, hắn cùng Triệu Hà, có cừu hận bất cộng đái thiên. Công tử vì sao tín nhiệm ta? Bởi vì ta tại hắn thời điểm khó khăn nhất, tìm nơi nương tựa hắn, phụ tá hắn, lúc ấy trừ ta bên ngoài, toàn bộ nước Triệu không ai cùng hắn lui tới. . . Đã từng đường đường nước Triệu Thái tử, luân lạc tới loại tình trạng này, có thể nghĩ công tử đối Triệu Hà, đối Ngô Oa có như thế nào căm hận."

	"Kia Phì tướng đâu?" Mông Trọng mặt không thay đổi hỏi.

	Điền Bất Nhân nghe vậy bình tĩnh nói ra: "Công tử đối Phì Nghĩa cũng có hận ý, dù sao lúc trước công tử vẫn là Thái tử thời điểm, Phì Nghĩa cũng từng giáo sư hắn học thức, nhưng mà, cuối cùng Phì Nghĩa lại vứt bỏ hắn mà đi, lựa chọn Triệu Hà. . ."

	"Đây cũng không phải là Phì tướng sai lầm."

	"Ta biết." Điền Bất Nhân gật gật đầu nói ra: "Đây hết thảy, kỳ thật đều là 'Vị kia' bỏ qua, nhưng ngươi ta có thể đối 'Vị kia' nói cái gì đó? . . . A Trọng, trợ công tử Chương cướp đoạt Triệu Quân chi vị, bảo đảm Triệu Tống đồng minh, đây mới là ngươi ta ưu tiên muốn cân nhắc sự tình, dưới mắt thời khắc mấu chốt, chính là lúc dùng người, vi huynh hi vọng ngươi lấy đại cục làm trọng, dẫn đầu Tín Vệ quân trợ công tử một chút sức lực. . . . Đây cũng là 'Vị kia' ý tứ."

	"Triệu chủ phụ ý tứ?"

	Mông Trọng trực tiếp phơi bày Điền Bất Nhân mập mờ suy đoán "Vị kia", để Điền Bất Nhân hơi có chút khó chịu.

	"Hừ."

	Hừ lạnh một tiếng, Mông Trọng nghiêm mặt nói ra: "Phì tướng tại ta có ân, ta không thể cứu hắn, nhưng ta không cho phép lại có người vũ nhục thi thể của hắn."

	"A Trọng, ngươi thật sự cho rằng vi huynh là người như vậy. . ." Mở một câu trò đùa, đã thấy Mông Trọng trên mặt không có chút nào tiếu dung, Điền Bất Nhân lúc này đổi giọng, gật gật đầu nghiêm mặt nói ra: "Ta sẽ để cho người thích đáng dàn xếp thi thể, đợi sau đó đem nó an táng."

	Nghe nói lời ấy, Mông Trọng xoay người rời đi, tại đi đến Phì Nghĩa thi thể bên người lúc, ngồi xổm người xuống, đem Phì Nghĩa cặp kia chết không nhắm mắt hai con ngươi nhẹ nhàng khép lại.

	Chợt, hắn đứng dậy, tại liếc mắt nhìn chằm chằm Điền Bất Nhân về sau, lắc đầu nói ra: "Phì tướng nói không sai, đạo khác biệt mưu cầu khác nhau, ta không phải là các ngươi một phương người, tuyệt sẽ không."

	Dứt lời, hắn cất bước đi ra Thiên Điện.

