"Khu an toàn khoảng cách Thánh điện gần nhất, là hoàn toàn bị Thánh Tinh trì trường lực bao trùm phạm vi. Tạm thời không có bị ảnh hưởng dấu hiệu." Trả lời đây là tân nhậm người phụ trách Madilan.

	"Khói đen trừ ra khuếch tán ở ngoài, còn có cái gì dị tượng sao?" Lâm Thịnh hỏi lại.
	Chỉ cần có nó ở, toàn bộ Hengruika trong phạm vi thánh chức đám người, sử dụng trụ cột nhất Tà Ác Trinh Trắc, cũng sẽ biến thành cường hãn sát thương lực Thần Thánh Trùng Kích.

	Đây mới là phạm vi tính chất bảo vệ Hengruika then chốt.

	Vì lẽ đó Lâm Thịnh đơn giản chính mình chuyển tới Tịch Nhật tháp trên, xem như là rời xa mọi người, duy trì thần bí độ, đồng thời cũng vì bảo vệ tòa tháp này không bị tổn hại.

	Đứng ở trên sân thượng, hắn xa xa nhìn ra xa xa.

	Ở nhà lớn trong lúc đó biên giới thành thị, thiên địa có một nửa đã hóa thành màu đen.

	Hắn hướng về cái khác mấy cái phương hướng từng cái nhìn tới.

	Tất cả phương hướng đều giống nhau.

	Bầu trời, trừ ra Hengruika phía trên vẫn là Tịch Nhật tháp nhuộm thành màu hồng ở ngoài, những nơi còn lại toàn đã biến thành màu xám.

	Trên mặt đất, càng là một mảnh khói đen bao phủ.

	Toàn bộ Hengruika, hoàn toàn bị bao vây thành một cái cực lớn hình tròn.

	Hình tròn biên giới nơi, cuồn cuộn không ngừng Thánh lực điên cuồng tiêu hao, đối kháng bên ngoài không ngừng vọt tới khói đen.

	Lâm Thịnh có thể cảm giác được Thánh Tinh trì đang nhanh chóng tiêu hao.

	Mấy trăm vạn đơn vị Thánh lực, chính đang tại loại này đại diện tích năng lượng đối kháng bên trong, nhanh chóng hao tổn.

	Cũng còn tốt chính là, tựa hồ là bởi vì tận thế một loại tình cảnh kích thích đến tất cả dân chúng.

	Trong thành mấy trăm vạn dân chúng ở tuyên truyền nơi hiệu triệu xuống, cũng dồn dập bắt đầu cầu nguyện.

	Lượng lớn Thánh lực lại lần nữa bổ sung tiến vào Thánh Tinh trì. Mức độ lớn chậm lại Thánh lực giảm thiểu tốc độ.

	"Thoạt nhìn tạm thời cũng còn tốt. . . . ." Lâm Thịnh hơi hơi thở phào nhẹ nhõm.

	Ít nhất toàn thân cảm giác xem ra, chỉ dựa vào loại này cường hóa sau khói đen, cũng không thể hủy diệt Hengruika.

	Chỉ là chưa kịp hắn lấy lại tinh thần.

	Trong giây lát, đỉnh đầu phía trên bầu trời răng rắc một tiếng truyền đến nổ vang.

	Có màu đen sấm sét giống như mạng nhện xẹt qua chân trời.

	Nguyên bản màu đỏ nhạt bầu trời, cấp tốc bắt đầu tràn ngập tràn vào đại cổ đại cổ đen đặc mây mù.

	Không tới thời gian ngắn ngủi, đầy trời đều là dày đặc xám đen tầng mây.

	Nhất làm cho Lâm Thịnh chấn động chính là, đen đặc mây mù cũng không chỉ là đơn thuần sương mù, mặt ngoài còn mơ hồ lộ ra ra một cái khổng lồ thẫn thờ mặt người.

	Xoẹt một tiếng.

	Mây mù ở giữa, một cái cực lớn màu đen bàn tay, vô hình chậm rãi từ giữa bầu trời ép hướng về Tịch Nhật tháp.

	Bàn tay kia mơ hồ không rõ, dường như sương khói tạo thành. Ở Lâm Thịnh cảm giác bên trong , căn bản chính là thuần túy do một chủng loại tựa như hồn lực lực lượng tạo thành.

	bình thường dân chúng căn bản không nhìn thấy hình thái.

	Nhất làm cho hắn ngạc nhiên chính là, bàn tay kia trên mơ hồ hoa văn, mơ hồ cùng lúc trước hắn triệu hoán Cương Chi Vương thì nhìn thấy giết chết Cương Chi Vương cái kia ngón tay cực kỳ tương tự.

	Cứ việc trong đầu chuyển động các loại tâm tư, nhưng vào giờ phút này, Lâm Thịnh sau lưng Thánh lực nổ tung, cả người phóng lên trời.

	Liệt Đẳng Sứ dị năng Vô Hạn Chuyển Hóa trong nháy mắt mở ra.

	"Giết! ! !" Hắn gầm nhẹ một tiếng.

	Cả người hầu như hóa thành một đoàn màu trắng sao chổi, kéo thật dài to lớn đuôi sao chổi, chính diện ầm ầm va vào cái kia màu đen bàn tay.

	Ầm ầm! ! !

	Khói đen cùng thánh quang điên cuồng đối kháng chôn vùi.

	Lâm Thịnh cuồn cuộn không ngừng chuyển hóa ra lượng lớn Thánh lực, vô cùng vô tận Thánh lực điên cuồng ăn mòn khói đen, nỗ lực trục xuất tịnh hóa nó.

	Nhưng lần này nó gặp phải đối thủ.

	Khói đen cũng đồng dạng vô cùng vô tận. Mà lại tính chất cũng không kém gì Thánh lực.

	Hai cái đối đầu đến cùng nhau, duy nhất có thể có thể quyết định thắng bại, chính là lượng.

	Trong nháy mắt, toàn bộ Hengruika đều nhìn thấy trên không trung một đen một trắng mãnh liệt xung kích giằng co.

	"Là Thánh Đế đại nhân! !"

	"Chúng ta có Thánh Đế đại nhân bảo vệ! Tuyệt không có việc gì!"

	"Chí cao vô thượng Thánh Đế Thánh Linh vương! Nhất định phải thắng a!"

	"Cầu nguyện đi, thánh quang bảo hộ chúng ta!"

	"Thần thánh cuối cùng chiến thắng tà ác!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

	Tất cả mọi người dồn dập ngửa đầu, xem hướng thiên không, cầu nguyện thuộc về thánh quang thắng lợi.

	Vô số tiếng cầu nguyện, cuối cùng dồn dập hóa thành một câu thần thánh vĩnh tồn.

	Lượng lớn Thánh lực cuồn cuộn không ngừng hòa vào Thánh Tinh trì bên trong.

	"Ngươi đến cùng, là cái thứ gì! ! ?" Lâm Thịnh cả người Thánh lực cuồng bạo tùy ý tuôn ra.

	Vô cùng vô tận Thánh lực lấy trước nay chưa từng có to lớn nhất tốc độ bộc phát ra, chuyện này đối với thân thể của hắn cũng là trước nay chưa từng có gánh nặng.

	Hắn hướng lên trời nhìn tấm kia mặt người, cả người Âm Chuyển Tà Luân tầng gia trì không ngừng tăng cường thân thể, chữa trị thân thể. Sau đó lấy này bạo phát thánh quang, rồi mới miễn cưỡng cùng bàn tay kia chống lại giằng co.


********

Giúp vài phiếu lấy cảm hứng mấy đạo hữu

<a href="http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM">http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM</a>"Khu an toàn khoảng cách Thánh điện gần nhất, là hoàn toàn bị Thánh Tinh trì trường lực bao trùm phạm vi. Tạm thời không có bị ảnh hưởng dấu hiệu." Trả lời đây là tân nhậm người phụ trách Madilan.

	"Khói đen trừ ra khuếch tán ở ngoài, còn có cái gì dị tượng sao?" Lâm Thịnh hỏi lại.

	"Tạm thời không có phát hiện. Chỉ là như vậy vừa đến, chúng ta cùng ngoại giới liên hệ hoàn toàn đoạn tuyệt. Có lẽ không chỉ là chúng ta, tất cả thành thị cùng ngoại giới liên hệ đều đứt đoạn mất. Nếu là lại xảy ra vấn đề gì, liền phiền phức lớn rồi." Madilan trầm giọng nói.

	Lâm Thịnh lặng lẽ.

	Hắn trở về sau, liền vẫn ngốc ở trung tâm nghiên cứu phòng cách ly tiêu hóa hồn lực, mãi đến tận ngày hôm trước mới hoàn toàn hấp thu tất cả hồn lực, linh hồn tăng lên dữ dội một đoạn dài.

	Không nghĩ tới mới ra đến, liền gặp phải tình huống như thế.

	Hắn lúc này hồi tưởng lại, trước thông qua Thời gian chi sa nhìn thấy tình cảnh đó tình cảnh.

	Trong lòng không khỏi vừa kéo.

	Xem ra cần phải mau chóng bắt đầu dời đi kế hoạch.

	Hắn xâm chiếm tấn công nhiều như vậy Tà linh hang động, không phải là vì vào giờ phút này dời đi người may mắn còn sống sót.

	Chỉ là hắn mới vừa nổi lên cái ý niệm này.

	Bỗng nhiên tọa trấn Tà Linh cung bên trong Thiên Công Hà bên kia, cũng theo truyền tới một tin tức.

	"Tà linh hang động bên này cũng xuất hiện khói đen. Hơn nữa lan tràn rất nhanh!"

	"Cái gì! ?" Lâm Thịnh trong lòng lạnh lẽo, bỗng nhiên đứng lên.

	"Không thể! Tà linh bên kia trước còn rất tốt! Làm sao sẽ?"

	"Ta bước đầu hoài nghi, là chúng ta mở ra Tà Linh giới sau, mang tới khói đen. . . . ." Thiên Công Hà ở đầu kia trầm giọng nói.

	"Chúng ta mang tới?" Lâm Thịnh ngẩn ra.

	Hắn bỗng nhiên có chút rõ ràng, nếu như đúng là khói đen sẽ đuổi theo người đi, vậy cũng liền có thể giải thích, lúc trước Hắc Vũ thế giới Anceriea tại sao khổ sở truy tìm như thế nào giải quyết hắc triều.

	Mà không phải mang theo người may mắn còn sống sót thoát đi quyết định.

	Theo lý thuyết, Hắc Vũ thế giới cường giả đỉnh cao đám người, không đến nỗi không tìm được một cái kéo dài sinh mệnh bí cảnh không gian.

	Nhưng bọn họ từng cái từng cái lại không hề bất ngờ ngã xuống.

	Liền ngay cả Anceriea cũng lưu xuống một cái cái tràn ngập tuyệt vọng nhắn lại.

	"Nhất định phải qua khảo nghiệm, xác định khói đen có phải là thật hay không đi theo người sống ở đi!" Lâm Thịnh bỗng nhiên liên tưởng đến một cái để cho hắn cả người phát lạnh tình huống.

	Nếu như khói đen đúng là theo người đi, như vậy hắn lúc trước thông qua mộng cảnh bước vào Hắc Vũ thế giới.

	Như vậy qua lại vô số lần.

	Như vậy, thế giới này khói đen, là không phải là bởi vì hắn duyên cớ, mới bị Hắc Vũ thế giới bên kia kích thích bạo phát?

	Hắn rất sớm liền biết thế giới tồn tại hắc triều , bất quá ở trước hắn, những kia hắc triều lan tràn thật chậm, hơn nữa rất nhẹ nhàng liền có thể giải quyết.

	Chỉ là ở hắn bắt đầu mộng cảnh bước vào Hắc Vũ thế giới sau, tất cả mới cấp tốc chuyển biến.

	Lâm Thịnh nỗ lực duy trì khuôn mặt không đổi, tiếng nói như trước ôn hòa nói: "Mọi người tiếp tục quan tâm biên giới đoạn đường khói đen biến hóa, hậu cần nơi phối hợp tuyên truyền nơi vững chắc dân chúng tâm tình. Đang không có càng to lớn hơn biến hóa trước, không nên tới quấy rối ta.

	Ta dự định tự mình dò xét một chút khói đen bản chất."

	"Vâng!"

	Một đám cao tầng dồn dập đáp.

	Điện tử hội nghị nhất thời tách ra. Màn hình bị Lâm Thịnh lạch cạch một tiếng đóng.

	Hắn lẳng lặng đứng ở trong tháp trong đại sảnh. Trong lòng tâm tư sóng lên sóng xuống, không ngừng suy đoán các loại liên quan tới hắc triều khả năng.

	Nhưng càng là suy nghĩ, hắn liền càng là cảm giác, hắc triều cấp tốc bạo phát, có lẽ thật cùng hắn có quan hệ.

	"Nếu như có thể xác định hắc triều đúng là theo người ở đi. . . . ." Hắn hít sâu một hơi, đi ra phòng khách, đi tới cao tới hơn trăm thước Tịch Nhật tháp trên sân thượng.

	Trăm mét cao đỉnh tháp, ở thành phố này cũng không coi là nhiều dễ thấy.

	Xa xa một trùng trùng trăm mét cao cao ốc cao lầu tầng tầng lớp lớp, nhưng Tịch Nhật tháp cùng những kiến trúc khác không giống.

	Nó còn có cường hóa phúc xạ trong phạm vi, tất cả thần thuật hiệu quả tác dụng.

	Chỉ cần có nó ở, toàn bộ Hengruika trong phạm vi thánh chức đám người, sử dụng trụ cột nhất Tà Ác Trinh Trắc, cũng sẽ biến thành cường hãn sát thương lực Thần Thánh Trùng Kích.

	Đây mới là phạm vi tính chất bảo vệ Hengruika then chốt.

	Vì lẽ đó Lâm Thịnh đơn giản chính mình chuyển tới Tịch Nhật tháp trên, xem như là rời xa mọi người, duy trì thần bí độ, đồng thời cũng vì bảo vệ tòa tháp này không bị tổn hại.

	Đứng ở trên sân thượng, hắn xa xa nhìn ra xa xa.

	Ở nhà lớn trong lúc đó biên giới thành thị, thiên địa có một nửa đã hóa thành màu đen.

	Hắn hướng về cái khác mấy cái phương hướng từng cái nhìn tới.

	Tất cả phương hướng đều giống nhau.

	Bầu trời, trừ ra Hengruika phía trên vẫn là Tịch Nhật tháp nhuộm thành màu hồng ở ngoài, những nơi còn lại toàn đã biến thành màu xám.

	Trên mặt đất, càng là một mảnh khói đen bao phủ.

	Toàn bộ Hengruika, hoàn toàn bị bao vây thành một cái cực lớn hình tròn.

	Hình tròn biên giới nơi, cuồn cuộn không ngừng Thánh lực điên cuồng tiêu hao, đối kháng bên ngoài không ngừng vọt tới khói đen.

	Lâm Thịnh có thể cảm giác được Thánh Tinh trì đang nhanh chóng tiêu hao.

	Mấy trăm vạn đơn vị Thánh lực, chính đang tại loại này đại diện tích năng lượng đối kháng bên trong, nhanh chóng hao tổn.

	Cũng còn tốt chính là, tựa hồ là bởi vì tận thế một loại tình cảnh kích thích đến tất cả dân chúng.

	Trong thành mấy trăm vạn dân chúng ở tuyên truyền nơi hiệu triệu xuống, cũng dồn dập bắt đầu cầu nguyện.

	Lượng lớn Thánh lực lại lần nữa bổ sung tiến vào Thánh Tinh trì. Mức độ lớn chậm lại Thánh lực giảm thiểu tốc độ.

	"Thoạt nhìn tạm thời cũng còn tốt. . . . ." Lâm Thịnh hơi hơi thở phào nhẹ nhõm.

	Ít nhất toàn thân cảm giác xem ra, chỉ dựa vào loại này cường hóa sau khói đen, cũng không thể hủy diệt Hengruika.

	Chỉ là chưa kịp hắn lấy lại tinh thần.

	Trong giây lát, đỉnh đầu phía trên bầu trời răng rắc một tiếng truyền đến nổ vang.

	Có màu đen sấm sét giống như mạng nhện xẹt qua chân trời.

	Nguyên bản màu đỏ nhạt bầu trời, cấp tốc bắt đầu tràn ngập tràn vào đại cổ đại cổ đen đặc mây mù.

	Không tới thời gian ngắn ngủi, đầy trời đều là dày đặc xám đen tầng mây.

	Nhất làm cho Lâm Thịnh chấn động chính là, đen đặc mây mù cũng không chỉ là đơn thuần sương mù, mặt ngoài còn mơ hồ lộ ra ra một cái khổng lồ thẫn thờ mặt người.

	Xoẹt một tiếng.

	Mây mù ở giữa, một cái cực lớn màu đen bàn tay, vô hình chậm rãi từ giữa bầu trời ép hướng về Tịch Nhật tháp.

	Bàn tay kia mơ hồ không rõ, dường như sương khói tạo thành. Ở Lâm Thịnh cảm giác bên trong , căn bản chính là thuần túy do một chủng loại tựa như hồn lực lực lượng tạo thành.

	bình thường dân chúng căn bản không nhìn thấy hình thái.

	Nhất làm cho hắn ngạc nhiên chính là, bàn tay kia trên mơ hồ hoa văn, mơ hồ cùng lúc trước hắn triệu hoán Cương Chi Vương thì nhìn thấy giết chết Cương Chi Vương cái kia ngón tay cực kỳ tương tự.

	Cứ việc trong đầu chuyển động các loại tâm tư, nhưng vào giờ phút này, Lâm Thịnh sau lưng Thánh lực nổ tung, cả người phóng lên trời.

	Liệt Đẳng Sứ dị năng Vô Hạn Chuyển Hóa trong nháy mắt mở ra.

	"Giết! ! !" Hắn gầm nhẹ một tiếng.

	Cả người hầu như hóa thành một đoàn màu trắng sao chổi, kéo thật dài to lớn đuôi sao chổi, chính diện ầm ầm va vào cái kia màu đen bàn tay.

	Ầm ầm! ! !

	Khói đen cùng thánh quang điên cuồng đối kháng chôn vùi.

	Lâm Thịnh cuồn cuộn không ngừng chuyển hóa ra lượng lớn Thánh lực, vô cùng vô tận Thánh lực điên cuồng ăn mòn khói đen, nỗ lực trục xuất tịnh hóa nó.

	Nhưng lần này nó gặp phải đối thủ.

	Khói đen cũng đồng dạng vô cùng vô tận. Mà lại tính chất cũng không kém gì Thánh lực.

	Hai cái đối đầu đến cùng nhau, duy nhất có thể có thể quyết định thắng bại, chính là lượng.

	Trong nháy mắt, toàn bộ Hengruika đều nhìn thấy trên không trung một đen một trắng mãnh liệt xung kích giằng co.

	"Là Thánh Đế đại nhân! !"

	"Chúng ta có Thánh Đế đại nhân bảo vệ! Tuyệt không có việc gì!"

	"Chí cao vô thượng Thánh Đế Thánh Linh vương! Nhất định phải thắng a!"

	"Cầu nguyện đi, thánh quang bảo hộ chúng ta!"

	"Thần thánh cuối cùng chiến thắng tà ác!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

	Tất cả mọi người dồn dập ngửa đầu, xem hướng thiên không, cầu nguyện thuộc về thánh quang thắng lợi.

	Vô số tiếng cầu nguyện, cuối cùng dồn dập hóa thành một câu thần thánh vĩnh tồn.

	Lượng lớn Thánh lực cuồn cuộn không ngừng hòa vào Thánh Tinh trì bên trong.

	"Ngươi đến cùng, là cái thứ gì! ! ?" Lâm Thịnh cả người Thánh lực cuồng bạo tùy ý tuôn ra.

	Vô cùng vô tận Thánh lực lấy trước nay chưa từng có to lớn nhất tốc độ bộc phát ra, chuyện này đối với thân thể của hắn cũng là trước nay chưa từng có gánh nặng.

	Hắn hướng lên trời nhìn tấm kia mặt người, cả người Âm Chuyển Tà Luân tầng gia trì không ngừng tăng cường thân thể, chữa trị thân thể. Sau đó lấy này bạo phát thánh quang, rồi mới miễn cưỡng cùng bàn tay kia chống lại giằng co.


********

Giúp vài phiếu lấy cảm hứng mấy đạo hữu

<a href="http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM">http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM</a>"Khu an toàn khoảng cách Thánh điện gần nhất, là hoàn toàn bị Thánh Tinh trì trường lực bao trùm phạm vi. Tạm thời không có bị ảnh hưởng dấu hiệu." Trả lời đây là tân nhậm người phụ trách Madilan.

	"Khói đen trừ ra khuếch tán ở ngoài, còn có cái gì dị tượng sao?" Lâm Thịnh hỏi lại.

	"Tạm thời không có phát hiện. Chỉ là như vậy vừa đến, chúng ta cùng ngoại giới liên hệ hoàn toàn đoạn tuyệt. Có lẽ không chỉ là chúng ta, tất cả thành thị cùng ngoại giới liên hệ đều đứt đoạn mất. Nếu là lại xảy ra vấn đề gì, liền phiền phức lớn rồi." Madilan trầm giọng nói.

	Lâm Thịnh lặng lẽ.

	Hắn trở về sau, liền vẫn ngốc ở trung tâm nghiên cứu phòng cách ly tiêu hóa hồn lực, mãi đến tận ngày hôm trước mới hoàn toàn hấp thu tất cả hồn lực, linh hồn tăng lên dữ dội một đoạn dài.

	Không nghĩ tới mới ra đến, liền gặp phải tình huống như thế.

	Hắn lúc này hồi tưởng lại, trước thông qua Thời gian chi sa nhìn thấy tình cảnh đó tình cảnh.

	Trong lòng không khỏi vừa kéo.

	Xem ra cần phải mau chóng bắt đầu dời đi kế hoạch.

	Hắn xâm chiếm tấn công nhiều như vậy Tà linh hang động, không phải là vì vào giờ phút này dời đi người may mắn còn sống sót.

	Chỉ là hắn mới vừa nổi lên cái ý niệm này.

	Bỗng nhiên tọa trấn Tà Linh cung bên trong Thiên Công Hà bên kia, cũng theo truyền tới một tin tức.

	"Tà linh hang động bên này cũng xuất hiện khói đen. Hơn nữa lan tràn rất nhanh!"

	"Cái gì! ?" Lâm Thịnh trong lòng lạnh lẽo, bỗng nhiên đứng lên.

	"Không thể! Tà linh bên kia trước còn rất tốt! Làm sao sẽ?"

	"Ta bước đầu hoài nghi, là chúng ta mở ra Tà Linh giới sau, mang tới khói đen. . . . ." Thiên Công Hà ở đầu kia trầm giọng nói.

	"Chúng ta mang tới?" Lâm Thịnh ngẩn ra.

	Hắn bỗng nhiên có chút rõ ràng, nếu như đúng là khói đen sẽ đuổi theo người đi, vậy cũng liền có thể giải thích, lúc trước Hắc Vũ thế giới Anceriea tại sao khổ sở truy tìm như thế nào giải quyết hắc triều.

	Mà không phải mang theo người may mắn còn sống sót thoát đi quyết định.

	Theo lý thuyết, Hắc Vũ thế giới cường giả đỉnh cao đám người, không đến nỗi không tìm được một cái kéo dài sinh mệnh bí cảnh không gian.

	Nhưng bọn họ từng cái từng cái lại không hề bất ngờ ngã xuống.

	Liền ngay cả Anceriea cũng lưu xuống một cái cái tràn ngập tuyệt vọng nhắn lại.

	"Nhất định phải qua khảo nghiệm, xác định khói đen có phải là thật hay không đi theo người sống ở đi!" Lâm Thịnh bỗng nhiên liên tưởng đến một cái để cho hắn cả người phát lạnh tình huống.

	Nếu như khói đen đúng là theo người đi, như vậy hắn lúc trước thông qua mộng cảnh bước vào Hắc Vũ thế giới.

	Như vậy qua lại vô số lần.

	Như vậy, thế giới này khói đen, là không phải là bởi vì hắn duyên cớ, mới bị Hắc Vũ thế giới bên kia kích thích bạo phát?

	Hắn rất sớm liền biết thế giới tồn tại hắc triều , bất quá ở trước hắn, những kia hắc triều lan tràn thật chậm, hơn nữa rất nhẹ nhàng liền có thể giải quyết.

	Chỉ là ở hắn bắt đầu mộng cảnh bước vào Hắc Vũ thế giới sau, tất cả mới cấp tốc chuyển biến.

	Lâm Thịnh nỗ lực duy trì khuôn mặt không đổi, tiếng nói như trước ôn hòa nói: "Mọi người tiếp tục quan tâm biên giới đoạn đường khói đen biến hóa, hậu cần nơi phối hợp tuyên truyền nơi vững chắc dân chúng tâm tình. Đang không có càng to lớn hơn biến hóa trước, không nên tới quấy rối ta.

	Ta dự định tự mình dò xét một chút khói đen bản chất."

	"Vâng!"

	Một đám cao tầng dồn dập đáp.

	Điện tử hội nghị nhất thời tách ra. Màn hình bị Lâm Thịnh lạch cạch một tiếng đóng.

	Hắn lẳng lặng đứng ở trong tháp trong đại sảnh. Trong lòng tâm tư sóng lên sóng xuống, không ngừng suy đoán các loại liên quan tới hắc triều khả năng.

	Nhưng càng là suy nghĩ, hắn liền càng là cảm giác, hắc triều cấp tốc bạo phát, có lẽ thật cùng hắn có quan hệ.

	"Nếu như có thể xác định hắc triều đúng là theo người ở đi. . . . ." Hắn hít sâu một hơi, đi ra phòng khách, đi tới cao tới hơn trăm thước Tịch Nhật tháp trên sân thượng.

	Trăm mét cao đỉnh tháp, ở thành phố này cũng không coi là nhiều dễ thấy.

	Xa xa một trùng trùng trăm mét cao cao ốc cao lầu tầng tầng lớp lớp, nhưng Tịch Nhật tháp cùng những kiến trúc khác không giống.

	Nó còn có cường hóa phúc xạ trong phạm vi, tất cả thần thuật hiệu quả tác dụng.

	Chỉ cần có nó ở, toàn bộ Hengruika trong phạm vi thánh chức đám người, sử dụng trụ cột nhất Tà Ác Trinh Trắc, cũng sẽ biến thành cường hãn sát thương lực Thần Thánh Trùng Kích.

	Đây mới là phạm vi tính chất bảo vệ Hengruika then chốt.

	Vì lẽ đó Lâm Thịnh đơn giản chính mình chuyển tới Tịch Nhật tháp trên, xem như là rời xa mọi người, duy trì thần bí độ, đồng thời cũng vì bảo vệ tòa tháp này không bị tổn hại.

	Đứng ở trên sân thượng, hắn xa xa nhìn ra xa xa.

	Ở nhà lớn trong lúc đó biên giới thành thị, thiên địa có một nửa đã hóa thành màu đen.

	Hắn hướng về cái khác mấy cái phương hướng từng cái nhìn tới.

	Tất cả phương hướng đều giống nhau.

	Bầu trời, trừ ra Hengruika phía trên vẫn là Tịch Nhật tháp nhuộm thành màu hồng ở ngoài, những nơi còn lại toàn đã biến thành màu xám.

	Trên mặt đất, càng là một mảnh khói đen bao phủ.

	Toàn bộ Hengruika, hoàn toàn bị bao vây thành một cái cực lớn hình tròn.

	Hình tròn biên giới nơi, cuồn cuộn không ngừng Thánh lực điên cuồng tiêu hao, đối kháng bên ngoài không ngừng vọt tới khói đen.

	Lâm Thịnh có thể cảm giác được Thánh Tinh trì đang nhanh chóng tiêu hao.

	Mấy trăm vạn đơn vị Thánh lực, chính đang tại loại này đại diện tích năng lượng đối kháng bên trong, nhanh chóng hao tổn.

	Cũng còn tốt chính là, tựa hồ là bởi vì tận thế một loại tình cảnh kích thích đến tất cả dân chúng.

	Trong thành mấy trăm vạn dân chúng ở tuyên truyền nơi hiệu triệu xuống, cũng dồn dập bắt đầu cầu nguyện.

	Lượng lớn Thánh lực lại lần nữa bổ sung tiến vào Thánh Tinh trì. Mức độ lớn chậm lại Thánh lực giảm thiểu tốc độ.

	"Thoạt nhìn tạm thời cũng còn tốt. . . . ." Lâm Thịnh hơi hơi thở phào nhẹ nhõm.

	Ít nhất toàn thân cảm giác xem ra, chỉ dựa vào loại này cường hóa sau khói đen, cũng không thể hủy diệt Hengruika.

	Chỉ là chưa kịp hắn lấy lại tinh thần.

	Trong giây lát, đỉnh đầu phía trên bầu trời răng rắc một tiếng truyền đến nổ vang.

	Có màu đen sấm sét giống như mạng nhện xẹt qua chân trời.

	Nguyên bản màu đỏ nhạt bầu trời, cấp tốc bắt đầu tràn ngập tràn vào đại cổ đại cổ đen đặc mây mù.

	Không tới thời gian ngắn ngủi, đầy trời đều là dày đặc xám đen tầng mây.

	Nhất làm cho Lâm Thịnh chấn động chính là, đen đặc mây mù cũng không chỉ là đơn thuần sương mù, mặt ngoài còn mơ hồ lộ ra ra một cái khổng lồ thẫn thờ mặt người.

	Xoẹt một tiếng.

	Mây mù ở giữa, một cái cực lớn màu đen bàn tay, vô hình chậm rãi từ giữa bầu trời ép hướng về Tịch Nhật tháp.

	Bàn tay kia mơ hồ không rõ, dường như sương khói tạo thành. Ở Lâm Thịnh cảm giác bên trong , căn bản chính là thuần túy do một chủng loại tựa như hồn lực lực lượng tạo thành.

	bình thường dân chúng căn bản không nhìn thấy hình thái.

	Nhất làm cho hắn ngạc nhiên chính là, bàn tay kia trên mơ hồ hoa văn, mơ hồ cùng lúc trước hắn triệu hoán Cương Chi Vương thì nhìn thấy giết chết Cương Chi Vương cái kia ngón tay cực kỳ tương tự.

	Cứ việc trong đầu chuyển động các loại tâm tư, nhưng vào giờ phút này, Lâm Thịnh sau lưng Thánh lực nổ tung, cả người phóng lên trời.

	Liệt Đẳng Sứ dị năng Vô Hạn Chuyển Hóa trong nháy mắt mở ra.

	"Giết! ! !" Hắn gầm nhẹ một tiếng.

	Cả người hầu như hóa thành một đoàn màu trắng sao chổi, kéo thật dài to lớn đuôi sao chổi, chính diện ầm ầm va vào cái kia màu đen bàn tay.

	Ầm ầm! ! !

	Khói đen cùng thánh quang điên cuồng đối kháng chôn vùi.

	Lâm Thịnh cuồn cuộn không ngừng chuyển hóa ra lượng lớn Thánh lực, vô cùng vô tận Thánh lực điên cuồng ăn mòn khói đen, nỗ lực trục xuất tịnh hóa nó.

	Nhưng lần này nó gặp phải đối thủ.

	Khói đen cũng đồng dạng vô cùng vô tận. Mà lại tính chất cũng không kém gì Thánh lực.

	Hai cái đối đầu đến cùng nhau, duy nhất có thể có thể quyết định thắng bại, chính là lượng.

	Trong nháy mắt, toàn bộ Hengruika đều nhìn thấy trên không trung một đen một trắng mãnh liệt xung kích giằng co.

	"Là Thánh Đế đại nhân! !"

	"Chúng ta có Thánh Đế đại nhân bảo vệ! Tuyệt không có việc gì!"

	"Chí cao vô thượng Thánh Đế Thánh Linh vương! Nhất định phải thắng a!"

	"Cầu nguyện đi, thánh quang bảo hộ chúng ta!"

	"Thần thánh cuối cùng chiến thắng tà ác!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

	"Thần thánh vĩnh tồn!"

