 Ầm ầm, ầm ầm, ầm ầm. . .

	Thành phố xây dựng ở không ngừng sụp đổ.
	Mà đem hết toàn lực một kiếm qua đi Vạn Anh Mộc, tương đối so với ở khổng lồ cồng kềnh Alpha vua, thì phảng phất một con linh xảo Phi Yến, đã rơi vào đã một lần nữa chỉnh đốn hoàn hảo dung nham long nữ chỗ đứng nhà lớn.

	"Phía sau thị dân vẫn không có sơ tán, không thể lui nữa rồi, nhất định phải đem nó ngăn cản tại đây con đường."

	Dung nham long nữ lời nói, không chỉ là nói với Vạn Anh Mộc, càng theo đội phụ cận tụ tập tới đại lượng cấp, cấp chính nghĩa liên minh các thành viên kể ra.

	Mọi người dồn dập gật đầu, xa xa các thị dân loạn tung tùng phèo, sơ tán xe cộ nước chảy không lọt, một ít ôm hài tử dẫn nhà của ông lão đình, bị gần đây an bài vào dưới đất chỗ che chở.

	"Rống."

	Alpha vua hai tay, thống khổ bưng đầu.

	Liền ở Vạn Anh Mộc cho là mình một đòn thấy hiệu quả thời điểm, Alpha vua lại quát ầm lên: "Là ai? Dám gõ ta đầu, là ai!"

	Từ nhanh bưng đầu thủ trong khe, Alpha vua tơ máu con ngươi, nhìn thấy Vạn Anh Mộc.

	"Chính là ngươi, gõ đầu của ta?"

	Đấu bồng dưới bóng râm, Vạn Anh Mộc khóe mắt co giật.

	Chính mình đem hết toàn lực một đòn, tại đối phương xem ra, dĩ nhiên là tại gõ đầu của nó, quả thực là vô cùng nhục nhã.

	Vạn Anh Mộc trong đầu không kìm lòng được hiện ra một bóng người.

	Nếu là hắn xuất thủ, hiện tại nó chỉ sợ đã bị đánh thành cặn bã chứ?

	Mấy năm qua từ trên người hắn, chính mình đã học được rất nhiều.

	Oanh!

	Rất nhiều chính nghĩa liên minh thành viên cao cấp né tránh ra, dưới chân nhà lớn bị Alpha vua lần nữa phá hủy, hội viên cấp thấp nhóm thì tại nơi xa an bài thị dân sơ tán, đại lượng cục đá vụn khó tránh khỏi sẽ thương đến đến vô tội, tử thương nặng nề.

	Nếu là không có ma quỷ quấy rầy, những này tràn ra linh hồn, sẽ ở kỳ dị thế giới quy tắc dưới, trong thời gian ngắn một lần nữa huyễn hóa thành mới thị dân.

	Giữa không trung.

	Vạn Anh Mộc đạp đạp đá vụn, làm ra ngắn ngủi phi hành hình dáng, dung nham long nữ dùng hết khả năng phản kích, cao giọng nói: "Chỉ cần kiên trì một giờ, tương lai thành cấp anh hùng Xích Mộc cự nhân cùng tia laser mắt liền có thể chạy tới!"

	Đang lúc nói chuyện, một tên cấp anh hùng "Oành" một tiếng, bị tàn khốc tiếng cười Alpha vua, một cái tát vỗ tới mặt đất, trên đường xi măng để lại một cái rạn nứt hố to sau, hóa thành tung toé huyết hoa, thi thể cũng không có lưu lại.

	"Chết đi!"

	Tại Alpha vua trong mắt, đã quen từ chính mình một thức tỉnh hiện thế, đã bị rất nhiều nhân loại cường giả liên thủ vây công cùng khiêu chiến tình cảnh.

	Chính mình lấy tư cách thiên nhiên nhược nhục cường thực đỉnh phong sinh vật, lại bị những này thợ thủ công nhóm đào thải?

	Thiên nhiên tại dùng máu dầm dề giáo huấn nói cho trí người, nếu như là lấy sinh vật gien di truyền làm mục đích sinh tồn, sống đến cuối cùng, không nhất định là vũ lực trên cường giả, nhưng nhất định là sinh sôi năng lực mạnh, sinh tồn năng lực mạnh bộ tộc, thợ thủ công nhóm bàng Đại Tộc Quần số đếm cùng ăn tạp sinh hoạt tập tính, để cho bọn họ từ ác liệt thiên nhiên trong hoàn cảnh càng tốt hơn sinh tồn sinh sôi xuống.

	Sau hai giờ.

	Dung nham long nữ đã không ra hình thù gì, bị Alpha vua một cái tát vỗ tới xa xôi đường phố, không rõ sống chết.

	Chính nghĩa kiếm khách Vạn Anh Mộc "Hồng hộc", "Hồng hộc" thở hổn hển, ngăm đen ánh sáng cái trán, mồ hôi lưu lại.

	Cho dù mở ra tà năng phong ấn dưới tình huống, lại giống như này có bao nhiêu lợi điều kiện, bị rất nhiều từ bên trợ giúp, nhưng đối mặt vị này Alpha vua, chính mình vẫn cứ vô pháp chính đối mặt kháng.

	"Dựa theo Hạ Vũ từng nói, Họa Bì thực lực chỉ biết so với Alpha vua càng mạnh hơn, thế nhưng chính mình đối mặt cái này Alpha vua đều là như thế vô lực, lại nên làm sao đối mặt Cự Lực lĩnh chủ?"

	Vạn Anh Mộc cắn chặt hàm răng, trong đầu không kìm lòng được hiện ra tiểu sư muội bộ dáng.

	"Sư muội. . ."

	Đúng lúc này.

	"XÍU...UU!" một tiếng, từ chỗ xa xa bầu trời, một người mang kính mắt khung, khoác áo choàng nam nhân, dưới chân giẫm lấy ván trượt bay, thình lình xuất hiện.

	Hai bó màu đỏ tím tia sáng laser tuyến, chính giữa Alpha vua trên lưng, "Xì xì xì" thiêu đốt thanh âm, áo choàng nam nhân cười to nói: "Ha ha ha, chánh nghĩa hóa thân, tia laser mắt lóe sáng lên sàn!"

	Ầm ầm ầm.

	Quái vật khổng lồ, phi hành môtơ "Ầm ầm" thanh âm, siêu cấp lớn trên phi cơ, một cái toàn thân đỏ ngầu cao mười mét cự nhân, nhảy xuống.

	Những thành thị khác chính nghĩa liên minh thành viên, tại tự do cảng đối mặt với vô pháp địch lại tai nạn thời điểm, rốt cuộc dồn dập đã tìm đến.
 
