Ầm ầm!

	Đại địa run rẩy, kịch liệt chấn động.
	Neuss bọn người đánh giá chung quanh, nhìn thấy núi cao xa xa cùng rừng rậm, lờ mờ phân biệt nhận ra mình vị trí, đều rung động đến nghẹn ngào, cái này Hoàng thành cho bọn hắn ấn tượng cực kỳ khắc sâu, lộng lẫy, hùng vĩ, bao la hùng vĩ, giờ phút này lại cái gì đều không thừa, cái để lại đầy mặt đất đất khô cằn, như thế thủ bút, quả thực là hủy thiên diệt địa!

	Dodian khẽ gật đầu, đột nhiên trong lòng hơi động, cảm giác được có một tia chỗ quái dị, chính mình tựa hồ sơ hở.

	"Lấy Hoàng thành ngàn vạn người cho ta chôn cùng, vị này Ma đế thủ bút mặc dù khí quyển, phù hợp thân phận của hắn, nhưng trước khi chết cử động, lại có chút quái dị." Dodian hồi tưởng lại lúc trước đủ loại, vị này Ma đế biểu hiện hơi có vẻ táo bạo, toàn vẹn không có trước đó thấy lúc bày mưu nghĩ kế bình tĩnh khí độ, đương nhiên đây có lẽ là bị buộc đến tuyệt cảnh, bại lộ ngụy trang bản tính.

	Rất nhiều người bình tĩnh, chỉ là bởi vì có lưu dư lực thôi.

	Thế nhưng là kỳ quái một điểm lại là, lấy vị này Ma đế tâm tính, không thể lại lưu ở nơi đây chờ chết, cùng hắn đồng quy vu tận.

	Dù sao, chỉ dựa vào đạn hạt nhân coi như có thể dọa lùi hắn, thế nhưng là dọa lùi lần này, kia lần thứ hai đâu?

	Đây cũng không phải là kế lâu dài, đổi lại hắn là Ma đế, hắn tuyệt sẽ không dùng ngu xuẩn như vậy thủ đoạn đến bảo mệnh.

	Vị này Ma đế đàm phán lúc không có chút nào chịu thua, như thế kiên cường, cuối cùng thủ đoạn cũng bất quá là đồng quy vu tận thôi, loại cảm giác này... Tựa như là hắn lúc đầu không có ý định có thể sống sót, sớm đã chuẩn bị dẫn bạo đạn hạt nhân.

	Nếu là như vậy, hắn cần gì phải nói kia vài câu không có chút nào đàm phán ý nghĩa, đến bại lộ hắn ý nghĩ? Nếu như đạn hạt nhân không hề có điềm báo trước bộc phát, cho thương tổn của hắn càng nặng, thậm chí có khả năng giết hắn!

	Nghĩ đến đủ loại này chỗ quái dị, Dodian đột nhiên tỉnh ngộ lại, vị này tự bạo "Ma đế", có lẽ chỉ là một đoạn ghi âm, hay là một cái thế thân thôi!

	Chân chính Ma đế, còn chưa chết!

	Hắn bỗng nhiên ngẩng đầu, quét hướng bốn phía, năng lực nhận biết điên cuồng càn quét, bao phủ phụ cận núi cao cùng rừng rậm, nếu như Ma đế không chết, tất nhiên sẽ chú ý tình huống nơi này.

	Rất nhanh, cảm giác của hắn lĩnh vực khuếch trương đến cực hạn, đem phụ cận mấy trăm dặm động tĩnh cùng tất cả động vật tất cả đều khóa chặt, cũng không có cảm giác được vị kia Ma đế khí tức.

	"Cẩn thận gia hỏa, đã rời đi sao, còn tiện thể xóa đi mùi." Dodian ánh mắt lóe lên, thu hồi lưới cảm giác, mặc kệ như thế nào, hắn có thể trăm phần trăm kết luận, vị này Ma đế không có chết.

	Tất nhiên không chết, tất nhiên sẽ núp trong bóng tối sống tạm, tiếp tục mưu đồ.

	"Trong hoàng thành phi tử đều là Hoang Thần, ngay cả mình phi tử đều chuẩn bị chôn cùng, xem ra Hoang Thần nhất tộc, cũng không phải chỉ có hắn một người, khẳng định còn có kéo dài con cháu mẫu chủng!" Dodian ánh mắt lấp lóe, suy tư một lát, cuối cùng tạm thời đè xuống đối với Ma đế truy cứu, cái sau tránh núp trong bóng tối, lại trí tuệ hơn người, muốn bắt tới gần như không có khả năng, thà rằng như vậy, không bằng trước hoàn thành mình sự tình.

	Bây giờ Ma đế tránh lui, Đế đô cơ hồ đã rơi vào tay của hắn, cái này Địa Cầu thiên hạ, hắn đã cơ hồ hoàn toàn siết trong tay.

	"Đợi khi tìm được Halysa, lúc rảnh rỗi, bồi dưỡng một nhóm Vương giả, lên trời xuống đất, cũng không tin tìm không thấy tung tích của hắn!" Dodian thầm nghĩ trong lòng, coi như không có tìm được vị này Ma đế, hắn cũng không thèm để ý, dù sao lấy hắn bây giờ thân phận, muốn ám sát hắn gần như không có khả năng, coi như Ma đế vận dụng khoa học kỹ thuật sức mạnh, viễn trình phóng ra tên lửa xuyên lục địa đồng dạng vũ khí đến tiến công hắn chỗ khu vực, cũng vô pháp làm bị thương hắn.

	Hắn chỉ cần hưởng thụ chính mình thắng quả, chờ có rảnh liền phái người truy xét Ma đế, để cái sau trở thành chó nhà có tang, tại trong bóng tối ẩn núp đến khó lấy chịu đựng mới thôi.

	Nghĩ thông suốt những này, hắn cảm giác đáy lòng một tia không thoải mái cũng tiêu tán, lúc này quay người, mang theo Neuss cùng Oa Thần bọn người cách bắt, bắt đầu thu phục toàn bộ Đế đô!

==============
Tác giả: Vốn định cuối tháng kết thúc, tháng sau nghỉ ngơi một tuần mở sách mới, hiện tại cái này tiến độ xem ra là không nghỉ ngơi được(-. -). . .
